report	platform	DUT	tron	verdict	qwen-tp2 line (first section)
2026-09-16	GRANITE_RAPIDS_72_RINZLER	delphi-3bda	2026.09.16-f46e48ba	FAILED	185.96 TPS / 175.00 threshold (106%) (slowest user @ 167.59 / 145.00 TPS), prefill≈2k tok/s, TTFT 507ms (@1k prompt)
2026-09-16	GENOA96_RINZLER	andoria-b1a3	2026.09.16-f46e48ba	FAILED	206.54 TPS / 195.00 threshold (106%) (slowest user @ 191.66 / 170.00 TPS), prefill≈2k tok/s, TTFT 514ms (@1k prompt)
2026-09-15	GRANITE_RAPIDS_72_RINZLER	delphi-3bda	2026.09.14-875cd228	FAILED	184.77 TPS / 175.00 threshold (106%) (slowest user @ 143.40 / 145.00 TPS), prefill≈2k tok/s, TTFT 514ms (@1k prompt)
2026-09-15	GENOA96_RINZLER	andoria-b1a3	2026.09.14-875cd228	FAILED	206.81 TPS / 195.00 threshold (106%) (slowest user @ 178.83 / 170.00 TPS), prefill≈2k tok/s, TTFT 514ms (@1k prompt)
2026-09-14	GRANITE_RAPIDS_72_RINZLER	delphi-3bda	2026.09.14-875cd228	FAILED	186.59 TPS / 175.00 threshold (107%) (slowest user @ 173.42 / 145.00 TPS), prefill≈2.1k tok/s, TTFT 499ms (@1k prompt)
2026-09-14	GENOA96_RINZLER	andoria-b1a3	2026.09.14-875cd228	FAILED	207.44 TPS / 195.00 threshold (106%) (slowest user @ 192.01 / 170.00 TPS), prefill≈1.9k tok/s, TTFT 530ms (@1k prompt)
2026-09-13	GRANITE_RAPIDS_72_RINZLER	delphi-3bda	2026.09.13-875cd228	FAILED	185.79 TPS / 175.00 threshold (106%) (slowest user @ 173.86 / 145.00 TPS), prefill≈2k tok/s, TTFT 502ms (@1k prompt)
2026-09-13	GENOA96_RINZLER	andoria-b1a3	2026.09.13-875cd228	FAILED	207.59 TPS / 195.00 threshold (106%) (slowest user @ 194.39 / 170.00 TPS), prefill≈2k tok/s, TTFT 525ms (@1k prompt)
2026-09-12	GRANITE_RAPIDS_72_RINZLER	delphi-3bda	2026.09.12-05466349	FAILED	185.85 TPS / 175.00 threshold (106%) (P05 @ 175.87 TPS; raw minimum @ 163.06 / 145.00 TPS), prefill≈2k tok/s, TTFT 513ms (@1k prompt)
2026-09-12	GENOA96_RINZLER	andoria-b1a3	2026.09.12-05466349	FAILED	208.02 TPS / 195.00 threshold (107%) (P05 @ 193.95 TPS; raw minimum @ 192.66 / 170.00 TPS), prefill≈1.9k tok/s, TTFT 541ms (@1k prompt)
2026-09-11	GRANITE_RAPIDS_72_RINZLER	delphi-3bda	2026.09.11-632c6181	FAILED	185.38 TPS / 175.00 threshold (106%) (slowest user @ 173.21 / 145.00 TPS), prefill≈2k tok/s, TTFT 507ms (@1k prompt)
2026-09-11	GENOA96_RINZLER	andoria-b1a3	2026.09.11-632c6181	FAILED	208.15 TPS / 195.00 threshold (107%) (slowest user @ 193.86 / 170.00 TPS), prefill≈1.9k tok/s, TTFT 526ms (@1k prompt)
2026-09-10	GRANITE_RAPIDS_72_RINZLER	delphi-3bda	2026.09.10-815ce925	FAILED	105% of decode goal (185.36 / 175.0 TPS) (slowest user @ 173.16 / 145.0 TPS), prefill≈2k tok/s, TTFT 510ms (@1k prompt)
2026-09-10	GENOA96_RINZLER	andoria-b1a3	2026.09.10-815ce925	FAILED	106% of decode goal (207.98 / 195.0 TPS) (slowest user @ 188.98 / 170.0 TPS), prefill≈2k tok/s, TTFT 524ms (@1k prompt)
2026-09-08	GRANITE_RAPIDS_72_RINZLER	delphi-3bda	2026.09.08-b6f09db0	FAILED	106% of decode goal (186.84 / 175.0 TPS) (slowest user @ 175.31 / 145.0 TPS), prefill≈2k tok/s, TTFT 504ms (@1k prompt)
2026-09-08	GENOA96_RINZLER	andoria-b1a3	2026.09.08-b6f09db0	FAILED	105% of decode goal (206.26 / 195.0 TPS) (slowest user @ 191.29 / 170.0 TPS), prefill≈1.9k tok/s, TTFT 537ms (@1k prompt)
2026-09-07	GRANITE_RAPIDS_72_RINZLER	delphi-3bda	2026.09.07-b6f09db0	FAILED	105% of decode goal (184.36 / 175.0 TPS) (slowest user @ 167.35 / 145.0 TPS), prefill≈2k tok/s, TTFT 511ms (@1k prompt)
2026-09-07	GENOA96_RINZLER	andoria-b1a3	2026.09.07-b6f09db0	FAILED	107% of decode goal (208.67 / 195.0 TPS) (slowest user @ 194.08 / 170.0 TPS), prefill≈2k tok/s, TTFT 523ms (@1k prompt)
2026-09-06	GRANITE_RAPIDS_72_RINZLER	delphi-3bda	2026.09.06-e9e0fe8c	FAILED	105% of decode goal (185.05 / 175.0 TPS) (slowest user @ 173.60 / 145.0 TPS), prefill≈2k tok/s, TTFT 518ms (@1k prompt)
2026-09-06	GENOA96_RINZLER	andoria-b1a3	2026.09.06-e9e0fe8c	FAILED	106% of decode goal (208.03 / 195.0 TPS) (slowest user @ 189.64 / 170.0 TPS), prefill≈1.9k tok/s, TTFT 532ms (@1k prompt)
2026-09-05	GRANITE_RAPIDS_72_RINZLER	delphi-3bda	2026.09.04-fe8dbdee	FAILED	106% of decode goal (186.72 / 175.0 TPS) (slowest user @ 171.87 / 145.0 TPS), prefill≈2k tok/s, TTFT 508ms (@1k prompt)
