# fused-page sweep 2026-08-18T18:34:53Z, cpu 96, binary sha256:
6e09fa3a874b183dcd834beab93f52d719010f98805ee139640413540cabd222  /tmp/amx_fused_bench
Nq=1 variant=avx pages=1 iters=200000 per_page_ns=422.1 useful_GFLOPS=77.6 worst_rel_err=5.32e-05
Nq=2 variant=avx pages=1 iters=200000 per_page_ns=815.3 useful_GFLOPS=80.4 worst_rel_err=5.32e-05
Nq=3 variant=avx pages=1 iters=200000 per_page_ns=1211.9 useful_GFLOPS=81.1 worst_rel_err=7.41e-05
Nq=4 variant=avx pages=1 iters=200000 per_page_ns=1618.1 useful_GFLOPS=81.0 worst_rel_err=7.96e-05
Nq=6 variant=avx pages=1 iters=200000 per_page_ns=2433.5 useful_GFLOPS=80.8 worst_rel_err=1.25e-04
Nq=8 variant=avx pages=1 iters=200000 per_page_ns=3255.9 useful_GFLOPS=80.5 worst_rel_err=2.80e-04
Nq=12 variant=avx pages=1 iters=200000 per_page_ns=4880.8 useful_GFLOPS=80.6 worst_rel_err=2.80e-04
Nq=16 variant=avx pages=1 iters=200000 per_page_ns=6484.2 useful_GFLOPS=80.9 worst_rel_err=2.98e-04
Nq=1 variant=amx44 pages=1 iters=200000 per_page_ns=819.6 useful_GFLOPS=40.0 worst_rel_err=5.32e-05
Nq=2 variant=amx44 pages=1 iters=200000 per_page_ns=914.7 useful_GFLOPS=71.6 worst_rel_err=5.32e-05
Nq=3 variant=amx44 pages=1 iters=200000 per_page_ns=1150.8 useful_GFLOPS=85.4 worst_rel_err=7.41e-05
Nq=4 variant=amx44 pages=1 iters=200000 per_page_ns=1249.9 useful_GFLOPS=104.9 worst_rel_err=7.96e-05
Nq=6 variant=amx44 pages=1 iters=200000 per_page_ns=1402.9 useful_GFLOPS=140.1 worst_rel_err=1.25e-04
Nq=8 variant=amx44 pages=1 iters=200000 per_page_ns=1516.5 useful_GFLOPS=172.9 worst_rel_err=2.80e-04
Nq=12 variant=amx44 pages=1 iters=200000 per_page_ns=1953.9 useful_GFLOPS=201.2 worst_rel_err=2.80e-04
Nq=16 variant=amx44 pages=1 iters=200000 per_page_ns=2359.8 useful_GFLOPS=222.2 worst_rel_err=2.98e-04
