# T4 power capture (turbostat --Summary, 5s intervals), 2026-08-19T14:00:08Z
### idle baseline
Avg_MHz	Bzy_MHz	PkgWatt
33	3079	425.98
26	2884	424.20
10	2532	419.74
25	3091	423.22
### power arm=clean ctx=8192 users=8 len=512
Avg_MHz	Bzy_MHz	PkgWatt
452	3748	546.21
451	3748	544.97
430	3768	540.85
440	3764	538.34
456	3761	542.68
439	3764	541.92
430	3764	543.32
439	3753	547.54
[14:03:22.728762914|thread 2116009|cpu 223] [info ] [Request 1] Generating 509 response tokens with 8193 context took 35.908711 s at 14.175 average tok/s, or 70.548 ms/tok
### power arm=canonical-amx ctx=8192 users=8 len=512
Avg_MHz	Bzy_MHz	PkgWatt
428	3599	547.74
415	3609	546.65
419	3609	549.99
434	3612	557.59
425	3610	557.22
100	3493	446.28
16	2779	415.21
32	3035	417.41
[14:05:12.775991626|thread 2280482|cpu 220] [info ] [Request 2] Generating 509 response tokens with 8193 context took 30.225061 s at 16.840 average tok/s, or 59.381 ms/tok
### power arm=mirror-amx ctx=8192 users=8 len=512
Avg_MHz	Bzy_MHz	PkgWatt
414	3612	548.71
420	3611	549.12
435	3614	555.03
426	3612	555.60
333	3604	517.17
33	3188	429.09
22	3013	414.55
13	2678	410.18
[14:07:11.156292716|thread 2379961|cpu 223] [info ] [Request 1] Generating 509 response tokens with 8193 context took 28.050775 s at 18.146 average tok/s, or 55.110 ms/tok
