vnnik-20260914 | base | cpu | amx-canon | n=2 | 437.6 ms | reps [437.5, 437.8] | vnnik-20260914/smoke/smoke.txt:1-2
vnnik-20260914 | vnni | cpu | amx-vnnik | n=2 | 440.9 ms | reps [441.7, 440.1] | vnnik-20260914/smoke/smoke.txt:3-4
vnnik-20260914 | off | cpu | avx | n=1 | 533.4 ms | reps [533.4] | vnnik-20260914/smoke/smoke.txt:5-6
vnnik-20260914 | vnnioff | cpu | avx | n=1 | 528.4 ms | reps [528.4] | vnnik-20260914/smoke/smoke.txt:7-8
vnnik2-20260915 | vnni | cpu | amx-vnnik | n=1 | 441.8 ms | reps [441.8] | vnnik2-20260915/smoke/smoke.txt:1-2
vnnik2-20260915 | vnni0 | cpu | amx-vnnik | n=1 | 441.9 ms | reps [441.9] | vnnik2-20260915/smoke/smoke.txt:3-4
vnnik2-20260915 | a | cpu | amx-vnnik | n=1 | 435.7 ms | reps [435.7] | vnnik2-20260915/smoke/smoke.txt:5-6
vnnik2-20260915 | b | cpu | amx-vnnik | n=1 | 436.5 ms | reps [436.5] | vnnik2-20260915/smoke/smoke.txt:7-8
vnnik2-20260915 | ab | cpu | amx-vnnik | n=2 | 432.6 ms | reps [432.9, 432.4] | vnnik2-20260915/smoke/smoke.txt:9-10
vnnik2-confirm-20260915 | vnni | cpu | amx-vnnik | n=1 | 442.3 ms | reps [442.3] | vnnik2-confirm-20260915/smoke/smoke.txt:1-2
vnnik2-confirm-20260915 | vnni0 | cpu | amx-vnnik | n=1 | 442.2 ms | reps [442.2] | vnnik2-confirm-20260915/smoke/smoke.txt:3-4
vnnik2-confirm-20260915 | a | cpu | amx-vnnik | n=1 | 431.8 ms | reps [431.8] | vnnik2-confirm-20260915/smoke/smoke.txt:5-6
vnnik2-confirm-20260915 | b | cpu | amx-vnnik | n=1 | 433.9 ms | reps [433.9] | vnnik2-confirm-20260915/smoke/smoke.txt:7-8
vnnik2-confirm-20260915 | ab | cpu | amx-vnnik | n=2 | 431.7 ms | reps [430.2, 433.3] | vnnik2-confirm-20260915/smoke/smoke.txt:9-10
vnnik4-20260915 | ab | cpu | amx-vnnik | n=2 | 431.6 ms | reps [431.0, 432.2] | vnnik4-20260915/smoke/smoke.txt:1-2
vnnik4-models-20260915 | base +FPGA attn | fpga | amx-canon | n=1 | 427.0 ms | reps [427.0] | vnnik4-models-20260915/results.txt:5
vnnik4-models-20260915 | new +FPGA attn | fpga | amx-vnnik | n=1 | 416.0 ms | reps [416.0] | vnnik4-models-20260915/results.txt:11
