Time_Of_Day_Seconds	CPU	Busy%	Bzy_MHz
1788444796.025658	-	2.19	3665
1788444796.024868	151	0.53	3015
1788444796.024889	152	0.42	2782
1788444796.024910	153	0.36	2857
1788444796.024935	24	0.44	2745
1788444796.024952	25	0.42	2794
1788444796.024970	26	0.41	2737
1788444796.024987	27	0.41	2720
1788444796.025004	28	0.41	2738
1788444796.025022	29	0.41	2734
1788444796.025039	30	0.39	2604
1788444796.025056	31	0.40	2719
1788444796.025074	32	0.42	2715
1788444796.025092	33	0.41	2737
1788444796.025110	34	0.41	2717
1788444796.025126	35	0.41	2722
1788444796.025171	48	3.90	3746
1788444796.025212	49	5.60	3784
1788444796.025251	50	4.64	3770
1788444796.025297	51	4.06	3759
1788444796.025347	52	4.31	3778
1788444796.025398	53	3.49	3723
1788444796.025424	54	4.79	3774
1788444796.025502	55	4.53	3801
1788444796.025549	56	3.36	3729
1788444796.025588	57	5.24	3803
1788444796.025633	58	5.15	3788
1788444796.025658	59	3.76	3771
Time_Of_Day_Seconds	CPU	Busy%	Bzy_MHz
1788444797.027011	-	2.90	3550
1788444797.025815	151	0.41	2807
1788444797.025834	152	0.41	2788
1788444797.025854	153	0.35	2788
1788444797.026445	24	66.61	3676
1788444797.026464	25	0.42	2794
1788444797.026483	26	0.41	2724
1788444797.026499	27	0.41	2716
1788444797.026517	28	0.41	2730
1788444797.026534	29	0.41	2732
1788444797.026551	30	0.40	2623
1788444797.026568	31	0.40	2711
1788444797.026585	32	0.41	2705
1788444797.026602	33	0.41	2737
1788444797.026620	34	0.40	2718
1788444797.026643	35	0.40	2721
1788444797.026662	48	0.41	2741
1788444797.026681	49	0.42	2724
1788444797.026722	50	0.51	2898
1788444797.026764	51	0.89	3367
1788444797.026804	52	0.49	2938
1788444797.026847	53	0.58	3043
1788444797.026884	54	0.46	2818
1788444797.026909	55	0.41	2724
1788444797.026930	56	0.41	2714
1788444797.026950	57	0.43	2755
1788444797.026989	58	0.60	3056
1788444797.027011	59	0.44	2755
Time_Of_Day_Seconds	CPU	Busy%	Bzy_MHz
1788444798.028285	-	4.09	3517
1788444798.027836	151	0.41	2808
1788444798.027853	152	0.41	2790
1788444798.027871	153	0.40	2820
1788444798.027887	24	99.76	3599
1788444798.027904	25	0.41	2794
1788444798.027920	26	0.41	2726
1788444798.027938	27	0.41	2717
1788444798.027955	28	0.40	2723
1788444798.027973	29	0.41	2733
1788444798.027990	30	0.38	2591
1788444798.028006	31	0.40	2711
1788444798.028023	32	0.40	2707
1788444798.028039	33	0.40	2732
1788444798.028056	34	0.40	2714
1788444798.028072	35	0.40	2721
1788444798.028090	48	0.41	2741
1788444798.028106	49	0.40	2718
1788444798.028124	50	0.40	2720
1788444798.028142	51	0.41	2743
1788444798.028159	52	0.40	2725
1788444798.028177	53	0.40	2741
1788444798.028195	54	0.40	2760
1788444798.028214	55	0.40	2726
1788444798.028231	56	0.40	2711
1788444798.028248	57	0.41	2746
1788444798.028268	58	0.42	2729
1788444798.028285	59	0.48	2937
Time_Of_Day_Seconds	CPU	Busy%	Bzy_MHz
1788444799.028863	-	4.08	3517
1788444799.028395	151	0.41	2807
1788444799.028412	152	0.41	2789
1788444799.028458	153	0.39	2807
1788444799.028475	24	99.76	3599
1788444799.028491	25	0.41	2794
1788444799.028507	26	0.41	2725
1788444799.028523	27	0.41	2718
1788444799.028540	28	0.40	2728
1788444799.028557	29	0.40	2734
1788444799.028572	30	0.38	2591
1788444799.028588	31	0.40	2710
1788444799.028604	32	0.40	2707
1788444799.028621	33	0.40	2731
1788444799.028637	34	0.40	2715
1788444799.028654	35	0.40	2720
1788444799.028671	48	0.40	2743
1788444799.028687	49	0.40	2713
1788444799.028704	50	0.40	2713
1788444799.028722	51	0.41	2742
1788444799.028739	52	0.40	2720
1788444799.028756	53	0.40	2738
1788444799.028773	54	0.41	2758
1788444799.028791	55	0.40	2723
1788444799.028808	56	0.40	2707
1788444799.028828	57	0.40	2750
1788444799.028845	58	0.41	2719
1788444799.028863	59	0.41	2737
Time_Of_Day_Seconds	CPU	Busy%	Bzy_MHz
1788444800.029927	-	4.09	3515
1788444800.029479	151	0.41	2808
1788444800.029497	152	0.41	2792
1788444800.029515	153	0.39	2807
1788444800.029531	24	99.76	3598
1788444800.029547	25	0.41	2793
1788444800.029563	26	0.41	2722
1788444800.029580	27	0.41	2717
1788444800.029597	28	0.41	2724
1788444800.029614	29	0.41	2732
1788444800.029630	30	0.38	2589
1788444800.029646	31	0.40	2711
1788444800.029663	32	0.41	2707
1788444800.029679	33	0.40	2730
1788444800.029695	34	0.40	2714
1788444800.029711	35	0.41	2716
1788444800.029728	48	0.41	2741
1788444800.029745	49	0.40	2708
1788444800.029762	50	0.40	2710
1788444800.029780	51	0.41	2742
1788444800.029797	52	0.40	2718
1788444800.029815	53	0.41	2738
1788444800.029833	54	0.41	2758
1788444800.029851	55	0.41	2722
1788444800.029869	56	0.40	2704
1788444800.029881	57	0.41	2750
1788444800.029910	58	0.41	2717
1788444800.029927	59	0.47	2879
Time_Of_Day_Seconds	CPU	Busy%	Bzy_MHz
1788444800.323898	-	3.31	3494
1788444800.323400	151	0.41	2816
1788444800.323422	152	0.49	2915
1788444800.323441	153	0.41	2930
1788444800.323485	24	78.22	3597
1788444800.323504	25	0.43	2786
1788444800.323527	26	0.42	2741
1788444800.323548	27	0.42	2727
1788444800.323564	28	0.41	2727
1788444800.323581	29	0.41	2735
1788444800.323599	30	0.48	2775
1788444800.323615	31	0.41	2710
1788444800.323633	32	0.42	2710
1788444800.323650	33	0.40	2736
1788444800.323667	34	0.45	2802
1788444800.323684	35	0.41	2717
1788444800.323701	48	0.41	2745
1788444800.323718	49	0.40	2708
1788444800.323736	50	0.47	2834
1788444800.323756	51	0.44	2739
1788444800.323775	52	0.49	2894
1788444800.323792	53	0.41	2740
1788444800.323810	54	0.46	2802
1788444800.323827	55	0.41	2728
1788444800.323844	56	0.46	2824
1788444800.323861	57	0.42	2748
1788444800.323879	58	0.46	2748
1788444800.323898	59	0.44	2763
