Time_Of_Day_Seconds	CPU	Busy%	Bzy_MHz
1788444839.503668	-	0.41	2746
1788444839.503166	151	0.41	2807
1788444839.503184	152	0.41	2790
1788444839.503202	153	0.42	2825
1788444839.503226	24	0.42	2740
1788444839.503245	25	0.42	2793
1788444839.503263	26	0.41	2757
1788444839.503280	27	0.41	2718
1788444839.503298	28	0.44	2728
1788444839.503316	29	0.41	2733
1788444839.503332	30	0.39	2597
1788444839.503349	31	0.40	2715
1788444839.503365	32	0.41	2714
1788444839.503390	33	0.40	2736
1788444839.503407	34	0.41	2717
1788444839.503426	35	0.41	2718
1788444839.503475	48	0.41	2754
1788444839.503492	49	0.41	2723
1788444839.503509	50	0.40	2720
1788444839.503528	51	0.41	2744
1788444839.503545	52	0.40	2726
1788444839.503562	53	0.41	2743
1788444839.503579	54	0.41	2764
1788444839.503597	55	0.41	2724
1788444839.503616	56	0.41	2715
1788444839.503634	57	0.41	2752
1788444839.503651	58	0.41	2721
1788444839.503668	59	0.50	2913
Time_Of_Day_Seconds	CPU	Busy%	Bzy_MHz
1788444840.507438	-	56.74	3593
1788444840.503789	151	56.27	3591
1788444840.503805	152	56.28	3590
1788444840.503820	153	56.28	3592
1788444840.503840	24	66.52	3669
1788444840.503856	25	56.41	3591
1788444840.503871	26	56.41	3587
1788444840.503883	27	56.41	3588
1788444840.503896	28	56.38	3585
1788444840.503910	29	56.37	3591
1788444840.503923	30	56.35	3590
1788444840.503933	31	56.35	3590
1788444840.503946	32	56.37	3590
1788444840.503959	33	56.35	3590
1788444840.503974	34	56.36	3588
1788444840.504438	35	56.37	3590
1788444840.504451	48	56.38	3590
1788444840.504467	49	56.36	3591
1788444840.504478	50	56.38	3591
1788444840.504490	51	56.37	3587
1788444840.504502	52	56.37	3589
1788444840.504517	53	56.36	3590
1788444840.504528	54	56.36	3590
1788444840.504539	55	56.37	3591
1788444840.504553	56	56.37	3589
1788444840.504567	57	56.37	3592
1788444840.504581	58	56.36	3592
1788444840.507438	59	56.47	3587
Time_Of_Day_Seconds	CPU	Busy%	Bzy_MHz
1788444841.576454	-	99.73	3594
1788444841.510438	151	99.72	3596
1788444841.513441	152	99.72	3595
1788444841.515440	153	99.75	3595
1788444841.516445	24	99.74	3593
1788444841.519438	25	99.73	3594
1788444841.522441	26	99.72	3591
1788444841.525437	27	99.72	3594
1788444841.528436	28	99.72	3593
1788444841.531437	29	99.72	3594
1788444841.534437	30	99.72	3592
1788444841.537436	31	99.72	3594
1788444841.540439	32	99.72	3594
1788444841.543437	33	99.72	3594
1788444841.546436	34	99.72	3594
1788444841.546447	35	99.73	3594
1788444841.549437	48	99.73	3592
1788444841.552439	49	99.73	3593
1788444841.555438	50	99.72	3593
1788444841.557439	51	99.76	3594
1788444841.558437	52	99.73	3595
1788444841.561438	53	99.72	3593
1788444841.564439	54	99.72	3593
1788444841.567436	55	99.72	3593
1788444841.570438	56	99.73	3594
1788444841.573441	57	99.73	3594
1788444841.576441	58	99.73	3594
1788444841.576454	59	99.73	3592
Time_Of_Day_Seconds	CPU	Busy%	Bzy_MHz
1788444842.576880	-	99.70	3595
1788444842.576558	151	99.73	3593
1788444842.576571	152	99.68	3592
1788444842.576582	153	99.70	3595
1788444842.576602	24	99.69	3590
1788444842.576617	25	99.70	3596
1788444842.576629	26	99.69	3595
1788444842.576642	27	99.73	3596
1788444842.576655	28	99.71	3596
1788444842.576665	29	99.71	3596
1788444842.576678	30	99.74	3594
1788444842.576690	31	99.72	3595
1788444842.576702	32	99.71	3596
1788444842.576712	33	99.67	3595
1788444842.576725	34	99.71	3595
1788444842.576737	35	99.69	3593
1788444842.576749	48	99.67	3594
1788444842.576758	49	99.69	3594
1788444842.576772	50	99.68	3595
1788444842.576783	51	99.68	3593
1788444842.576795	52	99.71	3596
1788444842.576805	53	99.68	3595
1788444842.576819	54	99.70	3595
1788444842.576831	55	99.67	3596
1788444842.576844	56	99.73	3595
1788444842.576855	57	99.71	3596
1788444842.576868	58	99.73	3595
1788444842.576880	59	99.73	3594
Time_Of_Day_Seconds	CPU	Busy%	Bzy_MHz
1788444843.577961	-	99.76	3592
1788444843.577666	151	99.76	3592
1788444843.577680	152	99.76	3593
1788444843.577692	153	99.76	3595
1788444843.577707	24	99.76	3592
1788444843.577718	25	99.76	3592
1788444843.577728	26	99.76	3593
1788444843.577738	27	99.76	3593
1788444843.577752	28	99.76	3590
1788444843.577764	29	99.76	3591
1788444843.577773	30	99.76	3592
1788444843.577784	31	99.76	3587
1788444843.577798	32	99.76	3594
1788444843.577808	33	99.76	3593
1788444843.577818	34	99.76	3594
1788444843.577828	35	99.76	3593
1788444843.577839	48	99.76	3591
1788444843.577850	49	99.76	3593
1788444843.577861	50	99.76	3594
1788444843.577870	51	99.76	3590
1788444843.577880	52	99.76	3592
1788444843.577893	53	99.76	3593
1788444843.577904	54	99.76	3593
1788444843.577915	55	99.76	3593
1788444843.577926	56	99.76	3591
1788444843.577938	57	99.76	3593
1788444843.577951	58	99.76	3592
1788444843.577961	59	99.76	3592
Time_Of_Day_Seconds	CPU	Busy%	Bzy_MHz
1788444844.578349	-	99.76	3596
1788444844.578065	151	99.76	3594
1788444844.578078	152	99.76	3596
1788444844.578088	153	99.76	3596
1788444844.578103	24	99.76	3597
1788444844.578114	25	99.76	3596
1788444844.578124	26	99.76	3595
1788444844.578135	27	99.76	3596
1788444844.578144	28	99.76	3596
1788444844.578155	29	99.76	3596
1788444844.578165	30	99.76	3596
1788444844.578175	31	99.76	3596
1788444844.578186	32	99.76	3594
1788444844.578196	33	99.76	3597
1788444844.578207	34	99.76	3597
1788444844.578217	35	99.76	3597
1788444844.578228	48	99.76	3594
1788444844.578239	49	99.76	3597
1788444844.578249	50	99.76	3595
1788444844.578262	51	99.76	3595
1788444844.578273	52	99.76	3596
1788444844.578284	53	99.76	3595
1788444844.578294	54	99.76	3596
1788444844.578304	55	99.76	3597
1788444844.578316	56	99.76	3597
1788444844.578327	57	99.76	3596
1788444844.578339	58	99.76	3596
1788444844.578349	59	99.76	3594
Time_Of_Day_Seconds	CPU	Busy%	Bzy_MHz
1788444845.579338	-	99.69	3596
1788444845.579047	151	99.76	3595
1788444845.579059	152	99.67	3597
1788444845.579072	153	99.68	3597
1788444845.579088	24	99.66	3595
1788444845.579099	25	99.65	3597
1788444845.579109	26	99.66	3594
1788444845.579118	27	99.68	3594
1788444845.579132	28	99.68	3594
1788444845.579145	29	99.72	3595
1788444845.579154	30	99.70	3593
1788444845.579164	31	99.72	3596
1788444845.579176	32	99.71	3596
1788444845.579187	33	99.70	3597
1788444845.579198	34	99.70	3595
1788444845.579207	35	99.70	3596
1788444845.579219	48	99.68	3595
1788444845.579230	49	99.72	3595
1788444845.579240	50	99.68	3595
1788444845.579250	51	99.75	3597
1788444845.579259	52	99.65	3595
1788444845.579270	53	99.64	3594
1788444845.579281	54	99.69	3597
1788444845.579292	55	99.66	3595
1788444845.579302	56	99.75	3596
1788444845.579315	57	99.69	3596
1788444845.579326	58	99.67	3597
1788444845.579338	59	99.72	3595
Time_Of_Day_Seconds	CPU	Busy%	Bzy_MHz
1788444846.579720	-	99.76	3596
1788444846.579444	151	99.76	3595
1788444846.579457	152	99.76	3596
1788444846.579467	153	99.76	3597
1788444846.579483	24	99.76	3596
1788444846.579493	25	99.76	3598
1788444846.579506	26	99.76	3595
1788444846.579515	27	99.76	3595
1788444846.579526	28	99.76	3596
1788444846.579538	29	99.76	3595
1788444846.579549	30	99.76	3596
1788444846.579557	31	99.76	3595
1788444846.579566	32	99.76	3596
1788444846.579575	33	99.76	3596
1788444846.579585	34	99.76	3597
1788444846.579595	35	99.76	3595
1788444846.579604	48	99.76	3595
1788444846.579616	49	99.76	3596
1788444846.579626	50	99.76	3596
1788444846.579636	51	99.76	3595
1788444846.579647	52	99.76	3595
1788444846.579656	53	99.76	3595
1788444846.579667	54	99.76	3596
1788444846.579678	55	99.76	3595
1788444846.579688	56	99.76	3595
1788444846.579698	57	99.76	3592
1788444846.579709	58	99.76	3598
1788444846.579720	59	99.76	3595
Time_Of_Day_Seconds	CPU	Busy%	Bzy_MHz
1788444847.580705	-	99.76	3596
1788444847.580416	151	99.76	3596
1788444847.580454	152	99.76	3596
1788444847.580462	153	99.76	3597
1788444847.580476	24	99.76	3594
1788444847.580486	25	99.76	3597
1788444847.580496	26	99.76	3596
1788444847.580507	27	99.76	3596
1788444847.580516	28	99.76	3595
1788444847.580526	29	99.76	3596
1788444847.580536	30	99.76	3597
1788444847.580546	31	99.76	3595
1788444847.580555	32	99.76	3596
1788444847.580566	33	99.76	3596
1788444847.580576	34	99.76	3594
1788444847.580586	35	99.76	3598
1788444847.580596	48	99.76	3596
1788444847.580605	49	99.76	3598
1788444847.580614	50	99.76	3599
1788444847.580625	51	99.76	3595
1788444847.580635	52	99.76	3595
1788444847.580644	53	99.76	3594
1788444847.580655	54	99.76	3595
1788444847.580666	55	99.76	3594
1788444847.580676	56	99.76	3595
1788444847.580686	57	99.76	3598
1788444847.580694	58	99.76	3597
1788444847.580705	59	99.76	3596
Time_Of_Day_Seconds	CPU	Busy%	Bzy_MHz
1788444848.581059	-	99.76	3594
1788444848.580797	151	99.76	3596
1788444848.580809	152	99.76	3598
1788444848.580819	153	99.76	3598
1788444848.580834	24	99.76	3594
1788444848.580843	25	99.76	3595
1788444848.580851	26	99.76	3591
1788444848.580862	27	99.76	3591
1788444848.580873	28	99.76	3592
1788444848.580883	29	99.76	3594
1788444848.580892	30	99.76	3593
1788444848.580901	31	99.76	3592
1788444848.580911	32	99.76	3594
1788444848.580921	33	99.76	3593
1788444848.580931	34	99.76	3597
1788444848.580938	35	99.76	3594
1788444848.580947	48	99.76	3593
1788444848.580957	49	99.76	3591
1788444848.580967	50	99.76	3592
1788444848.580977	51	99.76	3595
1788444848.580985	52	99.76	3590
1788444848.581000	53	99.76	3592
1788444848.581009	54	99.76	3593
1788444848.581019	55	99.76	3596
1788444848.581028	56	99.76	3591
1788444848.581038	57	99.76	3596
1788444848.581049	58	99.76	3598
1788444848.581059	59	99.76	3593
Time_Of_Day_Seconds	CPU	Busy%	Bzy_MHz
1788444849.582012	-	99.69	3594
1788444849.581713	151	99.66	3596
1788444849.581725	152	99.64	3597
1788444849.581739	153	99.67	3598
1788444849.581756	24	99.68	3594
1788444849.581767	25	99.73	3597
1788444849.581777	26	99.75	3594
1788444849.581790	27	99.64	3592
1788444849.581801	28	99.70	3592
1788444849.581812	29	99.74	3595
1788444849.581823	30	99.65	3593
1788444849.581834	31	99.68	3593
1788444849.581845	32	99.67	3594
1788444849.581855	33	99.67	3595
1788444849.581865	34	99.75	3595
1788444849.581874	35	99.74	3594
1788444849.581886	48	99.72	3593
1788444849.581898	49	99.69	3595
1788444849.581908	50	99.65	3595
1788444849.581918	51	99.69	3593
1788444849.581930	52	99.71	3594
1788444849.581942	53	99.67	3594
1788444849.581954	54	99.66	3593
1788444849.581964	55	99.65	3595
1788444849.581978	56	99.70	3594
1788444849.581991	57	99.65	3594
1788444849.582002	58	99.65	3596
1788444849.582012	59	99.72	3594
Time_Of_Day_Seconds	CPU	Busy%	Bzy_MHz
1788444850.582379	-	99.76	3595
