Time_Of_Day_Seconds	CPU	Busy%	Bzy_MHz
1788444807.554519	-	0.46	2790
1788444807.553890	151	0.52	3030
1788444807.553913	152	0.41	2782
1788444807.553939	153	0.28	2823
1788444807.553969	24	0.48	2813
1788444807.553992	25	0.45	2793
1788444807.554017	26	0.40	2757
1788444807.554042	27	0.43	2737
1788444807.554084	28	0.53	2979
1788444807.554108	29	0.43	2734
1788444807.554151	30	0.49	2852
1788444807.554171	31	0.48	2709
1788444807.554195	32	0.43	2712
1788444807.554215	33	0.40	2733
1788444807.554232	34	0.41	2721
1788444807.554250	35	0.41	2713
1788444807.554269	48	0.41	2750
1788444807.554287	49	0.41	2722
1788444807.554309	50	1.15	2848
1788444807.554330	51	0.41	2774
1788444807.554350	52	0.40	2722
1788444807.554368	53	0.41	2747
1788444807.554387	54	0.41	2763
1788444807.554408	55	0.41	2729
1788444807.554456	56	0.41	2717
1788444807.554480	57	0.43	2757
1788444807.554501	58	0.41	2718
1788444807.554519	59	0.51	2950
Time_Of_Day_Seconds	CPU	Busy%	Bzy_MHz
1788444808.560443	-	57.03	3697
1788444808.554684	151	56.57	3691
1788444808.554712	152	56.57	3690
1788444808.554735	153	56.53	3695
1788444808.554767	24	66.24	3756
1788444808.554791	25	56.78	3699
1788444808.554817	26	56.75	3699
1788444808.554842	27	56.69	3698
1788444808.554866	28	56.68	3697
1788444808.554886	29	56.70	3696
1788444808.554911	30	56.68	3697
1788444808.554934	31	56.66	3698
1788444808.554957	32	56.64	3697
1788444808.554982	33	56.75	3698
1788444808.555006	34	56.60	3691
1788444808.555025	35	56.63	3697
1788444808.555052	48	56.66	3690
1788444808.555078	49	56.64	3696
1788444808.555103	50	56.65	3690
1788444808.555131	51	56.68	3696
1788444808.555158	52	56.62	3690
1788444808.555182	53	56.69	3695
1788444808.555208	54	56.69	3693
1788444808.555234	55	56.66	3696
1788444808.557449	56	56.75	3690
1788444808.557473	57	56.75	3695
1788444808.557498	58	56.73	3689
1788444808.560443	59	56.86	3688
Time_Of_Day_Seconds	CPU	Busy%	Bzy_MHz
1788444809.625469	-	99.76	3595
1788444809.562451	151	99.76	3593
1788444809.565446	152	99.76	3590
1788444809.566449	153	99.76	3595
1788444809.567451	24	99.76	3599
1788444809.568445	25	99.76	3599
1788444809.570448	26	99.76	3599
1788444809.571443	27	99.76	3600
1788444809.574445	28	99.76	3599
1788444809.577445	29	99.76	3599
1788444809.580443	30	99.76	3599
1788444809.583447	31	99.76	3599
1788444809.586446	32	99.76	3599
1788444809.589442	33	99.76	3598
1788444809.592445	34	99.76	3595
1788444809.595444	35	99.76	3600
1788444809.598445	48	99.76	3595
1788444809.601445	49	99.76	3589
1788444809.604446	50	99.76	3590
1788444809.607445	51	99.76	3589
1788444809.610444	52	99.76	3590
1788444809.613447	53	99.76	3593
1788444809.616444	54	99.76	3592
1788444809.619445	55	99.76	3594
1788444809.619471	56	99.76	3590
1788444809.622444	57	99.76	3596
1788444809.625445	58	99.76	3590
1788444809.625469	59	99.76	3594
Time_Of_Day_Seconds	CPU	Busy%	Bzy_MHz
1788444810.626181	-	99.76	3595
1788444810.625625	151	99.76	3592
1788444810.625651	152	99.76	3589
1788444810.625672	153	99.76	3597
1788444810.625699	24	99.76	3598
1788444810.625722	25	99.76	3599
1788444810.625742	26	99.76	3598
1788444810.625763	27	99.76	3600
1788444810.625783	28	99.76	3599
1788444810.625803	29	99.76	3599
1788444810.625821	30	99.76	3598
1788444810.625838	31	99.76	3599
1788444810.625859	32	99.76	3596
1788444810.625878	33	99.76	3598
1788444810.625901	34	99.76	3589
1788444810.625921	35	99.76	3599
1788444810.625945	48	99.76	3593
1788444810.625965	49	99.76	3590
1788444810.625986	50	99.76	3590
1788444810.626011	51	99.76	3593
1788444810.626033	52	99.76	3590
1788444810.626056	53	99.76	3597
1788444810.626078	54	99.76	3596
1788444810.626098	55	99.76	3596
1788444810.626117	56	99.76	3589
1788444810.626140	57	99.76	3594
1788444810.626162	58	99.76	3590
1788444810.626181	59	99.76	3594
Time_Of_Day_Seconds	CPU	Busy%	Bzy_MHz
1788444811.627723	-	99.76	3595
1788444811.627155	151	99.76	3592
1788444811.627181	152	99.76	3590
1788444811.627203	153	99.76	3596
1788444811.627231	24	99.76	3600
1788444811.627247	25	99.76	3600
1788444811.627266	26	99.76	3599
1788444811.627288	27	99.76	3600
1788444811.627308	28	99.76	3600
1788444811.627328	29	99.76	3599
1788444811.627348	30	99.76	3599
1788444811.627368	31	99.76	3597
1788444811.627386	32	99.76	3597
1788444811.627403	33	99.76	3598
1788444811.627425	34	99.76	3595
1788444811.627473	35	99.76	3600
1788444811.627497	48	99.76	3596
1788444811.627518	49	99.76	3595
1788444811.627535	50	99.76	3590
1788444811.627554	51	99.76	3589
1788444811.627575	52	99.76	3590
1788444811.627598	53	99.76	3598
1788444811.627618	54	99.76	3589
1788444811.627641	55	99.76	3594
1788444811.627661	56	99.76	3590
1788444811.627682	57	99.76	3594
1788444811.627703	58	99.76	3590
1788444811.627723	59	99.76	3591
Time_Of_Day_Seconds	CPU	Busy%	Bzy_MHz
1788444812.628469	-	99.76	3596
1788444812.627887	151	99.76	3592
1788444812.627913	152	99.76	3590
1788444812.627934	153	99.76	3597
1788444812.627961	24	99.76	3599
1788444812.627980	25	99.76	3599
1788444812.628000	26	99.76	3599
1788444812.628020	27	99.76	3599
1788444812.628039	28	99.76	3599
1788444812.628060	29	99.76	3599
1788444812.628077	30	99.76	3599
1788444812.628097	31	99.76	3598
1788444812.628118	32	99.76	3594
1788444812.628139	33	99.76	3597
1788444812.628158	34	99.76	3592
1788444812.628177	35	99.76	3600
1788444812.628199	48	99.76	3593
1788444812.628218	49	99.76	3591
1788444812.628240	50	99.76	3594
1788444812.628262	51	99.76	3592
1788444812.628286	52	99.76	3593
1788444812.628308	53	99.76	3595
1788444812.628330	54	99.76	3593
1788444812.628351	55	99.76	3591
1788444812.628372	56	99.76	3596
1788444812.628393	57	99.76	3597
1788444812.628417	58	99.76	3595
1788444812.628469	59	99.76	3594
Time_Of_Day_Seconds	CPU	Busy%	Bzy_MHz
1788444813.630002	-	99.75	3597
1788444813.629476	151	99.75	3595
1788444813.629500	152	99.74	3594
1788444813.629519	153	99.75	3596
1788444813.629546	24	99.75	3598
1788444813.629565	25	99.75	3600
1788444813.629583	26	99.75	3597
1788444813.629602	27	99.75	3600
1788444813.629621	28	99.75	3599
1788444813.629642	29	99.74	3598
1788444813.629660	30	99.75	3596
1788444813.629677	31	99.74	3595
1788444813.629698	32	99.75	3596
1788444813.629718	33	99.74	3598
1788444813.629738	34	99.74	3595
1788444813.629757	35	99.75	3600
1788444813.629778	48	99.74	3595
1788444813.629798	49	99.75	3594
1788444813.629816	50	99.75	3597
1788444813.629837	51	99.76	3596
1788444813.629858	52	99.75	3597
1788444813.629881	53	99.75	3596
1788444813.629903	54	99.75	3596
1788444813.629924	55	99.75	3595
1788444813.629942	56	99.75	3597
1788444813.629962	57	99.75	3595
1788444813.629984	58	99.75	3596
1788444813.630002	59	99.75	3596
Time_Of_Day_Seconds	CPU	Busy%	Bzy_MHz
1788444814.630691	-	99.76	3597
1788444814.630162	151	99.76	3595
1788444814.630185	152	99.76	3595
1788444814.630206	153	99.76	3598
1788444814.630231	24	99.76	3599
1788444814.630248	25	99.76	3600
1788444814.630267	26	99.76	3598
1788444814.630286	27	99.76	3600
1788444814.630304	28	99.76	3600
1788444814.630324	29	99.76	3598
1788444814.630342	30	99.76	3599
1788444814.630360	31	99.76	3599
1788444814.630376	32	99.76	3599
1788444814.630395	33	99.76	3599
1788444814.630413	34	99.76	3599
1788444814.630458	35	99.76	3600
1788444814.630480	48	99.76	3595
1788444814.630499	49	99.76	3594
1788444814.630515	50	99.76	3597
1788444814.630533	51	99.76	3595
1788444814.630553	52	99.76	3597
1788444814.630574	53	99.76	3597
1788444814.630595	54	99.76	3595
1788444814.630615	55	99.76	3596
1788444814.630636	56	99.76	3598
1788444814.630656	57	99.76	3594
1788444814.630673	58	99.76	3597
1788444814.630691	59	99.76	3596
Time_Of_Day_Seconds	CPU	Busy%	Bzy_MHz
1788444815.632134	-	99.76	3597
1788444815.631624	151	99.76	3595
1788444815.631649	152	99.76	3593
1788444815.631669	153	99.76	3597
1788444815.631693	24	99.76	3599
1788444815.631710	25	99.76	3600
1788444815.631730	26	99.76	3600
1788444815.631749	27	99.76	3600
1788444815.631768	28	99.76	3600
1788444815.631787	29	99.76	3600
1788444815.631806	30	99.76	3598
1788444815.631824	31	99.76	3599
1788444815.631840	32	99.76	3596
1788444815.631857	33	99.76	3600
1788444815.631876	34	99.76	3595
1788444815.631894	35	99.76	3600
1788444815.631915	48	99.76	3595
1788444815.631937	49	99.76	3595
1788444815.631957	50	99.76	3597
1788444815.631976	51	99.76	3596
1788444815.631994	52	99.76	3597
1788444815.632015	53	99.76	3596
1788444815.632036	54	99.76	3596
1788444815.632057	55	99.76	3593
1788444815.632079	56	99.76	3598
1788444815.632098	57	99.76	3595
1788444815.632118	58	99.76	3598
1788444815.632134	59	99.76	3597
Time_Of_Day_Seconds	CPU	Busy%	Bzy_MHz
1788444816.632823	-	99.76	3597
1788444816.632293	151	99.76	3595
