Time_Of_Day_Seconds	CPU	Busy%	Bzy_MHz
1788444640.493333	-	0.42	2750
1788444640.492844	151	0.41	2801
1788444640.492862	152	0.42	2780
1788444640.492880	153	0.41	2792
1788444640.492903	24	0.45	2743
1788444640.492922	25	0.41	2790
1788444640.492938	26	0.40	2726
1788444640.492955	27	0.40	2713
1788444640.492973	28	0.40	2719
1788444640.492990	29	0.41	2727
1788444640.493007	30	0.38	2602
1788444640.493026	31	0.40	2712
1788444640.493047	32	0.41	2699
1788444640.493065	33	0.40	2725
1788444640.493082	34	0.40	2707
1788444640.493099	35	0.40	2716
1788444640.493117	48	0.41	2735
1788444640.493134	49	0.40	2709
1788444640.493151	50	0.40	2709
1788444640.493168	51	0.41	2742
1788444640.493184	52	0.40	2723
1788444640.493202	53	0.40	2731
1788444640.493218	54	0.41	2752
1788444640.493236	55	0.40	2715
1788444640.493253	56	0.40	2704
1788444640.493271	57	0.41	2752
1788444640.493312	58	0.54	2994
1788444640.493333	59	0.50	2898
Time_Of_Day_Seconds	CPU	Busy%	Bzy_MHz
1788444641.494897	-	2.84	3755
1788444641.493471	151	0.41	2797
1788444641.493491	152	0.41	2778
1788444641.493513	153	0.41	2812
1788444641.494447	24	66.10	3920
1788444641.494468	25	0.41	2791
1788444641.494486	26	0.40	2745
1788444641.494510	27	0.47	2805
1788444641.494535	28	0.44	2758
1788444641.494554	29	0.41	2733
1788444641.494571	30	0.38	2612
1788444641.494590	31	0.40	2718
1788444641.494610	32	0.41	2717
1788444641.494630	33	0.42	2737
1788444641.494650	34	0.40	2708
1788444641.494667	35	0.40	2724
1788444641.494685	48	0.41	2733
1788444641.494703	49	0.41	2750
1788444641.494721	50	0.40	2730
1788444641.494739	51	0.41	2743
1788444641.494756	52	0.40	2722
1788444641.494773	53	0.40	2742
1788444641.494790	54	0.41	2771
1788444641.494814	55	0.44	2718
1788444641.494841	56	0.43	2710
1788444641.494863	57	0.41	2748
1788444641.494880	58	0.40	2719
1788444641.494897	59	0.42	2736
Time_Of_Day_Seconds	CPU	Busy%	Bzy_MHz
1788444642.496227	-	4.27	3789
1788444642.495678	151	0.38	2798
1788444642.495699	152	0.41	2778
1788444642.495722	153	0.37	2793
1788444642.495743	24	99.76	3895
1788444642.495761	25	0.41	2787
1788444642.495782	26	0.41	2751
1788444642.495805	27	0.45	2767
1788444642.495830	28	0.43	2774
1788444642.495851	29	0.40	2731
1788444642.495872	30	0.40	2610
1788444642.495892	31	0.40	2712
1788444642.495910	32	0.40	2703
1788444642.495929	33	0.41	2736
1788444642.495949	34	0.40	2710
1788444642.495966	35	0.40	2712
1788444642.495983	48	0.41	2733
1788444642.496000	49	0.43	2708
1788444642.496018	50	0.40	2709
1788444642.496036	51	0.41	2749
1788444642.496057	52	0.42	2719
1788444642.496083	53	2.86	3600
1788444642.496110	54	1.39	3683
1788444642.496140	55	1.43	3695
1788444642.496165	56	0.41	2717
1788444642.496186	57	0.41	2771
1788444642.496208	58	0.86	3432
1788444642.496227	59	0.49	2928
Time_Of_Day_Seconds	CPU	Busy%	Bzy_MHz
1788444643.496795	-	4.10	3784
1788444643.496337	151	0.41	2798
1788444643.496355	152	0.43	2855
1788444643.496373	153	0.41	2807
1788444643.496390	24	99.76	3895
1788444643.496408	25	0.45	2889
1788444643.496425	26	0.43	2828
1788444643.496448	27	0.44	2804
1788444643.496465	28	0.43	2775
1788444643.496483	29	0.43	2808
1788444643.496500	30	0.41	2709
1788444643.496519	31	0.41	2756
1788444643.496538	32	0.43	2754
1788444643.496555	33	0.43	2834
1788444643.496573	34	0.41	2702
1788444643.496590	35	0.44	2831
1788444643.496608	48	0.41	2733
1788444643.496626	49	0.41	2715
1788444643.496642	50	0.43	2802
1788444643.496660	51	0.44	2845
1788444643.496677	52	0.42	2727
1788444643.496694	53	0.40	2731
1788444643.496710	54	0.41	2752
1788444643.496728	55	0.40	2717
1788444643.496745	56	0.43	2794
1788444643.496762	57	0.44	2851
1788444643.496779	58	0.42	2717
1788444643.496795	59	0.42	2737
Time_Of_Day_Seconds	CPU	Busy%	Bzy_MHz
1788444644.498076	-	4.09	3784
1788444644.497638	151	0.41	2796
1788444644.497656	152	0.41	2777
1788444644.497673	153	0.40	2795
1788444644.497690	24	99.76	3895
1788444644.497706	25	0.41	2786
1788444644.497722	26	0.40	2725
1788444644.497739	27	0.41	2708
1788444644.497757	28	0.40	2717
1788444644.497776	29	0.40	2726
1788444644.497793	30	0.38	2602
1788444644.497808	31	0.40	2705
1788444644.497825	32	0.40	2697
1788444644.497841	33	0.40	2722
1788444644.497857	34	0.40	2705
1788444644.497874	35	0.40	2713
1788444644.497890	48	0.40	2733
1788444644.497907	49	0.40	2714
1788444644.497923	50	0.40	2710
1788444644.497940	51	0.41	2740
1788444644.497957	52	0.41	2718
1788444644.497973	53	0.40	2728
1788444644.497990	54	0.40	2751
1788444644.498006	55	0.40	2715
1788444644.498023	56	0.40	2700
1788444644.498041	57	0.40	2748
1788444644.498059	58	0.41	2708
1788444644.498076	59	0.48	2934
Time_Of_Day_Seconds	CPU	Busy%	Bzy_MHz
1788444645.498626	-	4.08	3784
1788444645.498190	151	0.41	2799
1788444645.498207	152	0.41	2777
1788444645.498224	153	0.40	2803
1788444645.498240	24	99.76	3895
1788444645.498256	25	0.41	2787
1788444645.498273	26	0.40	2725
1788444645.498290	27	0.40	2709
1788444645.498307	28	0.40	2716
1788444645.498323	29	0.40	2723
1788444645.498340	30	0.38	2602
1788444645.498357	31	0.40	2709
1788444645.498375	32	0.40	2697
1788444645.498390	33	0.40	2723
1788444645.498407	34	0.40	2703
1788444645.498423	35	0.40	2713
1788444645.498440	48	0.40	2733
1788444645.498456	49	0.45	2800
1788444645.498473	50	0.40	2709
