Time_Of_Day_Seconds	CPU	Busy%	Bzy_MHz
1788444825.968161	-	0.42	2766
1788444825.967670	151	0.42	2803
1788444825.967687	152	0.42	2776
1788444825.967706	153	0.42	2820
1788444825.967754	24	0.64	3132
1788444825.967774	25	0.42	2788
1788444825.967791	26	0.41	2727
1788444825.967808	27	0.41	2713
1788444825.967827	28	0.43	2737
1788444825.967844	29	0.41	2727
1788444825.967862	30	0.39	2599
1788444825.967879	31	0.40	2717
1788444825.967897	32	0.41	2710
1788444825.967914	33	0.41	2736
1788444825.967930	34	0.41	2709
1788444825.967948	35	0.41	2715
1788444825.967966	48	0.41	2738
1788444825.967984	49	0.40	2716
1788444825.968001	50	0.41	2714
1788444825.968020	51	0.42	2739
1788444825.968038	52	0.41	2721
1788444825.968055	53	0.41	2738
1788444825.968072	54	0.41	2759
1788444825.968089	55	0.41	2717
1788444825.968106	56	0.41	2706
1788444825.968124	57	0.41	2752
1788444825.968142	58	0.42	2711
1788444825.968161	59	0.53	2985
Time_Of_Day_Seconds	CPU	Busy%	Bzy_MHz
1788444826.971437	-	57.23	3889
1788444826.968298	151	56.77	3890
1788444826.968314	152	56.77	3888
1788444826.968330	153	56.79	3892
1788444826.968350	24	67.02	3923
1788444826.968367	25	56.89	3887
1788444826.968380	26	56.91	3889
1788444826.968395	27	56.89	3886
1788444826.968408	28	56.89	3890
1788444826.968423	29	56.88	3885
1788444826.968439	30	56.88	3890
1788444826.968452	31	56.88	3884
1788444826.968464	32	56.86	3888
1788444826.968477	33	56.86	3885
1788444826.968489	34	56.88	3889
1788444826.968500	35	56.85	3886
1788444826.968514	48	56.85	3890
1788444826.968527	49	56.85	3885
1788444826.968540	50	56.87	3889
1788444826.968555	51	56.85	3888
1788444826.968567	52	56.85	3891
1788444826.968581	53	56.84	3887
1788444826.968594	54	56.85	3890
1788444826.968606	55	56.83	3885
1788444826.968620	56	56.84	3889
1788444826.968635	57	56.82	3888
1788444826.968649	58	56.84	3889
1788444826.971437	59	56.97	3885
Time_Of_Day_Seconds	CPU	Busy%	Bzy_MHz
1788444828.033451	-	99.76	3892
1788444827.973441	151	99.76	3896
1788444827.976437	152	99.76	3894
1788444827.979437	153	99.76	3895
1788444827.982442	24	99.76	3895
1788444827.985437	25	99.76	3890
1788444827.987439	26	99.76	3893
1788444827.988436	27	99.76	3892
1788444827.991436	28	99.76	3894
1788444827.994437	29	99.76	3889
1788444827.994450	30	99.76	3894
1788444827.996438	31	99.76	3890
1788444827.997441	32	99.76	3894
1788444828.000437	33	99.76	3889
1788444828.002438	34	99.76	3894
1788444828.003438	35	99.76	3891
1788444828.006436	48	99.76	3893
1788444828.009438	49	99.76	3890
1788444828.011436	50	99.76	3893
1788444828.012438	51	99.76	3888
1788444828.015437	52	99.76	3894
1788444828.018437	53	99.76	3892
1788444828.021436	54	99.76	3894
1788444828.024440	55	99.76	3890
1788444828.027440	56	99.76	3893
1788444828.030438	57	99.76	3891
1788444828.033440	58	99.76	3893
1788444828.033451	59	99.76	3890
Time_Of_Day_Seconds	CPU	Busy%	Bzy_MHz
1788444829.033855	-	99.75	3894
1788444829.033546	151	99.75	3895
1788444829.033559	152	99.75	3895
1788444829.033573	153	99.75	3896
1788444829.033590	24	99.75	3895
1788444829.033601	25	99.75	3893
1788444829.033613	26	99.75	3895
1788444829.033624	27	99.75	3894
1788444829.033636	28	99.75	3895
1788444829.033647	29	99.75	3892
1788444829.033658	30	99.76	3896
1788444829.033670	31	99.75	3893
1788444829.033680	32	99.75	3895
1788444829.033692	33	99.75	3892
1788444829.033704	34	99.75	3896
