Time_Of_Day_Seconds	CPU	Busy%	Bzy_MHz
1788444718.782201	-	0.41	2741
1788444718.781729	151	0.41	2812
1788444718.781747	152	0.41	2792
1788444718.781766	153	0.41	2803
1788444718.781789	24	0.41	2712
1788444718.781807	25	0.43	2814
1788444718.781825	26	0.43	2734
1788444718.781842	27	0.41	2715
1788444718.781861	28	0.41	2730
1788444718.781880	29	0.41	2734
1788444718.781898	30	0.39	2592
1788444718.781915	31	0.40	2712
1788444718.781933	32	0.41	2709
1788444718.781951	33	0.40	2732
1788444718.781968	34	0.41	2715
1788444718.781987	35	0.41	2715
1788444718.782005	48	0.41	2745
1788444718.782023	49	0.40	2711
1788444718.782041	50	0.40	2709
1788444718.782058	51	0.41	2744
1788444718.782076	52	0.40	2720
1788444718.782093	53	0.40	2739
1788444718.782111	54	0.41	2759
1788444718.782130	55	0.41	2724
1788444718.782148	56	0.40	2706
1788444718.782165	57	0.41	2749
1788444718.782184	58	0.44	2723
1788444718.782201	59	0.50	2906
Time_Of_Day_Seconds	CPU	Busy%	Bzy_MHz
1788444719.783443	-	57.28	3923
1788444719.782357	151	56.84	3925
1788444719.782385	152	56.86	3920
1788444719.782408	153	56.86	3919
1788444719.782474	24	65.93	3950
1788444719.782494	25	56.98	3926
1788444719.782513	26	56.98	3916
1788444719.782533	27	57.03	3926
1788444719.782552	28	56.96	3924
1788444719.782572	29	56.99	3923
1788444719.782592	30	56.91	3924
1788444719.782612	31	57.00	3921
1788444719.782633	32	56.95	3918
1788444719.782656	33	56.96	3923
1788444719.782676	34	56.89	3920
1788444719.782695	35	56.96	3925
1788444719.782717	48	56.93	3922
1788444719.782741	49	56.90	3924
1788444719.782763	50	57.01	3919
1788444719.782787	51	57.00	3922
1788444719.782811	52	56.99	3922
1788444719.782834	53	56.95	3922
1788444719.782856	54	56.97	3918
1788444719.782879	55	56.96	3924
1788444719.782904	56	56.96	3920
1788444719.782928	57	56.95	3922
1788444719.782951	58	56.88	3920
1788444719.783443	59	56.95	3921
Time_Of_Day_Seconds	CPU	Busy%	Bzy_MHz
1788444720.846462	-	99.76	3892
1788444720.786445	151	99.76	3890
1788444720.789445	152	99.76	3887
1788444720.792443	153	99.76	3889
1788444720.793444	24	99.76	3898
1788444720.796444	25	99.76	3898
1788444720.799444	26	99.76	3886
1788444720.802445	27	99.76	3898
1788444720.804443	28	99.76	3898
1788444720.807441	29	99.76	3889
1788444720.810444	30	99.76	3891
1788444720.812442	31	99.76	3886
1788444720.815443	32	99.76	3889
1788444720.818442	33	99.76	3892
1788444720.821441	34	99.76	3893
1788444720.822442	35	99.76	3897
1788444720.824442	48	99.76	3889
1788444720.827443	49	99.76	3893
1788444720.830441	50	99.76	3888
1788444720.831442	51	99.76	3894
1788444720.834441	52	99.76	3895
1788444720.836439	53	99.76	3894
1788444720.837440	54	99.76	3890
1788444720.839442	55	99.76	3889
1788444720.842442	56	99.76	3887
1788444720.845441	57	99.76	3893
1788444720.846442	58	99.76	3892
1788444720.846462	59	99.76	3894
Time_Of_Day_Seconds	CPU	Busy%	Bzy_MHz
1788444721.847092	-	99.76	3892
1788444721.846608	151	99.76	3889
1788444721.846629	152	99.76	3887
1788444721.846647	153	99.76	3890
1788444721.846672	24	99.76	3899
1788444721.846688	25	99.76	3899
1788444721.846705	26	99.76	3893
1788444721.846723	27	99.76	3898
1788444721.846740	28	99.76	3898
1788444721.846758	29	99.76	3888
1788444721.846773	30	99.76	3892
1788444721.846789	31	99.76	3888
1788444721.846804	32	99.76	3887
1788444721.846822	33	99.76	3890
1788444721.846839	34	99.76	3894
1788444721.846856	35	99.76	3898
1788444721.846876	48	99.76	3897
1788444721.846895	49	99.76	3893
1788444721.846913	50	99.76	3888
1788444721.846933	51	99.76	3893
1788444721.846952	52	99.76	3894
1788444721.846970	53	99.76	3895
1788444721.846992	54	99.76	3891
1788444721.847010	55	99.76	3891
1788444721.847029	56	99.76	3887
1788444721.847053	57	99.76	3891
1788444721.847072	58	99.76	3892
