source_file,arm,phase,ctx,users,n_reps,n_requests,mean_per_user_tok_s,min_per_user_tok_s,max_per_user_tok_s,stdev_per_user_tok_s,aggregate_tok_s,reps
p2-inc3-arena.txt,arena-mirror(ON),decode,2048,1,3,3,213.118,212.347,213.801,0.731,213.12,213.801;212.347;213.206
p2-inc3-arena.txt,arena-mirror(ON),decode,2048,8,3,24,55.344,55.267,55.422,0.078,442.75,55.422;55.344;55.267
p2-inc3-arena.txt,arena-mirror(ON),decode,8192,1,3,3,126.399,125.651,127.299,0.835,126.4,127.299;125.651;126.246
p2-inc3-arena.txt,arena-mirror(ON),decode,8192,8,3,24,18.566,18.558,18.57,0.007,148.53,18.569;18.570;18.558
p2-inc3-arena.txt,arena-mirror(ON),prefill,2048,1,3,3,1997.189,1995.728,1998.011,1.268,1997.19,1998.011;1997.828;1995.728
p2-inc3-arena.txt,arena-mirror(ON),prefill,2048,8,3,24,257.555,257.458,257.643,0.093,2060.44,257.643;257.565;257.458
p2-inc3-arena.txt,arena-mirror(ON),prefill,8192,1,3,3,1071.538,1070.281,1073.588,1.79,1071.54,1070.747;1070.281;1073.588
p2-inc3-arena.txt,arena-mirror(ON),prefill,8192,8,3,24,129.27,129.011,129.467,0.234,1034.16,129.011;129.332;129.467
p2-inc3-arena.txt,arena-mirror-killswitch(OFF),decode,2048,1,3,3,203.463,202.738,203.873,0.629,203.46,203.873;202.738;203.777
p2-inc3-arena.txt,arena-mirror-killswitch(OFF),decode,2048,8,3,24,44.662,44.592,44.797,0.117,357.29,44.592;44.596;44.797
p2-inc3-arena.txt,arena-mirror-killswitch(OFF),decode,8192,1,3,3,109.128,108.617,109.58,0.484,109.13,109.580;108.617;109.187
p2-inc3-arena.txt,arena-mirror-killswitch(OFF),decode,8192,8,3,24,14.302,14.278,14.322,0.022,114.42,14.306;14.322;14.278
p2-inc3-arena.txt,arena-mirror-killswitch(OFF),prefill,2048,1,3,3,1386.631,1384.697,1389.19,2.311,1386.63,1384.697;1389.190;1386.006
p2-inc3-arena.txt,arena-mirror-killswitch(OFF),prefill,2048,8,3,24,181.708,181.362,182.059,0.348,1453.66,181.702;181.362;182.059
p2-inc3-arena.txt,arena-mirror-killswitch(OFF),prefill,8192,1,3,3,524.099,523.619,524.66,0.525,524.1,524.019;524.660;523.619
p2-inc3-arena.txt,arena-mirror-killswitch(OFF),prefill,8192,8,3,24,65.463,65.406,65.541,0.07,523.7,65.541;65.406;65.441
t4-reps.txt,arena-mirror,decode,8192,1,5,5,126.447,126.164,126.779,0.225,126.45,126.397;126.164;126.516;126.377;126.779
t4-reps.txt,arena-mirror,decode,8192,8,5,40,18.595,18.564,18.621,0.021,148.76,18.597;18.564;18.592;18.621;18.603
t4-reps.txt,canonical,decode,8192,1,5,5,121.952,121.512,122.325,0.329,121.95,122.325;122.199;121.755;121.512;121.968
t4-reps.txt,canonical,decode,8192,8,5,40,17.051,17.047,17.056,0.004,136.41,17.048;17.056;17.055;17.048;17.047
t4-reps.txt,clean,decode,8192,1,5,5,105.756,105.33,106.111,0.28,105.76,105.733;105.789;106.111;105.330;105.817
t4-reps.txt,clean,decode,8192,8,5,40,14.476,14.454,14.507,0.022,115.81,14.454;14.507;14.469;14.460;14.490
t4-suite.txt,canonical-amx,decode,2048,1,3,3,211.707,210.398,212.548,1.149,211.71,210.398;212.175;212.548
t4-suite.txt,canonical-amx,decode,2048,8,3,24,53.602,52.223,56.222,2.271,428.81,56.222;52.359;52.223
t4-suite.txt,canonical-amx,decode,8192,1,3,3,121.744,121.144,122.364,0.61,121.74,121.144;122.364;121.725
t4-suite.txt,canonical-amx,decode,8192,8,3,24,17.038,17.023,17.058,0.018,136.3,17.032;17.023;17.058
t4-suite.txt,canonical-amx,prefill,2048,1,3,3,2005.912,2002.781,2010.755,4.254,2005.91,2004.199;2010.755;2002.781
t4-suite.txt,canonical-amx,prefill,2048,8,3,24,256.762,256.017,257.387,0.693,2054.1,256.017;257.387;256.883
t4-suite.txt,canonical-amx,prefill,8192,1,3,3,1056.696,1052.287,1060.871,4.297,1056.7,1052.287;1060.871;1056.929
t4-suite.txt,canonical-amx,prefill,8192,8,3,24,124.499,123.887,125.137,0.625,996.0,125.137;123.887;124.474
t4-suite.txt,clean,decode,2048,1,3,3,203.991,203.644,204.407,0.386,203.99,203.644;203.921;204.407
t4-suite.txt,clean,decode,2048,8,3,24,45.059,44.955,45.187,0.118,360.47,44.955;45.035;45.187
t4-suite.txt,clean,decode,8192,1,3,3,105.648,105.478,105.764,0.151,105.65,105.478;105.764;105.703
t4-suite.txt,clean,decode,8192,8,3,24,14.497,14.447,14.536,0.045,115.97,14.536;14.507;14.447
t4-suite.txt,clean,prefill,2048,1,3,3,1384.347,1382.103,1387.281,2.657,1384.35,1383.655;1382.103;1387.281
t4-suite.txt,clean,prefill,2048,8,3,24,181.811,181.231,182.961,0.996,1454.49,181.231;181.240;182.961
t4-suite.txt,clean,prefill,8192,1,3,3,521.332,520.847,522.248,0.794,521.33,520.847;520.901;522.248
t4-suite.txt,clean,prefill,8192,8,3,24,65.353,65.249,65.489,0.123,522.82,65.489;65.321;65.249
t4-suite.txt,mirror-amx,decode,2048,1,3,3,213.175,211.986,213.962,1.048,213.18,213.962;211.986;213.578
t4-suite.txt,mirror-amx,decode,2048,8,3,24,55.222,55.127,55.347,0.113,441.78,55.347;55.127;55.192
t4-suite.txt,mirror-amx,decode,8192,1,3,3,126.615,126.325,126.893,0.284,126.62,126.325;126.628;126.893
t4-suite.txt,mirror-amx,decode,8192,8,3,24,18.356,18.341,18.369,0.014,146.85,18.341;18.369;18.359
t4-suite.txt,mirror-amx,prefill,2048,1,3,3,2031.307,2027.176,2036.93,5.046,2031.31,2027.176;2036.930;2029.814
t4-suite.txt,mirror-amx,prefill,2048,8,3,24,261.131,260.119,262.783,1.443,2089.05,260.492;262.783;260.119
t4-suite.txt,mirror-amx,prefill,8192,1,3,3,1070.0,1066.157,1073.228,3.575,1070.0,1066.157;1070.616;1073.228
t4-suite.txt,mirror-amx,prefill,8192,8,3,24,130.792,130.529,131.18,0.343,1046.34,130.667;130.529;131.180
