phase,series,cell,source_file,arm,clean_tok_s,arm_tok_s,gain_pct,published_pct,diff_pp
decode,canonical,1u/2K,t4-suite.txt,canonical-amx,203.991,211.707,3.78,3.8,-0.02
decode,canonical,1u/8K,t4-suite.txt,canonical-amx,105.648,121.744,15.24,15.2,0.04
decode,canonical,8u/2K,t4-suite.txt,canonical-amx,45.059,53.602,18.96,19.0,-0.04
decode,canonical,8u/8K,t4-suite.txt,canonical-amx,14.497,17.038,17.53,17.5,0.03
decode,arena-mirror,1u/2K,p2-inc3-arena.txt,arena-mirror(ON),203.991,213.118,4.47,4.5,-0.03
decode,arena-mirror,1u/8K,p2-inc3-arena.txt,arena-mirror(ON),105.648,126.399,19.64,19.6,0.04
decode,arena-mirror,8u/2K,p2-inc3-arena.txt,arena-mirror(ON),45.059,55.344,22.83,22.8,0.03
decode,arena-mirror,8u/8K,p2-inc3-arena.txt,arena-mirror(ON),14.497,18.566,28.07,28.1,-0.03
decode,mirror-amx(inc2),1u/2K,t4-suite.txt,mirror-amx,203.991,213.175,4.5,,
decode,mirror-amx(inc2),1u/8K,t4-suite.txt,mirror-amx,105.648,126.615,19.85,,
decode,mirror-amx(inc2),8u/2K,t4-suite.txt,mirror-amx,45.059,55.222,22.55,,
decode,mirror-amx(inc2),8u/8K,t4-suite.txt,mirror-amx,14.497,18.356,26.62,,
prefill,canonical,1u/2K,t4-suite.txt,canonical-amx,1384.347,2005.912,44.9,44.9,-0.0
prefill,canonical,1u/8K,t4-suite.txt,canonical-amx,521.332,1056.696,102.69,102.7,-0.01
prefill,canonical,8u/2K,t4-suite.txt,canonical-amx,181.811,256.762,41.22,41.3,-0.08
prefill,canonical,8u/8K,t4-suite.txt,canonical-amx,65.353,124.499,90.5,90.4,0.1
prefill,arena-mirror,1u/2K,p2-inc3-arena.txt,arena-mirror(ON),1384.347,1997.189,44.27,46.7,-2.43
prefill,arena-mirror,1u/8K,p2-inc3-arena.txt,arena-mirror(ON),521.332,1071.538,105.54,105.2,0.34
prefill,arena-mirror,8u/2K,p2-inc3-arena.txt,arena-mirror(ON),181.811,257.555,41.66,43.6,-1.94
prefill,arena-mirror,8u/8K,p2-inc3-arena.txt,arena-mirror(ON),65.353,129.27,97.8,100.0,-2.2
prefill,mirror-amx(inc2),1u/2K,t4-suite.txt,mirror-amx,1384.347,2031.307,46.73,,
prefill,mirror-amx(inc2),1u/8K,t4-suite.txt,mirror-amx,521.332,1070.0,105.24,,
prefill,mirror-amx(inc2),8u/2K,t4-suite.txt,mirror-amx,181.811,261.131,43.63,,
prefill,mirror-amx(inc2),8u/8K,t4-suite.txt,mirror-amx,65.353,130.792,100.13,,
