figure,series,mode,x,x_label,value,unit,source,selector
fig1,working_set_latency,pre,32768,32768 bytes,1.141,ns,results/snc-off/ptr_chase_delphi-3af6_20260603_2358.csv,"phase==""T1"" pattern==""read"" cpu==0 mem_node==0"
fig1,working_set_latency,pre,65536,65536 bytes,3.645,ns,results/snc-off/ptr_chase_delphi-3af6_20260603_2358.csv,"phase==""T1"" pattern==""read"" cpu==0 mem_node==0"
fig1,working_set_latency,pre,131072,131072 bytes,3.652,ns,results/snc-off/ptr_chase_delphi-3af6_20260603_2358.csv,"phase==""T1"" pattern==""read"" cpu==0 mem_node==0"
fig1,working_set_latency,pre,262144,262144 bytes,3.651,ns,results/snc-off/ptr_chase_delphi-3af6_20260603_2358.csv,"phase==""T1"" pattern==""read"" cpu==0 mem_node==0"
fig1,working_set_latency,pre,524288,524288 bytes,4.061,ns,results/snc-off/ptr_chase_delphi-3af6_20260603_2358.csv,"phase==""T1"" pattern==""read"" cpu==0 mem_node==0"
fig1,working_set_latency,pre,1048576,1048576 bytes,4.656,ns,results/snc-off/ptr_chase_delphi-3af6_20260603_2358.csv,"phase==""T1"" pattern==""read"" cpu==0 mem_node==0"
fig1,working_set_latency,pre,2097152,2097152 bytes,22.603,ns,results/snc-off/ptr_chase_delphi-3af6_20260603_2358.csv,"phase==""T1"" pattern==""read"" cpu==0 mem_node==0"
fig1,working_set_latency,pre,4194304,4194304 bytes,60.535,ns,results/snc-off/ptr_chase_delphi-3af6_20260603_2358.csv,"phase==""T1"" pattern==""read"" cpu==0 mem_node==0"
fig1,working_set_latency,pre,8388608,8388608 bytes,60.579,ns,results/snc-off/ptr_chase_delphi-3af6_20260603_2358.csv,"phase==""T1"" pattern==""read"" cpu==0 mem_node==0"
fig1,working_set_latency,pre,16777216,16777216 bytes,60.607,ns,results/snc-off/ptr_chase_delphi-3af6_20260603_2358.csv,"phase==""T1"" pattern==""read"" cpu==0 mem_node==0"
