draw,status,generate_tok_s,parse_tok_s,ttft_s,ttlt_s,token_sha256,result_dir,source_log,reason
draw_01,ok,166.892,2083.054602726238,0.614482,25.145233,66af1d583183f4b09a47a253e4eb909235b8cfdd19da9bf2c631720934f193c4,/scratch/jhan/perf-fluctuation/deep-dive/3c51-chunk1-tp4-20260812T174040Z/results/draw_01,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260812-174257-1-1/log.0,
draw_02,ok,169.607,2107.0277485825945,0.607491,24.745356,66af1d583183f4b09a47a253e4eb909235b8cfdd19da9bf2c631720934f193c4,/scratch/jhan/perf-fluctuation/deep-dive/3c51-chunk1-tp4-20260812T174040Z/results/draw_02,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260812-174407-1-1/log.0,
draw_03,ok,169.005,2099.8727396734002,0.609561,24.833067,66af1d583183f4b09a47a253e4eb909235b8cfdd19da9bf2c631720934f193c4,/scratch/jhan/perf-fluctuation/deep-dive/3c51-chunk1-tp4-20260812T174040Z/results/draw_03,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260812-174516-1-1/log.0,
draw_04,ok,161.49,2093.9332330117923,0.61129,25.961663,66af1d583183f4b09a47a253e4eb909235b8cfdd19da9bf2c631720934f193c4,/scratch/jhan/perf-fluctuation/deep-dive/3c51-chunk1-tp4-20260812T174040Z/results/draw_04,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260812-174626-1-1/log.0,
draw_05,ok,167.19,2099.5103613788774,0.609666,25.09594,66af1d583183f4b09a47a253e4eb909235b8cfdd19da9bf2c631720934f193c4,/scratch/jhan/perf-fluctuation/deep-dive/3c51-chunk1-tp4-20260812T174040Z/results/draw_05,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260812-174735-1-1/log.0,
draw_06,ok,166.355,2097.0645426513493,0.610377,25.220564,66af1d583183f4b09a47a253e4eb909235b8cfdd19da9bf2c631720934f193c4,/scratch/jhan/perf-fluctuation/deep-dive/3c51-chunk1-tp4-20260812T174040Z/results/draw_06,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260812-174846-1-1/log.0,
draw_07,ok,169.919,2098.39976853339,0.609989,24.70309,66af1d583183f4b09a47a253e4eb909235b8cfdd19da9bf2c631720934f193c4,/scratch/jhan/perf-fluctuation/deep-dive/3c51-chunk1-tp4-20260812T174040Z/results/draw_07,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260812-174955-1-1/log.0,
draw_08,ok,162.555,2079.2541000799415,0.615605,25.801267,66af1d583183f4b09a47a253e4eb909235b8cfdd19da9bf2c631720934f193c4,/scratch/jhan/perf-fluctuation/deep-dive/3c51-chunk1-tp4-20260812T174040Z/results/draw_08,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260812-175102-1-1/log.0,
draw_09,ok,164.071,2102.5191180051224,0.608794,25.560416,66af1d583183f4b09a47a253e4eb909235b8cfdd19da9bf2c631720934f193c4,/scratch/jhan/perf-fluctuation/deep-dive/3c51-chunk1-tp4-20260812T174040Z/results/draw_09,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260812-175213-1-1/log.0,
draw_10,ok,164.313,2076.186877775511,0.616515,25.531466,66af1d583183f4b09a47a253e4eb909235b8cfdd19da9bf2c631720934f193c4,/scratch/jhan/perf-fluctuation/deep-dive/3c51-chunk1-tp4-20260812T174040Z/results/draw_10,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260812-175324-1-1/log.0,
draw_11,ok,167.217,2107.2542081240945,0.607426,25.090642,66af1d583183f4b09a47a253e4eb909235b8cfdd19da9bf2c631720934f193c4,/scratch/jhan/perf-fluctuation/deep-dive/3c51-chunk1-tp4-20260812T174040Z/results/draw_11,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260812-175433-1-1/log.0,
draw_12,ok,162.813,2092.821163967944,0.611615,25.755992,66af1d583183f4b09a47a253e4eb909235b8cfdd19da9bf2c631720934f193c4,/scratch/jhan/perf-fluctuation/deep-dive/3c51-chunk1-tp4-20260812T174040Z/results/draw_12,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260812-175543-1-1/log.0,
