draw,status,generate_tok_s,parse_tok_s,ttft_s,ttlt_s,token_sha256,result_dir,source_log,reason
draw_01,ok,161.243,2087.6753753126154,0.613122,26.002756,66af1d583183f4b09a47a253e4eb909235b8cfdd19da9bf2c631720934f193c4,/scratch/jhan/perf-fluctuation/deep-dive/3c51-dmalat0-tp4-20260812T170220Z/results/draw_01,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260812-170443-1-1/log.0,
draw_02,ok,163.751,2090.7239676959757,0.612228,25.612705,66af1d583183f4b09a47a253e4eb909235b8cfdd19da9bf2c631720934f193c4,/scratch/jhan/perf-fluctuation/deep-dive/3c51-dmalat0-tp4-20260812T170220Z/results/draw_02,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260812-170553-1-1/log.0,
draw_03,ok,161.779,2072.48330305446,0.617617,25.922754,66af1d583183f4b09a47a253e4eb909235b8cfdd19da9bf2c631720934f193c4,/scratch/jhan/perf-fluctuation/deep-dive/3c51-dmalat0-tp4-20260812T170220Z/results/draw_03,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260812-170704-1-1/log.0,
draw_04,ok,162.45,2095.3614035149753,0.610873,25.811515,66af1d583183f4b09a47a253e4eb909235b8cfdd19da9bf2c631720934f193c4,/scratch/jhan/perf-fluctuation/deep-dive/3c51-dmalat0-tp4-20260812T170220Z/results/draw_04,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260812-170816-1-1/log.0,
draw_05,ok,163.5,2087.0311251620624,0.613311,25.652447,66af1d583183f4b09a47a253e4eb909235b8cfdd19da9bf2c631720934f193c4,/scratch/jhan/perf-fluctuation/deep-dive/3c51-dmalat0-tp4-20260812T170220Z/results/draw_05,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260812-170927-1-1/log.0,
draw_06,ok,160.082,2086.1636537006343,0.613566,26.187037,66af1d583183f4b09a47a253e4eb909235b8cfdd19da9bf2c631720934f193c4,/scratch/jhan/perf-fluctuation/deep-dive/3c51-dmalat0-tp4-20260812T170220Z/results/draw_06,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260812-171038-1-1/log.0,
draw_07,ok,168.777,2095.699687439817,0.610775,24.866707,66af1d583183f4b09a47a253e4eb909235b8cfdd19da9bf2c631720934f193c4,/scratch/jhan/perf-fluctuation/deep-dive/3c51-dmalat0-tp4-20260812T170220Z/results/draw_07,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260812-171149-1-1/log.0,
draw_08,ok,162.562,2105.3573137676294,0.607973,25.791392,66af1d583183f4b09a47a253e4eb909235b8cfdd19da9bf2c631720934f193c4,/scratch/jhan/perf-fluctuation/deep-dive/3c51-dmalat0-tp4-20260812T170220Z/results/draw_08,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260812-171259-1-1/log.0,
draw_09,ok,162.113,2083.573673420913,0.614329,25.86804,66af1d583183f4b09a47a253e4eb909235b8cfdd19da9bf2c631720934f193c4,/scratch/jhan/perf-fluctuation/deep-dive/3c51-dmalat0-tp4-20260812T170220Z/results/draw_09,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260812-171405-1-1/log.0,
draw_10,ok,163.116,2091.9689532522,0.611864,25.709867,66af1d583183f4b09a47a253e4eb909235b8cfdd19da9bf2c631720934f193c4,/scratch/jhan/perf-fluctuation/deep-dive/3c51-dmalat0-tp4-20260812T170220Z/results/draw_10,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260812-171515-1-1/log.0,
draw_11,ok,157.257,2093.4716101861654,0.611425,26.644311,66af1d583183f4b09a47a253e4eb909235b8cfdd19da9bf2c631720934f193c4,/scratch/jhan/perf-fluctuation/deep-dive/3c51-dmalat0-tp4-20260812T170220Z/results/draw_11,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260812-171624-1-1/log.0,
draw_12,ok,148.756,2030.869518132813,0.630272,28.150795,66af1d583183f4b09a47a253e4eb909235b8cfdd19da9bf2c631720934f193c4,/scratch/jhan/perf-fluctuation/deep-dive/3c51-dmalat0-tp4-20260812T170220Z/results/draw_12,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260812-171734-1-1/log.0,
