draw,tps,nb,dropped,n7600,n7601,holes,holes_ms,A1,A2,B,Cpre,Ccb,cbF3,F3end,F3wait,Crest,gap,step,F3period,openF1,F1wait,F1F3,F1wcls,wclsF3,A1_med,A2_med,B_med,Cpre_med,Ccb_med,cbF3_med,F3end_med,F3wait_med,Crest_med,gap_med,step_med,F3period_med,openF1_med,F1wait_med,F1F3_med,F1wcls_med,wclsF3_med,A1_p90,A2_p90,B_p90,Cpre_p90,Ccb_p90,cbF3_p90,F3end_p90,F3wait_p90,Crest_p90,gap_p90,step_p90,F3period_p90,openF1_p90,F1wait_p90,F1F3_p90,F1wcls_p90,wclsF3_p90
draw_01,167.205,4095,9,4105,4105,0,0.0,893382.5084249084,45807.6547008547,1230921.7675213674,1525.2571428571428,33943.99902319902,29638.685225885227,389728.60512820515,750324.3760683761,419367.29035409034,2634379.20976801,16192056.243711844,16148086.833699634,872716.6964590965,659116.8796092796,1371933.908180708,78352.90647130647,1293581.0017094016,434356.0,10930.0,1206892.0,136.0,18492.0,830.0,350210.0,700336.0,352532.0,2086136.0,16004128.0,16025794.0,416986.0,258968.0,1264296.0,33740.0,1225004.0,1969661.2,192278.8,1386475.2,631.1999999999998,29158.0,1916.0,439776.0,872238.0,443353.2,3894858.8,18645260.0,18644786.4,1938742.8,1570115.2,1625988.0,240164.8,1421175.5999999999
draw_02,171.098,4095,9,4105,4105,0,0.0,625773.6844932844,50064.76434676435,1265461.4935286934,984.809768009768,35109.415384615386,17316.43418803419,405540.09865689866,817532.3330891331,422856.53284493287,2407839.2781440783,15824611.727472527,15780320.71941392,606219.2654456655,414273.02222222224,1396079.914041514,79158.87277167277,1316921.0412698414,284818.0,10766.0,1209544.0,98.0,18868.0,606.0,351144.0,730494.0,352240.0,1961896.0,15628686.0,15645750.0,266284.0,198482.0,1269414.0,33510.0,1227742.0,1401780.8,211938.79999999996,1717484.8,528.0,33100.799999999996,1382.0,446732.39999999997,1306448.799999999,452863.6,3473465.6,18082636.4,18055814.4,1370564.4,975919.2,1901879.5999999999,256853.2,1814830.7999999993
draw_03,172.702,4095,9,4105,4105,0,0.0,572347.262026862,39396.147496947495,1282362.5387057387,1553.9579975579975,38196.4126984127,26569.772893772893,406000.04053724057,842700.0737484738,432569.81343101343,2374162.351159951,15678674.136263736,15635059.008547008,553128.231013431,395306.4097680098,1415034.0796092795,68207.55115995117,1346826.5284493284,269090.0,12004.0,1207984.0,152.0,17950.0,834.0,341940.0,729720.0,344198.0,1922580.0,15426926.0,15454730.0,252384.0,192936.0,1265162.0,34184.0,1225318.0,1432420.8,154278.0,1934793.9999999995,602.3999999999996,47991.19999999995,985.1999999999998,438716.8,1579935.5999999999,444078.4,3476205.1999999997,17942175.6,17918816.8,1403803.2,1046945.2,2200821.1999999997,199237.19999999995,2124690.8
draw_04,164.422,4095,9,4105,4105,0,0.0,697330.2813186813,54788.9557997558,1471948.7907203906,2038.8815628815628,61459.19267399267,25359.37338217338,481548.12893772894,1032218.0380952382,506907.5023199023,2815228.8664224665,16466208.884493284,16421524.531379731,672687.4778998779,463081.0192918193,1660993.2595848595,103123.70793650794,1557869.5516483516,322826.0,10816.0,1256922.0,112.0,19152.0,694.0,366928.0,759172.0,369946.0,2488470.0,16205588.0,16212210.0,300064.0,224604.0,1393320.0,54702.0,1275862.0,1429834.8,203670.4,2195191.2,1091.5999999999976,214984.8,6787.999999999999,660934.7999999999,1893401.6,703715.6,4513570.8,19077906.8,19058661.2,1390097.6,1005957.6,2548984.8,260328.8,2428632.4
draw_05,170.851,4095,9,4105,4105,0,0.0,603410.1260073261,40711.90915750916,1282294.046886447,1605.8241758241759,36213.619047619046,23322.785347985347,400670.94993894995,827236.9797313798,423993.7352869353,2393707.086202686,15847478.862515263,15803104.915750915,582308.7106227106,414948.86105006107,1410727.4256410256,69678.72380952381,1341048.701831502,303376.0,9720.0,1215538.0,110.0,18562.0,1300.0,346332.0,721960.0,348452.0,1955548.0,15610090.0,15632712.0,283872.0,217724.0,1270446.0,32880.0,1233292.0,1424302.7999999998,169340.8,1757290.4,460.0,33435.6,1857.1999999999998,438213.2,1317958.0,442993.2,3464108.8,18049429.2,18082442.4,1391124.8,1028957.6,1979002.7999999984,210053.59999999998,1839160.7999999989
draw_06,173.293,4095,9,4105,4105,0,0.0,495230.6974358974,31724.312087912087,1331609.9687423687,1204.1074481074481,46815.96727716728,28877.271306471306,436247.27814407815,877166.0175824176,465124.5494505495,2380607.895970696,15626022.51868132,15580513.001709402,479685.5228327228,353354.45714285714,1464675.094993895,58475.16532356532,1406199.9296703297,258888.0,12290.0,1215718.0,130.0,20000.0,616.0,354074.0,738240.0,355482.0,1912210.0,15362974.0,15376086.0,245544.0,185922.0,1273758.0,33396.0,1234926.0,1552076.7999999998,126210.79999999999,2067935.5999999999,538.0,165135.99999999994,3419.5999999999985,551608.7999999998,1622143.5999999999,589809.5999999997,3652828.8,17890669.6,17911812.8,1535837.2,1185502.0,2320648.0,163836.0,2257151.1999999997
draw_07,170.066,4095,9,4105,4105,0,0.0,630087.6991452991,55574.67692307692,1369697.6102564102,2121.3689865689867,46191.60293040293,30412.530402930402,449057.2151404151,950654.4141636142,479469.7455433455,2591157.015873016,15921245.358241757,15876653.051037852,611923.895970696,417665.2713064713,1530175.9047619049,83820.24175824175,1446355.663003663,274512.0,12358.0,1222614.0,224.0,18110.0,1468.0,353418.0,746558.0,355680.0,2078998.0,15711578.0,15710948.0,259600.0,191832.0,1291040.0,33504.0,1239950.0,1381211.6,216167.19999999998,2089989.2,3205.2,161926.0,3087.2,591801.2,1795019.2,628627.9999999997,4069542.8,18405324.0,18342033.2,1349770.4,967041.6,2400051.6,258548.8,2297177.6
draw_08,169.293,4095,9,4105,4105,0,0.0,755736.3843711844,57594.51965811966,1313865.951159951,1702.114774114774,42053.91452991453,24609.09841269841,412176.6481074481,861270.1821733821,436785.7465201465,2614340.2085470087,15994597.70891331,15949128.705738707,731736.3746031746,509601.5394383394,1470427.185836386,90625.22442002442,1379801.9614163614,466388.0,10102.0,1218768.0,156.0,19668.0,734.0,349032.0,721214.0,350714.0,2145548.0,15872808.0,15886568.0,443458.0,238624.0,1280450.0,34258.0,1236886.0,1451148.8,214433.99999999997,2029367.2,696.3999999999996,115690.3999999999,1747.1999999999998,453014.0,1695997.6,471086.39999999997,3796265.5999999996,18363631.2,18367015.2,1412990.0,1045044.8,2357154.8,264180.8,2225910.8
draw_09,168.462,4095,9,4105,4105,0,0.0,548876.9641025641,46554.062515262514,1430294.1787545788,2987.7089133089135,59062.35262515263,18685.120879120877,467257.96483516484,1015913.9985347985,485943.0857142857,2582707.196092796,16071852.068864468,16027072.69108669,530675.0398046398,368751.5326007326,1584774.1914529915,75834.33894993895,1508939.8525030524,259308.0,14140.0,1236024.0,108.0,18502.0,1494.0,360128.0,768152.0,362326.0,2122992.0,15827688.0,15827478.0,245176.0,181804.0,1332370.0,34924.0,1254990.0,1351514.0,177110.4,2173274.8,642.0,223693.99999999994,4642.799999999995,633800.3999999991,1915553.9999999998,674027.5999999997,3925619.1999999997,18499189.6,18486393.6,1318819.2,951596.4,2478576.0,225904.39999999988,2406893.6
draw_10,171.293,4095,9,4105,4105,0,0.0,577144.2188034188,36802.875702075704,1313478.4468864468,1718.2862026862026,44002.10598290598,19067.410500610502,411471.368986569,857534.2183150183,430538.7794871795,2411722.6793650794,15807634.338461539,15762476.986080587,559779.2356532357,400544.8669108669,1440472.0747252747,64422.33015873016,1376049.7445665447,267094.0,13536.0,1212762.0,110.0,18988.0,1650.0,349538.0,737248.0,351510.0,1938762.0,15574940.0,15584854.0,251880.0,190488.0,1272898.0,34986.0,1231760.0,1560630.0,146864.4,2026097.6,432.0,135674.8,2149.2,447440.0,1601126.0,458851.19999999995,3567763.6,18176596.0,18165482.8,1535028.0,1156901.2,2282851.2,179643.59999999998,2199412.4
