draw,tps,nb,dropped,n7600,n7601,holes,holes_ms,A1,A2,B,Cpre,Ccb,cbF3,F3end,F3wait,Crest,gap,step,F3period,openF1,F1wait,F1F3,F1wcls,wclsF3,A1_med,A2_med,B_med,Cpre_med,Ccb_med,cbF3_med,F3end_med,F3wait_med,Crest_med,gap_med,step_med,F3period_med,openF1_med,F1wait_med,F1F3_med,F1wcls_med,wclsF3_med,A1_p90,A2_p90,B_p90,Cpre_p90,Ccb_p90,cbF3_p90,F3end_p90,F3wait_p90,Crest_p90,gap_p90,step_p90,F3period_p90,openF1_p90,F1wait_p90,F1F3_p90,F1wcls_p90,wclsF3_p90
draw_01,149.402,4095,25,4121,4121,0,0.0,498680.75506715506,33523.85738705739,1263917.7543345543,1416.3179487179486,40542.12063492063,13327.952136752137,515185.452014652,801090.5391941392,528513.4041514042,2375446.2324786326,18167868.884981684,18071877.96043956,480769.73577533575,339071.88327228324,1379491.0446886446,62477.56092796093,1317013.4837606838,267118.0,13378.0,1203920.0,182.0,20808.0,610.0,447240.0,728768.0,448460.0,1986726.0,18095184.0,18106730.0,252154.0,188782.0,1265390.0,35260.0,1224946.0,1632847.2,67911.19999999978,1817653.5999999999,823.1999999999998,35540.399999999994,1378.0,522448.4,1306224.4,526792.0,3656740.0,20159440.4,20151892.0,1607139.2,1164420.4,1974368.3999999997,160275.59999999875,1913276.0
draw_02,143.848,4095,25,4121,4121,0,0.0,916731.389010989,42080.7623931624,1207788.6847374847,1074.3946275946275,37973.4905982906,21423.903785103787,496319.7426129426,727878.5997557997,517743.6463980464,2729590.0991452993,18865829.78803419,18770245.52234432,896069.1013431014,656182.2622710622,1337201.255189255,71340.0673992674,1265861.1877899878,424120.0,9902.0,1203580.0,128.0,19832.0,642.0,441348.0,703704.0,442774.0,2156492.0,18777992.0,18802422.0,403040.0,248200.0,1263394.0,32716.0,1223182.0,2068182.4,223193.59999999998,1354593.6,522.0,30652.399999999998,1482.0,522036.8,854638.7999999999,525136.4,4063045.1999999997,21307118.4,21315522.0,2034305.5999999999,1618773.5999999999,1556739.6,270101.6,1377654.8
draw_03,139.221,4095,25,4121,4121,0,0.0,638782.3521367521,45022.43956043956,1545953.4354090353,2266.5855921855923,82267.4652014652,30780.009768009768,685652.8952380952,1075518.626129426,716432.905006105,3041111.3025641027,19487877.835897435,19393556.1001221,621811.661050061,430028.8757020757,1733646.7462759463,74877.5413919414,1658769.2048840048,272288.0,15618.0,1316800.0,106.0,20750.0,954.0,461860.0,796184.0,464352.0,2536516.0,19293316.0,19305702.0,258376.0,190960.0,1473336.0,35704.0,1338130.0,1739694.4,222327.99999999997,2266894.4,1008.7999999999984,276847.2,10877.2,1462309.5999999992,1854579.2,1760765.1999999997,5058603.999999999,21802434.8,21815598.4,1709458.7999999998,1261203.6,2601475.6,269036.4,2522280.0
draw_04,143.337,4095,25,4121,4121,0,0.0,614331.9785103785,49009.19706959707,1525536.6783882785,2535.3094017094018,83841.12673992674,20248.046886446886,687184.5343101344,1070497.013919414,707432.5811965812,2992139.386080586,18931518.945543345,18836871.197557997,597887.5023199023,416355.6156288156,1707067.3494505493,77230.9431013431,1629836.4063492063,264738.0,16338.0,1285274.0,186.0,20326.0,918.0,460494.0,790770.0,462720.0,2533962.0,18838798.0,18843482.0,250840.0,187970.0,1430042.0,36980.0,1306128.0,1701799.5999999999,233353.99999999997,2261024.8,1405.1999999999998,296904.39999999997,9073.999999999998,1594963.1999999983,1909542.0,1743437.5999999978,5091166.399999999,21576392.4,21451211.599999998,1670254.8,1227144.4,2618239.2,272648.8,2541000.4
draw_05,144.454,4095,25,4121,4121,0,0.0,575778.0302808303,45009.28888888889,1362149.6434676435,1620.3277167277167,54213.018315018315,24681.16678876679,554691.4315018315,936711.7465201465,579372.5982905983,2625658.391208791,18785639.475457877,18691123.67912088,551781.6879120879,362296.8576312576,1519185.271794872,78779.0275946276,1440406.2442002443,282548.0,13456.0,1220052.0,102.0,20712.0,956.0,445982.0,744256.0,447876.0,2085774.0,18669968.0,18701652.0,264118.0,199106.0,1293546.0,35002.0,1241344.0,1420805.6,204146.8,2188294.8,699.1999999999998,215406.39999999997,2069.2,545671.2,1938527.5999999999,553858.0,3950896.8,21182489.6,21163832.8,1372254.0,913205.6,2536562.3999999994,262902.8,2450492.8
draw_06,145.787,4095,25,4121,4121,0,0.0,583766.2466422466,45590.95628815629,1222995.6981684982,988.9347985347986,33995.297191697195,27996.89768009768,489534.2324786325,764461.2380952381,517531.13015873014,2411895.993162393,18614387.35873016,18519927.671794873,562483.3860805861,374778.4258852259,1359878.3746031746,76623.50671550672,1283254.8678876678,303956.0,8390.0,1203642.0,118.0,20294.0,984.0,451446.0,707174.0,452860.0,2032026.0,18478338.0,18490282.0,285976.0,221670.0,1262964.0,32974.0,1223640.0,1427866.4,228709.59999999998,1371522.0,430.0,25733.199999999997,1374.0,531324.4,881238.0,534814.0,3477227.6,20760926.0,20786317.6,1394118.0,927531.2,1637318.0,277961.2,1397496.0
draw_07,146.602,4095,25,4121,4121,0,0.0,600939.1633699634,46624.462515262516,1237681.4686202686,1645.2571428571428,38451.831013431016,28141.51697191697,525001.8368742368,782251.4490842491,553143.3538461538,2485839.053968254,18511389.96092796,18416815.07155067,574735.4036630037,381766.5206349206,1386101.8134310134,82994.06153846154,1303107.7518925518,311994.0,7838.0,1207006.0,302.0,20746.0,614.0,444438.0,708350.0,446232.0,2040400.0,18416352.0,18447308.0,289852.0,222958.0,1270556.0,34824.0,1227060.0,1438287.2,236068.39999999997,1426256.7999999998,1024.3999999999996,31749.199999999993,1394.0,533343.6,964307.2,538485.6,3574686.8,20679710.0,20738588.4,1394492.8,933027.2,1762820.3999999994,290228.0,1488651.2
draw_08,148.356,4095,25,4121,4121,0,0.0,429368.4673992674,26807.10476190476,1213908.1875457875,1156.7960927960928,33418.60073260073,23122.84493284493,495459.9438339438,752032.229059829,518582.7887667888,2228727.0627594627,18294778.985592186,18199373.41831502,408370.70036630036,291893.2844932845,1324896.4185592185,55758.492796092796,1269137.9257631258,294386.0,8880.0,1204948.0,136.0,19484.0,1212.0,442456.0,707832.0,443776.0,1984826.0,18170242.0,18201822.0,276074.0,217166.0,1261042.0,32884.0,1224292.0,1170275.5999999996,17679.6,1359234.8,532.0,24716.8,1344.0,522857.6,862700.0,526534.7999999999,3320204.8,20353232.0,20405069.2,1150953.5999999996,705990.0,1537347.5999999996,76244.0,1381309.6
draw_09,146.051,4095,25,4121,4121,0,0.0,728757.1081807081,37640.129426129424,1268791.1545787547,1308.2749694749696,41516.395604395606,17806.331623931623,506593.00708180707,785360.6554334555,524399.3387057387,2608766.6793650794,18583195.735775337,18486434.056166057,707589.5120879121,518167.08717948716,1394584.1601953602,67640.29645909645,1326943.8637362637,332080.0,11394.0,1204324.0,82.0,20658.0,1310.0,449894.0,701016.0,451860.0,2074392.0,18489382.0,18525506.0,312028.0,247436.0,1265040.0,34686.0,1224754.0,1946518.8,213829.59999999998,1392706.3999999997,456.0,28841.6,1850.0,529769.2,879640.4,533742.0,3931007.1999999997,20907214.4,20888250.0,1907922.4,1463282.8,1627128.4,266597.19999999995,1442008.8
draw_10,145.865,4095,25,4121,4121,0,0.0,454580.526007326,31714.566544566544,1217791.1467643469,963.8515262515263,35597.31086691087,34048.383882783884,496011.75384615385,773613.7899877899,530060.1377289378,2277741.287912088,18604578.085470084,18510144.024420023,435876.78144078143,304666.08253968257,1345852.7526251527,59854.48156288156,1285998.271062271,290306.0,9774.0,1202582.0,164.0,20352.0,716.0,439832.0,711768.0,441428.0,1982298.0,18485146.0,18498844.0,274760.0,212914.0,1260102.0,33318.0,1222778.0,1348799.6,64183.59999999993,1368130.0,593.1999999999998,26937.999999999996,1486.0,517072.4,880708.0,521157.6,3363364.0,20681541.6,20667155.599999998,1315281.5999999999,853475.2,1578137.6,149211.99999999994,1389553.2
