draw,status,generate_tok_s,parse_tok_s,ttft_s,ttlt_s,token_sha256,result_dir,source_log,reason
draw_01,ok,149.402,1361.5705260743123,2.444236,29.845794,c91640a749da7d758c2ce870ae180974986a7606ff88801f26adb4fc2e6adc86,/scratch/jhan/perf-fluctuation/deep-dive/3c51-fence13p3072-tp4-20260813T184426Z/results/draw_01,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260813-184646-1-1/log.0,
draw_02,ok,143.848,1360.4516938683785,2.446246,30.905853,c91640a749da7d758c2ce870ae180974986a7606ff88801f26adb4fc2e6adc86,/scratch/jhan/perf-fluctuation/deep-dive/3c51-fence13p3072-tp4-20260813T184426Z/results/draw_02,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260813-184758-1-1/log.0,
draw_03,ok,139.221,1370.6587296564219,2.42803,31.833246,c91640a749da7d758c2ce870ae180974986a7606ff88801f26adb4fc2e6adc86,/scratch/jhan/perf-fluctuation/deep-dive/3c51-fence13p3072-tp4-20260813T184426Z/results/draw_03,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260813-184911-1-1/log.0,
draw_04,ok,143.337,1366.4857009560733,2.435444,30.996998,c91640a749da7d758c2ce870ae180974986a7606ff88801f26adb4fc2e6adc86,/scratch/jhan/perf-fluctuation/deep-dive/3c51-fence13p3072-tp4-20260813T184426Z/results/draw_04,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260813-185025-1-1/log.0,
draw_05,ok,144.454,1363.9337364367907,2.440001,30.780081,c91640a749da7d758c2ce870ae180974986a7606ff88801f26adb4fc2e6adc86,/scratch/jhan/perf-fluctuation/deep-dive/3c51-fence13p3072-tp4-20260813T184426Z/results/draw_05,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260813-185139-1-1/log.0,
draw_06,ok,145.787,1372.5210212399707,2.424735,30.505689,c91640a749da7d758c2ce870ae180974986a7606ff88801f26adb4fc2e6adc86,/scratch/jhan/perf-fluctuation/deep-dive/3c51-fence13p3072-tp4-20260813T184426Z/results/draw_06,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260813-185253-1-1/log.0,
draw_07,ok,146.602,1376.9090919549371,2.417008,30.341794,c91640a749da7d758c2ce870ae180974986a7606ff88801f26adb4fc2e6adc86,/scratch/jhan/perf-fluctuation/deep-dive/3c51-fence13p3072-tp4-20260813T184426Z/results/draw_07,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260813-185408-1-1/log.0,
draw_08,ok,148.356,1376.2127857599678,2.418231,30.013177,c91640a749da7d758c2ce870ae180974986a7606ff88801f26adb4fc2e6adc86,/scratch/jhan/perf-fluctuation/deep-dive/3c51-fence13p3072-tp4-20260813T184426Z/results/draw_08,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260813-185521-1-1/log.0,
draw_09,ok,146.051,1370.4750814628424,2.428355,30.458621,c91640a749da7d758c2ce870ae180974986a7606ff88801f26adb4fc2e6adc86,/scratch/jhan/perf-fluctuation/deep-dive/3c51-fence13p3072-tp4-20260813T184426Z/results/draw_09,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260813-185633-1-1/log.0,
draw_10,ok,145.865,1366.8879192173576,2.434728,30.500668,c91640a749da7d758c2ce870ae180974986a7606ff88801f26adb4fc2e6adc86,/scratch/jhan/perf-fluctuation/deep-dive/3c51-fence13p3072-tp4-20260813T184426Z/results/draw_10,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260813-185748-1-1/log.0,
draw_11,ok,145.411,1373.436614996424,2.423119,30.576726,c91640a749da7d758c2ce870ae180974986a7606ff88801f26adb4fc2e6adc86,/scratch/jhan/perf-fluctuation/deep-dive/3c51-fence13p3072-tp4-20260813T184426Z/results/draw_11,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260813-185901-1-1/log.0,
draw_12,ok,145.929,1378.8775025611571,2.413557,30.467347,c91640a749da7d758c2ce870ae180974986a7606ff88801f26adb4fc2e6adc86,/scratch/jhan/perf-fluctuation/deep-dive/3c51-fence13p3072-tp4-20260813T184426Z/results/draw_12,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260813-190013-1-1/log.0,
draw_13,ok,147.36,1371.896202790046,2.42584,30.207978,c91640a749da7d758c2ce870ae180974986a7606ff88801f26adb4fc2e6adc86,/scratch/jhan/perf-fluctuation/deep-dive/3c51-fence13p3072-tp4-20260813T184426Z/results/draw_13,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260813-190127-1-1/log.0,
draw_14,ok,144.2,1367.5413451110946,2.433564,30.824461,c91640a749da7d758c2ce870ae180974986a7606ff88801f26adb4fc2e6adc86,/scratch/jhan/perf-fluctuation/deep-dive/3c51-fence13p3072-tp4-20260813T184426Z/results/draw_14,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260813-190239-1-1/log.0,
draw_15,ok,144.401,1367.126086854918,2.434304,30.784741,c91640a749da7d758c2ce870ae180974986a7606ff88801f26adb4fc2e6adc86,/scratch/jhan/perf-fluctuation/deep-dive/3c51-fence13p3072-tp4-20260813T184426Z/results/draw_15,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260813-190354-1-1/log.0,
draw_16,ok,147.812,1366.595339697675,2.435249,30.131787,c91640a749da7d758c2ce870ae180974986a7606ff88801f26adb4fc2e6adc86,/scratch/jhan/perf-fluctuation/deep-dive/3c51-fence13p3072-tp4-20260813T184426Z/results/draw_16,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260813-190508-1-1/log.0,
