draw,tps,nb,dropped,n7600,holes,holes_ms,A1,A2,B,Cpre,Ccb,cbF3,F3end,F3wait,Crest,gap,step,F3period,A1_med,A2_med,B_med,Cpre_med,Ccb_med,cbF3_med,F3end_med,F3wait_med,Crest_med,gap_med,step_med,F3period_med,A1_p90,A2_p90,B_p90,Cpre_p90,Ccb_p90,cbF3_p90,F3end_p90,F3wait_p90,Crest_p90,gap_p90,step_p90,F3period_p90
draw_01,163.289,4095,9,4105,0,0.0,637629.4866910867,52971.48376068376,1566680.2275946275,2013.8031746031745,76098.58901098902,21458.926984126985,508164.4542124542,1167604.8884004883,529623.3811965812,2875092.5704517704,16579979.76019536,16535558.176312577,268962.0,14036.0,1325906.0,336.0,22174.0,746.0,372550.0,853516.0,374830.0,2665716.0,16342686.0,16364838.0,1451829.2,205209.19999999995,2285523.2,2894.7999999999993,262469.5999999999,5665.999999999998,883353.5999999999,2046220.0,986104.3999999997,4515071.6,19052162.4,19011735.6
draw_02,171.306,4095,9,4105,0,0.0,633671.8275946276,42120.378021978024,1292031.8886446885,817.4295482295482,38493.00854700855,30347.13650793651,415635.8813186813,844585.7318681319,445983.0178266178,2460620.256898657,15806120.634920634,15761212.612942614,310610.0,9730.0,1213652.0,364.0,19724.0,856.0,360250.0,722114.0,363460.0,1992520.0,15616002.0,15619424.0,1413463.5999999999,174364.39999999997,1962482.0,976.0,82695.99999999991,1898.3999999999942,460524.0,1600812.3999999997,478707.5999999998,3634741.6,18019032.0,17976472.8
draw_03,163.037,4095,9,4105,0,0.0,863151.2063492064,80875.10085470085,1504068.8893772895,1329.128205128205,74551.9452991453,25552.48888888889,536530.5177045177,1105634.7277167276,562083.0065934065,3094398.588034188,16606819.337240538,16561884.657387057,987698.0,15202.0,1276322.0,348.0,22368.0,870.0,377456.0,803418.0,379774.0,3009696.0,16303648.0,16362572.0,1416356.0,221345.59999999998,2197624.4,3470.3999999999996,234989.6,6373.999999999997,1108327.5999999999,1937615.6,1175145.2,4749210.399999999,19155013.6,19112774.0
draw_04,167.709,4095,9,4105,0,0.0,896939.2283272283,42521.897924297926,1298554.039072039,575.8852258852259,40765.16532356532,32166.997802197802,414202.97533577535,820644.5938949939,446369.9731379731,2731984.432234432,16143885.411965812,16099153.305494506,453708.0,11022.0,1212282.0,224.0,21310.0,1406.0,354026.0,710058.0,356638.0,2168760.0,16001828.0,16015862.0,1947747.5999999999,179053.19999999987,1920610.8,494.0,44047.19999999998,2144.0,450148.8,1369785.1999999995,460156.8,4000426.4,18640534.0,18632147.599999998
draw_05,165.033,4095,9,4105,0,0.0,566643.6547008547,44994.27496947497,1714312.6945054946,1628.3008547008546,84692.4713064713,19696.33504273504,540441.9897435898,1290749.6415140415,560138.3247863248,3004013.4246642245,16406508.702319901,16360434.723809524,283628.0,13414.0,1718664.0,342.0,23646.0,1502.0,377832.0,1204128.0,380814.0,2881512.0,16185304.0,16188172.0,1375817.6,200605.19999999998,2296491.6,4143.999999999999,247331.59999999998,11601.599999999999,1129117.1999999997,1977161.2,1166582.3999999997,4533722.8,18921436.4,18912103.2
draw_06,171.316,4095,9,4105,0,0.0,619380.547008547,38213.66056166056,1295068.7775335775,1277.4568986568986,47536.20659340659,19583.094993894993,408159.36996337,851999.1242979243,427742.46495726495,2436563.324053724,15804486.932844933,15760375.343589744,289528.0,12072.0,1210396.0,374.0,20414.0,1830.0,352148.0,733146.0,354712.0,1984292.0,15569380.0,15575744.0,1489567.2,145241.59999999998,1984734.0,967.5999999999995,63665.99999999974,2092.0,441897.6,1642938.3999999997,446558.39999999997,3500876.8,18297699.6,18323454.4
draw_07,167.345,4095,9,4105,0,0.0,670111.0285714286,59878.47619047619,1393610.947985348,1485.4774114774116,55338.85518925519,21843.30695970696,469511.98144078144,973879.0422466423,491355.2884004884,2679827.764102564,16178916.623199023,16134198.736019537,290082.0,14482.0,1223642.0,342.0,22038.0,1280.0,362870.0,754438.0,365432.0,2352120.0,15953734.0,15928530.0,1369234.8,211238.0,2169753.2,3068.3999999999996,198481.59999999998,3836.3999999999996,639768.3999999998,1897166.0,682365.2,4098920.3999999994,18627674.0,18594456.0
draw_08,168.883,4095,9,4105,0,0.0,710492.6935286935,29163.053968253967,1203236.0415140416,616.8551892551892,31301.97606837607,36676.49474969475,387153.3357753358,730148.3267399267,423829.8305250305,2406167.895970696,16031221.606349206,15987237.155555556,318914.0,9380.0,1205724.0,284.0,20534.0,670.0,348914.0,705606.0,350792.0,1956386.0,15855072.0,15864370.0,1952598.4,131513.99999999997,1356338.8,575.1999999999998,28495.199999999997,1536.0,432525.2,853159.2,435950.8,3728428.4,18038878.4,18046762.4
draw_09,172.457,4095,9,4105,0,0.0,613144.4161172161,43178.36678876679,1300357.1081807083,830.6984126984127,40855.51355311355,19450.013675213675,420922.1655677656,857908.7418803419,440372.17924297927,2447421.8832722832,15700416.904029304,15656356.035164835,286064.0,12086.0,1209608.0,348.0,20832.0,1324.0,355382.0,733556.0,357662.0,1977568.0,15598284.0,15601320.0,1415357.2,188030.0,1999200.3999999997,770.3999999999996,46148.39999999999,1928.0,444098.4,1664873.6,450215.6,3495021.1999999997,18036042.4,18086587.2
draw_10,166.588,4095,9,4105,0,0.0,655003.0617826618,56806.81367521368,1382270.526007326,895.4383394383394,49020.40683760684,17889.50183150183,446721.76507936505,941667.8710622711,464611.2669108669,2614977.5096459095,16252600.098656898,16207739.535042735,297322.0,13172.0,1223368.0,330.0,21022.0,930.0,360986.0,744176.0,363258.0,2108504.0,16058956.0,16065652.0,1382928.8,218748.4,2102526.8,2228.7999999999984,168983.19999999998,3921.2,532398.7999999999,1785481.2,571603.6,4002631.1999999993,18665040.8,18673089.6
draw_11,167.105,4095,9,4105,0,0.0,648272.7184371185,53366.942124542125,1350595.8461538462,894.0864468864469,46817.66251526251,30708.188034188035,460713.3128205128,929256.6866910867,491421.50085470086,2600589.2024420025,16201972.169474969,16157956.965079365,280400.0,12310.0,1215976.0,362.0,21060.0,608.0,358720.0,743288.0,360854.0,2085522.0,15992440.0,16008092.0,1422164.0,215485.59999999998,2082416.8,1976.0,165621.59999999995,4441.999999999996,555886.7999999999,1788041.5999999999,594419.6,4029405.6,18651862.0,18664232.0
draw_12,167.461,4095,9,4105,0,0.0,790880.8307692307,64484.31843711844,1310582.3907203907,755.9360195360196,40992.27350427351,24991.260073260073,410234.6744810745,857486.8283272283,435225.93455433456,2650117.5282051284,16169322.289133089,16123333.39047619,521908.0,10718.0,1212308.0,288.0,20848.0,738.0,359526.0,718928.0,361254.0,2339742.0,16046770.0,16049576.0,1455877.6,230684.8,2003910.7999999996,674.3999999999996,120853.99999999993,2170.3999999999996,456235.19999999995,1638711.5999999999,475156.7999999999,3608670.4,18470478.0,18458504.0
draw_13,164.279,4095,9,4105,0,0.0,735546.5484737485,65794.7326007326,1450054.9377289377,1160.4229548229548,68676.08693528693,19782.42197802198,499190.9772893773,1043423.6654456655,518973.3992673993,2848265.8402930405,16482011.714774115,16436241.554090355,476928.0,15762.0,1238464.0,368.0,21092.0,766.0,374846.0,770580.0,376672.0,2736172.0,16262060.0,16271210.0,1385837.2,211736.4,2171668.4,2600.7999999999984,237195.59999999998,7277.999999999997,738754.7999999996,1911763.2,789278.7999999999,4363000.399999999,18914518.8,18899296.8
draw_14,165.238,4095,9,4105,0,0.0,798687.7851037851,68485.71623931624,1386204.96996337,1759.2034188034188,53343.41098901099,25992.977777777778,459030.7355311355,964066.231013431,485023.7133089133,2801199.98046398,16386426.224175824,16340005.823199023,662818.0,13218.0,1223086.0,400.0,21034.0,706.0,365132.0,747210.0,367086.0,2542726.0,16185106.0,16185408.0,1421124.8,219967.19999999998,2157276.8,3321.5999999999995,191564.79999999996,4194.4,570767.6,1884138.4,598009.2,4334013.2,18866716.8,18874572.4
