draw,status,generate_tok_s,parse_tok_s,ttft_s,ttlt_s,token_sha256,result_dir,source_log,reason
draw_01,ok,163.289,2219.8601753779026,0.576613,25.648554,66af1d583183f4b09a47a253e4eb909235b8cfdd19da9bf2c631720934f193c4,/scratch/jhan/perf-fluctuation/deep-dive/3c51-fence3-tp4-20260813T050910Z/results/draw_01,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260813-051126-1-1/log.0,
draw_02,ok,171.306,2244.2651923340527,0.570343,24.468177,66af1d583183f4b09a47a253e4eb909235b8cfdd19da9bf2c631720934f193c4,/scratch/jhan/perf-fluctuation/deep-dive/3c51-fence3-tp4-20260813T050910Z/results/draw_02,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260813-051233-1-1/log.0,
draw_03,ok,163.037,2217.4275317960874,0.577245,25.689543,66af1d583183f4b09a47a253e4eb909235b8cfdd19da9bf2c631720934f193c4,/scratch/jhan/perf-fluctuation/deep-dive/3c51-fence3-tp4-20260813T050910Z/results/draw_03,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260813-051341-1-1/log.0,
draw_04,ok,167.709,2226.3938232863948,0.574921,24.985274,66af1d583183f4b09a47a253e4eb909235b8cfdd19da9bf2c631720934f193c4,/scratch/jhan/perf-fluctuation/deep-dive/3c51-fence3-tp4-20260813T050910Z/results/draw_04,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260813-051449-1-1/log.0,
draw_05,ok,165.033,2204.7783261526547,0.580557,25.386674,66af1d583183f4b09a47a253e4eb909235b8cfdd19da9bf2c631720934f193c4,/scratch/jhan/perf-fluctuation/deep-dive/3c51-fence3-tp4-20260813T050910Z/results/draw_05,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260813-051557-1-1/log.0,
draw_06,ok,171.316,2238.222634680024,0.571882,24.468226,66af1d583183f4b09a47a253e4eb909235b8cfdd19da9bf2c631720934f193c4,/scratch/jhan/perf-fluctuation/deep-dive/3c51-fence3-tp4-20260813T050910Z/results/draw_06,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260813-051704-1-1/log.0,
draw_07,ok,167.345,2233.3958746410876,0.573118,25.036627,66af1d583183f4b09a47a253e4eb909235b8cfdd19da9bf2c631720934f193c4,/scratch/jhan/perf-fluctuation/deep-dive/3c51-fence3-tp4-20260813T050910Z/results/draw_07,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260813-051812-1-1/log.0,
draw_08,ok,168.883,2241.1611270903663,0.571133,24.811843,66af1d583183f4b09a47a253e4eb909235b8cfdd19da9bf2c631720934f193c4,/scratch/jhan/perf-fluctuation/deep-dive/3c51-fence3-tp4-20260813T050910Z/results/draw_08,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260813-051919-1-1/log.0,
draw_09,ok,172.457,2216.6598184289264,0.577445,24.315769,66af1d583183f4b09a47a253e4eb909235b8cfdd19da9bf2c631720934f193c4,/scratch/jhan/perf-fluctuation/deep-dive/3c51-fence3-tp4-20260813T050910Z/results/draw_09,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260813-052026-1-1/log.0,
draw_10,ok,166.588,2241.081695057968,0.571153,25.146357,66af1d583183f4b09a47a253e4eb909235b8cfdd19da9bf2c631720934f193c4,/scratch/jhan/perf-fluctuation/deep-dive/3c51-fence3-tp4-20260813T050910Z/results/draw_10,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260813-052132-1-1/log.0,
draw_11,ok,167.105,2232.7762415317843,0.573277,25.072342,66af1d583183f4b09a47a253e4eb909235b8cfdd19da9bf2c631720934f193c4,/scratch/jhan/perf-fluctuation/deep-dive/3c51-fence3-tp4-20260813T050910Z/results/draw_11,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260813-052239-1-1/log.0,
draw_12,ok,167.461,2216.763876063385,0.577418,25.024521,66af1d583183f4b09a47a253e4eb909235b8cfdd19da9bf2c631720934f193c4,/scratch/jhan/perf-fluctuation/deep-dive/3c51-fence3-tp4-20260813T050910Z/results/draw_12,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260813-052346-1-1/log.0,
draw_13,ok,164.279,2209.419895903147,0.579338,25.500938,66af1d583183f4b09a47a253e4eb909235b8cfdd19da9bf2c631720934f193c4,/scratch/jhan/perf-fluctuation/deep-dive/3c51-fence3-tp4-20260813T050910Z/results/draw_13,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260813-052453-1-1/log.0,
draw_14,ok,165.238,2200.83423240564,0.581598,25.357437,66af1d583183f4b09a47a253e4eb909235b8cfdd19da9bf2c631720934f193c4,/scratch/jhan/perf-fluctuation/deep-dive/3c51-fence3-tp4-20260813T050910Z/results/draw_14,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260813-052602-1-1/log.0,
draw_15,ok,167.873,2227.876212339961,0.574538,24.961045,66af1d583183f4b09a47a253e4eb909235b8cfdd19da9bf2c631720934f193c4,/scratch/jhan/perf-fluctuation/deep-dive/3c51-fence3-tp4-20260813T050910Z/results/draw_15,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260813-052711-1-1/log.0,
draw_16,ok,169.23,2230.4893334453945,0.573865,24.764991,66af1d583183f4b09a47a253e4eb909235b8cfdd19da9bf2c631720934f193c4,/scratch/jhan/perf-fluctuation/deep-dive/3c51-fence3-tp4-20260813T050910Z/results/draw_16,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260813-052818-1-1/log.0,
