draw,status,generate_tok_s,parse_tok_s,ttft_s,ttlt_s,token_sha256,result_dir,source_log,reason
draw_01,ok,168.988,2225.635907213448,0.575117,24.800927,66af1d583183f4b09a47a253e4eb909235b8cfdd19da9bf2c631720934f193c4,/scratch/jhan/perf-fluctuation/deep-dive/3c51-kvprobe9-tp4-20260812T162154Z/results/draw_01,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260812-162408-1-1/log.0,
draw_02,ok,172.264,2229.3897567357476,0.574148,24.339113,66af1d583183f4b09a47a253e4eb909235b8cfdd19da9bf2c631720934f193c4,/scratch/jhan/perf-fluctuation/deep-dive/3c51-kvprobe9-tp4-20260812T162154Z/results/draw_02,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260812-162514-1-1/log.0,
draw_03,ok,167.45,2235.1693631482112,0.572664,25.020984,66af1d583183f4b09a47a253e4eb909235b8cfdd19da9bf2c631720934f193c4,/scratch/jhan/perf-fluctuation/deep-dive/3c51-kvprobe9-tp4-20260812T162154Z/results/draw_03,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260812-162621-1-1/log.0,
draw_04,ok,166.986,2243.051946386159,0.570651,25.087326,66af1d583183f4b09a47a253e4eb909235b8cfdd19da9bf2c631720934f193c4,/scratch/jhan/perf-fluctuation/deep-dive/3c51-kvprobe9-tp4-20260812T162154Z/results/draw_04,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260812-162727-1-1/log.0,
draw_05,ok,170.653,2186.991863973371,0.585279,24.575163,66af1d583183f4b09a47a253e4eb909235b8cfdd19da9bf2c631720934f193c4,/scratch/jhan/perf-fluctuation/deep-dive/3c51-kvprobe9-tp4-20260812T162154Z/results/draw_05,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260812-162833-1-1/log.0,
draw_06,ok,166.748,2219.1658298504394,0.576793,25.12768,66af1d583183f4b09a47a253e4eb909235b8cfdd19da9bf2c631720934f193c4,/scratch/jhan/perf-fluctuation/deep-dive/3c51-kvprobe9-tp4-20260812T162154Z/results/draw_06,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260812-162939-1-1/log.0,
draw_07,ok,169.751,2237.666178508718,0.572025,24.688845,66af1d583183f4b09a47a253e4eb909235b8cfdd19da9bf2c631720934f193c4,/scratch/jhan/perf-fluctuation/deep-dive/3c51-kvprobe9-tp4-20260812T162154Z/results/draw_07,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260812-163047-1-1/log.0,
draw_08,ok,169.27,2242.144953014127,0.570882,24.756136,66af1d583183f4b09a47a253e4eb909235b8cfdd19da9bf2c631720934f193c4,/scratch/jhan/perf-fluctuation/deep-dive/3c51-kvprobe9-tp4-20260812T162154Z/results/draw_08,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260812-163155-1-1/log.0,
draw_09,ok,168.023,2222.4960638335874,0.575929,24.940647,66af1d583183f4b09a47a253e4eb909235b8cfdd19da9bf2c631720934f193c4,/scratch/jhan/perf-fluctuation/deep-dive/3c51-kvprobe9-tp4-20260812T162154Z/results/draw_09,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260812-163301-1-1/log.0,
draw_10,ok,169.689,2223.6441731820914,0.575632,24.702353,66af1d583183f4b09a47a253e4eb909235b8cfdd19da9bf2c631720934f193c4,/scratch/jhan/perf-fluctuation/deep-dive/3c51-kvprobe9-tp4-20260812T162154Z/results/draw_10,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260812-163407-1-1/log.0,
draw_11,ok,165.269,2239.40768954271,0.57158,25.342395,66af1d583183f4b09a47a253e4eb909235b8cfdd19da9bf2c631720934f193c4,/scratch/jhan/perf-fluctuation/deep-dive/3c51-kvprobe9-tp4-20260812T162154Z/results/draw_11,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260812-163515-1-1/log.0,
draw_12,ok,168.983,2233.8741134763686,0.572996,24.799464,66af1d583183f4b09a47a253e4eb909235b8cfdd19da9bf2c631720934f193c4,/scratch/jhan/perf-fluctuation/deep-dive/3c51-kvprobe9-tp4-20260812T162154Z/results/draw_12,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260812-163618-1-1/log.0,
