draw,status,generate_tok_s,parse_tok_s,ttft_s,ttlt_s,token_sha256,result_dir,source_log,reason
draw_01,ok,163.535,2085.0073899747667,0.613907,25.647597,66af1d583183f4b09a47a253e4eb909235b8cfdd19da9bf2c631720934f193c4,/scratch/jhan/perf-fluctuation/deep-dive/3c51-minfreq-tp4-20260812T172103Z/results/draw_01,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260812-172329-1-1/log.0,
draw_02,ok,166.462,2073.6329096325653,0.617274,25.21111,66af1d583183f4b09a47a253e4eb909235b8cfdd19da9bf2c631720934f193c4,/scratch/jhan/perf-fluctuation/deep-dive/3c51-minfreq-tp4-20260812T172103Z/results/draw_02,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260812-172440-1-1/log.0,
draw_03,ok,164.757,2082.5823224210285,0.614622,25.462268,66af1d583183f4b09a47a253e4eb909235b8cfdd19da9bf2c631720934f193c4,/scratch/jhan/perf-fluctuation/deep-dive/3c51-minfreq-tp4-20260812T172103Z/results/draw_03,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260812-172549-1-1/log.0,
draw_04,ok,158.398,2084.0839122195252,0.614179,26.459264,66af1d583183f4b09a47a253e4eb909235b8cfdd19da9bf2c631720934f193c4,/scratch/jhan/perf-fluctuation/deep-dive/3c51-minfreq-tp4-20260812T172103Z/results/draw_04,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260812-172658-1-1/log.0,
draw_05,ok,162.336,2107.6995545815,0.607297,25.825565,66af1d583183f4b09a47a253e4eb909235b8cfdd19da9bf2c631720934f193c4,/scratch/jhan/perf-fluctuation/deep-dive/3c51-minfreq-tp4-20260812T172103Z/results/draw_05,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260812-172808-1-1/log.0,
draw_06,ok,163.306,2094.5005633052906,0.611124,25.680045,66af1d583183f4b09a47a253e4eb909235b8cfdd19da9bf2c631720934f193c4,/scratch/jhan/perf-fluctuation/deep-dive/3c51-minfreq-tp4-20260812T172103Z/results/draw_06,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260812-172920-1-1/log.0,
draw_07,ok,161.428,2094.213919920558,0.611208,25.971906,66af1d583183f4b09a47a253e4eb909235b8cfdd19da9bf2c631720934f193c4,/scratch/jhan/perf-fluctuation/deep-dive/3c51-minfreq-tp4-20260812T172103Z/results/draw_07,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260812-173031-1-1/log.0,
draw_08,ok,162.055,2074.8749993582883,0.616905,25.878774,66af1d583183f4b09a47a253e4eb909235b8cfdd19da9bf2c631720934f193c4,/scratch/jhan/perf-fluctuation/deep-dive/3c51-minfreq-tp4-20260812T172103Z/results/draw_08,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260812-173142-1-1/log.0,
draw_09,ok,165.785,2099.149581533793,0.609771,25.303707,66af1d583183f4b09a47a253e4eb909235b8cfdd19da9bf2c631720934f193c4,/scratch/jhan/perf-fluctuation/deep-dive/3c51-minfreq-tp4-20260812T172103Z/results/draw_09,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260812-173251-1-1/log.0,
draw_10,ok,158.019,2096.7263846993174,0.610475,26.518279,66af1d583183f4b09a47a253e4eb909235b8cfdd19da9bf2c631720934f193c4,/scratch/jhan/perf-fluctuation/deep-dive/3c51-minfreq-tp4-20260812T172103Z/results/draw_10,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260812-173401-1-1/log.0,
draw_11,ok,168.176,2097.08216100365,0.610372,24.952989,66af1d583183f4b09a47a253e4eb909235b8cfdd19da9bf2c631720934f193c4,/scratch/jhan/perf-fluctuation/deep-dive/3c51-minfreq-tp4-20260812T172103Z/results/draw_11,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260812-173512-1-1/log.0,
draw_12,ok,160.694,2072.2684887911946,0.617681,26.093805,66af1d583183f4b09a47a253e4eb909235b8cfdd19da9bf2c631720934f193c4,/scratch/jhan/perf-fluctuation/deep-dive/3c51-minfreq-tp4-20260812T172103Z/results/draw_12,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260812-173622-1-1/log.0,
