draw,status,generate_tok_s,parse_tok_s,ttft_s,ttlt_s,token_sha256,result_dir,source_log,reason
draw_01,ok,164.925,2102.959010041378,0.608666,25.432037,66af1d583183f4b09a47a253e4eb909235b8cfdd19da9bf2c631720934f193c4,/scratch/jhan/perf-fluctuation/deep-dive/3c51-msrsamp-tp4-20260812T175744Z/results/draw_01,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260812-180016-1-1/log.0,
draw_02,ok,163.89,2089.3616586178146,0.612627,25.591743,66af1d583183f4b09a47a253e4eb909235b8cfdd19da9bf2c631720934f193c4,/scratch/jhan/perf-fluctuation/deep-dive/3c51-msrsamp-tp4-20260812T175744Z/results/draw_02,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260812-180139-1-1/log.0,
draw_03,ok,161.711,2085.4066633741354,0.613789,25.929411,66af1d583183f4b09a47a253e4eb909235b8cfdd19da9bf2c631720934f193c4,/scratch/jhan/perf-fluctuation/deep-dive/3c51-msrsamp-tp4-20260812T175744Z/results/draw_03,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260812-180303-1-1/log.0,
draw_04,ok,163.804,2094.82295307591,0.61103,25.603501,66af1d583183f4b09a47a253e4eb909235b8cfdd19da9bf2c631720934f193c4,/scratch/jhan/perf-fluctuation/deep-dive/3c51-msrsamp-tp4-20260812T175744Z/results/draw_04,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260812-180425-1-1/log.0,
draw_05,ok,161.177,2106.3193211389435,0.607695,26.008394,66af1d583183f4b09a47a253e4eb909235b8cfdd19da9bf2c631720934f193c4,/scratch/jhan/perf-fluctuation/deep-dive/3c51-msrsamp-tp4-20260812T175744Z/results/draw_05,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260812-180548-1-1/log.0,
draw_06,ok,152.595,2104.5590513571174,0.608203,27.436011,66af1d583183f4b09a47a253e4eb909235b8cfdd19da9bf2c631720934f193c4,/scratch/jhan/perf-fluctuation/deep-dive/3c51-msrsamp-tp4-20260812T175744Z/results/draw_06,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260812-180711-1-1/log.0,
draw_07,ok,164.228,2109.2213163726365,0.606859,25.535308,66af1d583183f4b09a47a253e4eb909235b8cfdd19da9bf2c631720934f193c4,/scratch/jhan/perf-fluctuation/deep-dive/3c51-msrsamp-tp4-20260812T175744Z/results/draw_07,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260812-180833-1-1/log.0,
draw_08,ok,165.192,2095.737630519347,0.610763,25.39303,66af1d583183f4b09a47a253e4eb909235b8cfdd19da9bf2c631720934f193c4,/scratch/jhan/perf-fluctuation/deep-dive/3c51-msrsamp-tp4-20260812T175744Z/results/draw_08,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260812-180957-1-1/log.0,
draw_09,ok,162.305,2088.177691457732,0.612975,25.836009,66af1d583183f4b09a47a253e4eb909235b8cfdd19da9bf2c631720934f193c4,/scratch/jhan/perf-fluctuation/deep-dive/3c51-msrsamp-tp4-20260812T175744Z/results/draw_09,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260812-181119-1-1/log.0,
draw_10,ok,162.404,2061.6816426523224,0.620852,25.829122,66af1d583183f4b09a47a253e4eb909235b8cfdd19da9bf2c631720934f193c4,/scratch/jhan/perf-fluctuation/deep-dive/3c51-msrsamp-tp4-20260812T175744Z/results/draw_10,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260812-181241-1-1/log.0,
draw_11,ok,163.609,2089.010999343057,0.61273,25.634802,66af1d583183f4b09a47a253e4eb909235b8cfdd19da9bf2c631720934f193c4,/scratch/jhan/perf-fluctuation/deep-dive/3c51-msrsamp-tp4-20260812T175744Z/results/draw_11,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260812-181403-1-1/log.0,
draw_12,ok,166.221,2094.584021168953,0.6111,25.239874,66af1d583183f4b09a47a253e4eb909235b8cfdd19da9bf2c631720934f193c4,/scratch/jhan/perf-fluctuation/deep-dive/3c51-msrsamp-tp4-20260812T175744Z/results/draw_12,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260812-181526-1-1/log.0,
