draw,status,generate_tok_s,parse_tok_s,ttft_s,ttlt_s,token_sha256,result_dir,source_log,reason
draw_01,ok,170.219,2259.701645483491,0.566446,24.617164,66af1d583183f4b09a47a253e4eb909235b8cfdd19da9bf2c631720934f193c4,/scratch/jhan/perf-fluctuation/deep-dive/3c51-smicount-tp4-20260812T164106Z/results/draw_01,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260812-164322-1-1/log.0,
draw_02,ok,168.074,2207.1236190799145,0.57994,24.937282,66af1d583183f4b09a47a253e4eb909235b8cfdd19da9bf2c631720934f193c4,/scratch/jhan/perf-fluctuation/deep-dive/3c51-smicount-tp4-20260812T164106Z/results/draw_02,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260812-164428-1-1/log.0,
draw_03,ok,164.542,2229.7664822700885,0.574051,25.455192,66af1d583183f4b09a47a253e4eb909235b8cfdd19da9bf2c631720934f193c4,/scratch/jhan/perf-fluctuation/deep-dive/3c51-smicount-tp4-20260812T164106Z/results/draw_03,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260812-164536-1-1/log.0,
draw_04,ok,167.035,2213.933922409261,0.578156,25.087482,66af1d583183f4b09a47a253e4eb909235b8cfdd19da9bf2c631720934f193c4,/scratch/jhan/perf-fluctuation/deep-dive/3c51-smicount-tp4-20260812T164106Z/results/draw_04,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260812-164642-1-1/log.0,
draw_05,ok,167.165,2246.890769667922,0.569676,25.059696,66af1d583183f4b09a47a253e4eb909235b8cfdd19da9bf2c631720934f193c4,/scratch/jhan/perf-fluctuation/deep-dive/3c51-smicount-tp4-20260812T164106Z/results/draw_05,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260812-164752-1-1/log.0,
draw_06,ok,166.292,2222.4143877579554,0.57595,25.19428,66af1d583183f4b09a47a253e4eb909235b8cfdd19da9bf2c631720934f193c4,/scratch/jhan/perf-fluctuation/deep-dive/3c51-smicount-tp4-20260812T164106Z/results/draw_06,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260812-164859-1-1/log.0,
draw_07,ok,170.266,2226.046647656182,0.57501,24.620464,66af1d583183f4b09a47a253e4eb909235b8cfdd19da9bf2c631720934f193c4,/scratch/jhan/perf-fluctuation/deep-dive/3c51-smicount-tp4-20260812T164106Z/results/draw_07,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260812-165008-1-1/log.0,
draw_08,ok,165.665,2203.9375451759847,0.580779,25.292494,66af1d583183f4b09a47a253e4eb909235b8cfdd19da9bf2c631720934f193c4,/scratch/jhan/perf-fluctuation/deep-dive/3c51-smicount-tp4-20260812T164106Z/results/draw_08,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260812-165114-1-1/log.0,
draw_09,ok,170.101,2244.3860842108143,0.570312,24.637918,66af1d583183f4b09a47a253e4eb909235b8cfdd19da9bf2c631720934f193c4,/scratch/jhan/perf-fluctuation/deep-dive/3c51-smicount-tp4-20260812T164106Z/results/draw_09,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260812-165223-1-1/log.0,
draw_10,ok,166.741,2222.017179414722,0.576053,25.128739,66af1d583183f4b09a47a253e4eb909235b8cfdd19da9bf2c631720934f193c4,/scratch/jhan/perf-fluctuation/deep-dive/3c51-smicount-tp4-20260812T164106Z/results/draw_10,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260812-165329-1-1/log.0,
