draw,status,generate_tok_s,parse_tok_s,ttft_s,ttlt_s,token_sha256,result_dir,source_log,reason
draw_01,ok,163.96,2113.8973193435236,0.605517,25.574044,66af1d583183f4b09a47a253e4eb909235b8cfdd19da9bf2c631720934f193c4,/scratch/jhan/perf-fluctuation/deep-dive/3c51-tp2antag-20260812T191334Z/results/draw_01,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260812-191554-1-1/log.0,
draw_02,ok,164.462,2092.1692478357995,0.611805,25.504106,66af1d583183f4b09a47a253e4eb909235b8cfdd19da9bf2c631720934f193c4,/scratch/jhan/perf-fluctuation/deep-dive/3c51-tp2antag-20260812T191334Z/results/draw_02,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260812-191704-1-1/log.0,
draw_03,ok,166.009,2100.280239571944,0.609442,25.269934,66af1d583183f4b09a47a253e4eb909235b8cfdd19da9bf2c631720934f193c4,/scratch/jhan/perf-fluctuation/deep-dive/3c51-tp2antag-20260812T191334Z/results/draw_03,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260812-191815-1-1/log.0,
draw_04,ok,162.777,2091.4116115182474,0.612027,25.761819,66af1d583183f4b09a47a253e4eb909235b8cfdd19da9bf2c631720934f193c4,/scratch/jhan/perf-fluctuation/deep-dive/3c51-tp2antag-20260812T191334Z/results/draw_04,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260812-191925-1-1/log.0,
draw_05,ok,165.943,2099.6329403649934,0.60963,25.279888,66af1d583183f4b09a47a253e4eb909235b8cfdd19da9bf2c631720934f193c4,/scratch/jhan/perf-fluctuation/deep-dive/3c51-tp2antag-20260812T191334Z/results/draw_05,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260812-192037-1-1/log.0,
draw_06,ok,163.497,2102.578037787542,0.608776,25.649272,66af1d583183f4b09a47a253e4eb909235b8cfdd19da9bf2c631720934f193c4,/scratch/jhan/perf-fluctuation/deep-dive/3c51-tp2antag-20260812T191334Z/results/draw_06,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260812-192148-1-1/log.0,
draw_07,ok,164.901,2090.0359534516074,0.61243,25.438471,66af1d583183f4b09a47a253e4eb909235b8cfdd19da9bf2c631720934f193c4,/scratch/jhan/perf-fluctuation/deep-dive/3c51-tp2antag-20260812T191334Z/results/draw_07,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260812-192255-1-1/log.0,
draw_08,ok,164.852,2071.0250534618935,0.618051,25.451643,66af1d583183f4b09a47a253e4eb909235b8cfdd19da9bf2c631720934f193c4,/scratch/jhan/perf-fluctuation/deep-dive/3c51-tp2antag-20260812T191334Z/results/draw_08,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260812-192406-1-1/log.0,
draw_09,ok,164.433,2100.0834919365334,0.6095,25.506408,66af1d583183f4b09a47a253e4eb909235b8cfdd19da9bf2c631720934f193c4,/scratch/jhan/perf-fluctuation/deep-dive/3c51-tp2antag-20260812T191334Z/results/draw_09,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260812-192516-1-1/log.0,
draw_10,ok,162.104,2072.6755808459975,0.617559,25.872605,66af1d583183f4b09a47a253e4eb909235b8cfdd19da9bf2c631720934f193c4,/scratch/jhan/perf-fluctuation/deep-dive/3c51-tp2antag-20260812T191334Z/results/draw_10,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260812-192627-1-1/log.0,
draw_11,ok,161.264,2089.4306415441056,0.612607,25.998446,66af1d583183f4b09a47a253e4eb909235b8cfdd19da9bf2c631720934f193c4,/scratch/jhan/perf-fluctuation/deep-dive/3c51-tp2antag-20260812T191334Z/results/draw_11,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260812-192738-1-1/log.0,
draw_12,ok,159.741,2081.2735906264015,0.615008,26.242944,66af1d583183f4b09a47a253e4eb909235b8cfdd19da9bf2c631720934f193c4,/scratch/jhan/perf-fluctuation/deep-dive/3c51-tp2antag-20260812T191334Z/results/draw_12,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260812-192848-1-1/log.0,
