draw,status,generate_tok_s,parse_tok_s,ttft_s,ttlt_s,token_sha256,result_dir,source_log,reason
draw_01,ok,163.432,2093.1509300344633,0.611518,25.660662,66af1d583183f4b09a47a253e4eb909235b8cfdd19da9bf2c631720934f193c4,/scratch/jhan/perf-fluctuation/deep-dive/3c51-uncore-tp4-20260812T182045Z/results/draw_01,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260812-182306-1-1/log.0,
draw_02,ok,168.611,2089.133218023952,0.612694,24.892629,66af1d583183f4b09a47a253e4eb909235b8cfdd19da9bf2c631720934f193c4,/scratch/jhan/perf-fluctuation/deep-dive/3c51-uncore-tp4-20260812T182045Z/results/draw_02,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260812-182418-1-1/log.0,
draw_03,ok,163.16,2086.6496833053466,0.613424,25.7049,66af1d583183f4b09a47a253e4eb909235b8cfdd19da9bf2c631720934f193c4,/scratch/jhan/perf-fluctuation/deep-dive/3c51-uncore-tp4-20260812T182045Z/results/draw_03,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260812-182530-1-1/log.0,
draw_04,ok,163.179,2084.1966195138457,0.614146,25.702398,66af1d583183f4b09a47a253e4eb909235b8cfdd19da9bf2c631720934f193c4,/scratch/jhan/perf-fluctuation/deep-dive/3c51-uncore-tp4-20260812T182045Z/results/draw_04,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260812-182643-1-1/log.0,
draw_05,ok,166.282,2102.8646159873742,0.608693,25.228497,66af1d583183f4b09a47a253e4eb909235b8cfdd19da9bf2c631720934f193c4,/scratch/jhan/perf-fluctuation/deep-dive/3c51-uncore-tp4-20260812T182045Z/results/draw_05,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260812-182755-1-1/log.0,
draw_06,ok,161.04,2095.0795653686077,0.610955,26.032334,66af1d583183f4b09a47a253e4eb909235b8cfdd19da9bf2c631720934f193c4,/scratch/jhan/perf-fluctuation/deep-dive/3c51-uncore-tp4-20260812T182045Z/results/draw_06,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260812-182907-1-1/log.0,
draw_07,ok,165.619,2105.4196757630343,0.607955,25.326497,66af1d583183f4b09a47a253e4eb909235b8cfdd19da9bf2c631720934f193c4,/scratch/jhan/perf-fluctuation/deep-dive/3c51-uncore-tp4-20260812T182045Z/results/draw_07,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260812-183019-1-1/log.0,
draw_08,ok,163.469,2108.187085087473,0.607157,25.650924,66af1d583183f4b09a47a253e4eb909235b8cfdd19da9bf2c631720934f193c4,/scratch/jhan/perf-fluctuation/deep-dive/3c51-uncore-tp4-20260812T182045Z/results/draw_08,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260812-183130-1-1/log.0,
draw_09,ok,160.723,2083.17059919258,0.614448,26.087003,66af1d583183f4b09a47a253e4eb909235b8cfdd19da9bf2c631720934f193c4,/scratch/jhan/perf-fluctuation/deep-dive/3c51-uncore-tp4-20260812T182045Z/results/draw_09,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260812-183243-1-1/log.0,
draw_10,ok,162.261,2108.4864545435403,0.607071,25.836894,66af1d583183f4b09a47a253e4eb909235b8cfdd19da9bf2c631720934f193c4,/scratch/jhan/perf-fluctuation/deep-dive/3c51-uncore-tp4-20260812T182045Z/results/draw_10,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260812-183356-1-1/log.0,
draw_11,ok,157.86,2100.301947612293,0.609436,26.543243,66af1d583183f4b09a47a253e4eb909235b8cfdd19da9bf2c631720934f193c4,/scratch/jhan/perf-fluctuation/deep-dive/3c51-uncore-tp4-20260812T182045Z/results/draw_11,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260812-183509-1-1/log.0,
draw_12,ok,158.68,2085.9113996389387,0.613641,26.413621,66af1d583183f4b09a47a253e4eb909235b8cfdd19da9bf2c631720934f193c4,/scratch/jhan/perf-fluctuation/deep-dive/3c51-uncore-tp4-20260812T182045Z/results/draw_12,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260812-183623-1-1/log.0,
