draw,status,generate_tok_s,parse_tok_s,ttft_s,ttlt_s,token_sha256,result_dir,source_log,reason
draw_01,ok,181.298,2647.0767874002386,0.483552,23.064439,66af1d583183f4b09a47a253e4eb909235b8cfdd19da9bf2c631720934f193c4,/scratch/jhan/perf-fluctuation/deep-dive/kvprobe7-tp4-20260812T020753Z/results/draw_01,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260812-021006-1-1/log.0,
draw_02,ok,177.612,2635.4376528831795,0.485688,23.535188,66af1d583183f4b09a47a253e4eb909235b8cfdd19da9bf2c631720934f193c4,/scratch/jhan/perf-fluctuation/deep-dive/kvprobe7-tp4-20260812T020753Z/results/draw_02,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260812-021107-1-1/log.0,
draw_03,ok,170.799,2623.7845272056506,0.487845,24.45711,66af1d583183f4b09a47a253e4eb909235b8cfdd19da9bf2c631720934f193c4,/scratch/jhan/perf-fluctuation/deep-dive/kvprobe7-tp4-20260812T020753Z/results/draw_03,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260812-021208-1-1/log.0,
draw_04,ok,182.855,2653.763378038431,0.482334,22.871246,66af1d583183f4b09a47a253e4eb909235b8cfdd19da9bf2c631720934f193c4,/scratch/jhan/perf-fluctuation/deep-dive/kvprobe7-tp4-20260812T020753Z/results/draw_04,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260812-021310-1-1/log.0,
draw_05,ok,181.398,2617.2906872125077,0.489055,23.059643,66af1d583183f4b09a47a253e4eb909235b8cfdd19da9bf2c631720934f193c4,/scratch/jhan/perf-fluctuation/deep-dive/kvprobe7-tp4-20260812T020753Z/results/draw_05,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260812-021411-1-1/log.0,
draw_06,ok,185.806,2630.4737968507243,0.486604,22.520187,66af1d583183f4b09a47a253e4eb909235b8cfdd19da9bf2c631720934f193c4,/scratch/jhan/perf-fluctuation/deep-dive/kvprobe7-tp4-20260812T020753Z/results/draw_06,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260812-021512-1-1/log.0,
draw_07,ok,184.861,2585.2842662645344,0.49511,22.641473,66af1d583183f4b09a47a253e4eb909235b8cfdd19da9bf2c631720934f193c4,/scratch/jhan/perf-fluctuation/deep-dive/kvprobe7-tp4-20260812T020753Z/results/draw_07,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260812-021612-1-1/log.0,
draw_08,ok,182.033,2637.853915913922,0.485243,22.974824,66af1d583183f4b09a47a253e4eb909235b8cfdd19da9bf2c631720934f193c4,/scratch/jhan/perf-fluctuation/deep-dive/kvprobe7-tp4-20260812T020753Z/results/draw_08,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260812-021712-1-1/log.0,
draw_09,ok,178.885,2582.7771500979125,0.495591,23.381709,66af1d583183f4b09a47a253e4eb909235b8cfdd19da9bf2c631720934f193c4,/scratch/jhan/perf-fluctuation/deep-dive/kvprobe7-tp4-20260812T020753Z/results/draw_09,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260812-021812-1-1/log.0,
draw_10,ok,185.04,2624.2778223207933,0.487753,22.612138,66af1d583183f4b09a47a253e4eb909235b8cfdd19da9bf2c631720934f193c4,/scratch/jhan/perf-fluctuation/deep-dive/kvprobe7-tp4-20260812T020753Z/results/draw_10,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260812-021914-1-1/log.0,
draw_11,ok,181.492,2619.872828793953,0.488573,23.045491,66af1d583183f4b09a47a253e4eb909235b8cfdd19da9bf2c631720934f193c4,/scratch/jhan/perf-fluctuation/deep-dive/kvprobe7-tp4-20260812T020753Z/results/draw_11,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260812-022016-1-1/log.0,
draw_12,ok,171.377,2638.8415014115885,0.485061,24.373989,66af1d583183f4b09a47a253e4eb909235b8cfdd19da9bf2c631720934f193c4,/scratch/jhan/perf-fluctuation/deep-dive/kvprobe7-tp4-20260812T020753Z/results/draw_12,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260812-022118-1-1/log.0,
draw_13,ok,175.26,2631.36296353833,0.48644,23.845386,66af1d583183f4b09a47a253e4eb909235b8cfdd19da9bf2c631720934f193c4,/scratch/jhan/perf-fluctuation/deep-dive/kvprobe7-tp4-20260812T020753Z/results/draw_13,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260812-022219-1-1/log.0,
draw_14,ok,183.612,2613.2351807643677,0.489814,22.786661,66af1d583183f4b09a47a253e4eb909235b8cfdd19da9bf2c631720934f193c4,/scratch/jhan/perf-fluctuation/deep-dive/kvprobe7-tp4-20260812T020753Z/results/draw_14,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260812-022323-1-1/log.0,
draw_15,ok,177.05,2630.4261620213256,0.486613,23.609585,66af1d583183f4b09a47a253e4eb909235b8cfdd19da9bf2c631720934f193c4,/scratch/jhan/perf-fluctuation/deep-dive/kvprobe7-tp4-20260812T020753Z/results/draw_15,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260812-022425-1-1/log.0,
draw_16,ok,178.742,2626.3071864386293,0.487376,23.390914,66af1d583183f4b09a47a253e4eb909235b8cfdd19da9bf2c631720934f193c4,/scratch/jhan/perf-fluctuation/deep-dive/kvprobe7-tp4-20260812T020753Z/results/draw_16,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260812-022526-1-1/log.0,
