draw,status,generate_tok_s,archived_placement_log,source_placement_log,perfetto_capture,reason
draw_01,ok,178.065,/scratch/jhan/perf-fluctuation/pfgate-3bda/fence13pf-tp4-20260813T210954Z/results/draw_01/runtron.log,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260813-211212-1-1/log.0,/scratch/jhan/perf-fluctuation/pfgate-3bda/fence13pf-tp4-20260813T210954Z/results/draw_01/trace.pftrace,
draw_02,ok,175.2,/scratch/jhan/perf-fluctuation/pfgate-3bda/fence13pf-tp4-20260813T210954Z/results/draw_02/runtron.log,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260813-211315-1-1/log.0,/scratch/jhan/perf-fluctuation/pfgate-3bda/fence13pf-tp4-20260813T210954Z/results/draw_02/trace.pftrace,
draw_03,ok,179.66,/scratch/jhan/perf-fluctuation/pfgate-3bda/fence13pf-tp4-20260813T210954Z/results/draw_03/runtron.log,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260813-211417-1-1/log.0,/scratch/jhan/perf-fluctuation/pfgate-3bda/fence13pf-tp4-20260813T210954Z/results/draw_03/trace.pftrace,
draw_04,ok,172.79,/scratch/jhan/perf-fluctuation/pfgate-3bda/fence13pf-tp4-20260813T210954Z/results/draw_04/runtron.log,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260813-211520-1-1/log.0,/scratch/jhan/perf-fluctuation/pfgate-3bda/fence13pf-tp4-20260813T210954Z/results/draw_04/trace.pftrace,
draw_05,ok,182.542,/scratch/jhan/perf-fluctuation/pfgate-3bda/fence13pf-tp4-20260813T210954Z/results/draw_05/runtron.log,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260813-211624-1-1/log.0,/scratch/jhan/perf-fluctuation/pfgate-3bda/fence13pf-tp4-20260813T210954Z/results/draw_05/trace.pftrace,
draw_06,ok,173.894,/scratch/jhan/perf-fluctuation/pfgate-3bda/fence13pf-tp4-20260813T210954Z/results/draw_06/runtron.log,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260813-211728-1-1/log.0,/scratch/jhan/perf-fluctuation/pfgate-3bda/fence13pf-tp4-20260813T210954Z/results/draw_06/trace.pftrace,
draw_07,ok,179.413,/scratch/jhan/perf-fluctuation/pfgate-3bda/fence13pf-tp4-20260813T210954Z/results/draw_07/runtron.log,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260813-211832-1-1/log.0,/scratch/jhan/perf-fluctuation/pfgate-3bda/fence13pf-tp4-20260813T210954Z/results/draw_07/trace.pftrace,
draw_08,ok,175.655,/scratch/jhan/perf-fluctuation/pfgate-3bda/fence13pf-tp4-20260813T210954Z/results/draw_08/runtron.log,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260813-211938-1-1/log.0,/scratch/jhan/perf-fluctuation/pfgate-3bda/fence13pf-tp4-20260813T210954Z/results/draw_08/trace.pftrace,
draw_09,ok,177.802,/scratch/jhan/perf-fluctuation/pfgate-3bda/fence13pf-tp4-20260813T210954Z/results/draw_09/runtron.log,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260813-212042-1-1/log.0,/scratch/jhan/perf-fluctuation/pfgate-3bda/fence13pf-tp4-20260813T210954Z/results/draw_09/trace.pftrace,
draw_10,ok,168.099,/scratch/jhan/perf-fluctuation/pfgate-3bda/fence13pf-tp4-20260813T210954Z/results/draw_10/runtron.log,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260813-212145-1-1/log.0,/scratch/jhan/perf-fluctuation/pfgate-3bda/fence13pf-tp4-20260813T210954Z/results/draw_10/trace.pftrace,
