draw,status,generate_tok_s,archived_placement_log,source_placement_log,perfetto_capture,reason
draw_01,ok,179.585,/scratch/jhan/perf-fluctuation/pfgate-3bda/pfgate-tp4-20260812T120255Z/results/draw_01/runtron.log,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260812-120516-1-1/log.0,/scratch/jhan/perf-fluctuation/pfgate-3bda/pfgate-tp4-20260812T120255Z/results/draw_01/trace.pftrace,
draw_02,ok,176.265,/scratch/jhan/perf-fluctuation/pfgate-3bda/pfgate-tp4-20260812T120255Z/results/draw_02/runtron.log,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260812-120620-1-1/log.0,/scratch/jhan/perf-fluctuation/pfgate-3bda/pfgate-tp4-20260812T120255Z/results/draw_02/trace.pftrace,
draw_03,ok,175.316,/scratch/jhan/perf-fluctuation/pfgate-3bda/pfgate-tp4-20260812T120255Z/results/draw_03/runtron.log,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260812-120725-1-1/log.0,/scratch/jhan/perf-fluctuation/pfgate-3bda/pfgate-tp4-20260812T120255Z/results/draw_03/trace.pftrace,
draw_04,ok,181.329,/scratch/jhan/perf-fluctuation/pfgate-3bda/pfgate-tp4-20260812T120255Z/results/draw_04/runtron.log,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260812-120827-1-1/log.0,/scratch/jhan/perf-fluctuation/pfgate-3bda/pfgate-tp4-20260812T120255Z/results/draw_04/trace.pftrace,
draw_05,ok,175.199,/scratch/jhan/perf-fluctuation/pfgate-3bda/pfgate-tp4-20260812T120255Z/results/draw_05/runtron.log,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260812-120930-1-1/log.0,/scratch/jhan/perf-fluctuation/pfgate-3bda/pfgate-tp4-20260812T120255Z/results/draw_05/trace.pftrace,
draw_06,ok,179.587,/scratch/jhan/perf-fluctuation/pfgate-3bda/pfgate-tp4-20260812T120255Z/results/draw_06/runtron.log,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260812-121035-1-1/log.0,/scratch/jhan/perf-fluctuation/pfgate-3bda/pfgate-tp4-20260812T120255Z/results/draw_06/trace.pftrace,
draw_07,ok,178.257,/scratch/jhan/perf-fluctuation/pfgate-3bda/pfgate-tp4-20260812T120255Z/results/draw_07/runtron.log,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260812-121139-1-1/log.0,/scratch/jhan/perf-fluctuation/pfgate-3bda/pfgate-tp4-20260812T120255Z/results/draw_07/trace.pftrace,
draw_08,ok,181.406,/scratch/jhan/perf-fluctuation/pfgate-3bda/pfgate-tp4-20260812T120255Z/results/draw_08/runtron.log,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260812-121243-1-1/log.0,/scratch/jhan/perf-fluctuation/pfgate-3bda/pfgate-tp4-20260812T120255Z/results/draw_08/trace.pftrace,
draw_09,ok,172.025,/scratch/jhan/perf-fluctuation/pfgate-3bda/pfgate-tp4-20260812T120255Z/results/draw_09/runtron.log,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260812-121346-1-1/log.0,/scratch/jhan/perf-fluctuation/pfgate-3bda/pfgate-tp4-20260812T120255Z/results/draw_09/trace.pftrace,
draw_10,ok,184.022,/scratch/jhan/perf-fluctuation/pfgate-3bda/pfgate-tp4-20260812T120255Z/results/draw_10/runtron.log,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260812-121449-1-1/log.0,/scratch/jhan/perf-fluctuation/pfgate-3bda/pfgate-tp4-20260812T120255Z/results/draw_10/trace.pftrace,
