draw,status,generate_tok_s,archived_placement_log,source_placement_log,perfetto_capture,reason
draw_01,ok,128.686,/scratch/jhan/perf-fluctuation/pfgate-3bda/ungated-tp4-20260812T173050Z-r3/results/draw_01/runtron.log,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260812-173409-1-1/log.0,/scratch/jhan/perf-fluctuation/pfgate-3bda/ungated-tp4-20260812T173050Z-r3/results/draw_01/trace.pftrace,
draw_02,ok,117.041,/scratch/jhan/perf-fluctuation/pfgate-3bda/ungated-tp4-20260812T173050Z-r3/results/draw_02/runtron.log,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260812-173604-1-1/log.0,/scratch/jhan/perf-fluctuation/pfgate-3bda/ungated-tp4-20260812T173050Z-r3/results/draw_02/trace.pftrace,
draw_03,ok,116.106,/scratch/jhan/perf-fluctuation/pfgate-3bda/ungated-tp4-20260812T173050Z-r3/results/draw_03/runtron.log,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260812-173812-1-1/log.0,/scratch/jhan/perf-fluctuation/pfgate-3bda/ungated-tp4-20260812T173050Z-r3/results/draw_03/trace.pftrace,
draw_04,ok,126.141,/scratch/jhan/perf-fluctuation/pfgate-3bda/ungated-tp4-20260812T173050Z-r3/results/draw_04/runtron.log,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260812-174009-1-1/log.0,/scratch/jhan/perf-fluctuation/pfgate-3bda/ungated-tp4-20260812T173050Z-r3/results/draw_04/trace.pftrace,
draw_05,ok,114.355,/scratch/jhan/perf-fluctuation/pfgate-3bda/ungated-tp4-20260812T173050Z-r3/results/draw_05/runtron.log,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260812-174206-1-1/log.0,/scratch/jhan/perf-fluctuation/pfgate-3bda/ungated-tp4-20260812T173050Z-r3/results/draw_05/trace.pftrace,
draw_06,ok,116.918,/scratch/jhan/perf-fluctuation/pfgate-3bda/ungated-tp4-20260812T173050Z-r3/results/draw_06/runtron.log,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260812-174408-1-1/log.0,/scratch/jhan/perf-fluctuation/pfgate-3bda/ungated-tp4-20260812T173050Z-r3/results/draw_06/trace.pftrace,
draw_07,ok,122.081,/scratch/jhan/perf-fluctuation/pfgate-3bda/ungated-tp4-20260812T173050Z-r3/results/draw_07/runtron.log,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260812-174604-1-1/log.0,/scratch/jhan/perf-fluctuation/pfgate-3bda/ungated-tp4-20260812T173050Z-r3/results/draw_07/trace.pftrace,
draw_08,ok,121.79,/scratch/jhan/perf-fluctuation/pfgate-3bda/ungated-tp4-20260812T173050Z-r3/results/draw_08/runtron.log,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260812-174750-1-1/log.0,/scratch/jhan/perf-fluctuation/pfgate-3bda/ungated-tp4-20260812T173050Z-r3/results/draw_08/trace.pftrace,
draw_09,ok,114.378,/scratch/jhan/perf-fluctuation/pfgate-3bda/ungated-tp4-20260812T173050Z-r3/results/draw_09/runtron.log,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260812-174952-1-1/log.0,/scratch/jhan/perf-fluctuation/pfgate-3bda/ungated-tp4-20260812T173050Z-r3/results/draw_09/trace.pftrace,
draw_10,ok,107.035,/scratch/jhan/perf-fluctuation/pfgate-3bda/ungated-tp4-20260812T173050Z-r3/results/draw_10/runtron.log,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260812-175141-1-1/log.0,/scratch/jhan/perf-fluctuation/pfgate-3bda/ungated-tp4-20260812T173050Z-r3/results/draw_10/trace.pftrace,
draw_11,ok,122.199,/scratch/jhan/perf-fluctuation/pfgate-3bda/ungated-tp4-20260812T173050Z-r3/results/draw_11/runtron.log,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260812-175333-1-1/log.0,/scratch/jhan/perf-fluctuation/pfgate-3bda/ungated-tp4-20260812T173050Z-r3/results/draw_11/trace.pftrace,
draw_12,ok,117.413,/scratch/jhan/perf-fluctuation/pfgate-3bda/ungated-tp4-20260812T173050Z-r3/results/draw_12/runtron.log,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260812-175518-1-1/log.0,/scratch/jhan/perf-fluctuation/pfgate-3bda/ungated-tp4-20260812T173050Z-r3/results/draw_12/trace.pftrace,
draw_13,ok,112.832,/scratch/jhan/perf-fluctuation/pfgate-3bda/ungated-tp4-20260812T173050Z-r3/results/draw_13/runtron.log,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260812-175705-1-1/log.0,/scratch/jhan/perf-fluctuation/pfgate-3bda/ungated-tp4-20260812T173050Z-r3/results/draw_13/trace.pftrace,
draw_14,ok,122.486,/scratch/jhan/perf-fluctuation/pfgate-3bda/ungated-tp4-20260812T173050Z-r3/results/draw_14/runtron.log,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260812-175908-1-1/log.0,/scratch/jhan/perf-fluctuation/pfgate-3bda/ungated-tp4-20260812T173050Z-r3/results/draw_14/trace.pftrace,
draw_15,ok,120.08,/scratch/jhan/perf-fluctuation/pfgate-3bda/ungated-tp4-20260812T173050Z-r3/results/draw_15/runtron.log,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260812-180104-1-1/log.0,/scratch/jhan/perf-fluctuation/pfgate-3bda/ungated-tp4-20260812T173050Z-r3/results/draw_15/trace.pftrace,
draw_16,ok,114.049,/scratch/jhan/perf-fluctuation/pfgate-3bda/ungated-tp4-20260812T173050Z-r3/results/draw_16/runtron.log,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260812-180253-1-1/log.0,/scratch/jhan/perf-fluctuation/pfgate-3bda/ungated-tp4-20260812T173050Z-r3/results/draw_16/trace.pftrace,
draw_17,ok,117.068,/scratch/jhan/perf-fluctuation/pfgate-3bda/ungated-tp4-20260812T173050Z-r3/results/draw_17/runtron.log,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260812-180459-1-1/log.0,/scratch/jhan/perf-fluctuation/pfgate-3bda/ungated-tp4-20260812T173050Z-r3/results/draw_17/trace.pftrace,
draw_18,ok,113.572,/scratch/jhan/perf-fluctuation/pfgate-3bda/ungated-tp4-20260812T173050Z-r3/results/draw_18/runtron.log,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260812-180656-1-1/log.0,/scratch/jhan/perf-fluctuation/pfgate-3bda/ungated-tp4-20260812T173050Z-r3/results/draw_18/trace.pftrace,
draw_19,ok,123.365,/scratch/jhan/perf-fluctuation/pfgate-3bda/ungated-tp4-20260812T173050Z-r3/results/draw_19/runtron.log,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260812-180850-1-1/log.0,/scratch/jhan/perf-fluctuation/pfgate-3bda/ungated-tp4-20260812T173050Z-r3/results/draw_19/trace.pftrace,
draw_20,ok,116.945,/scratch/jhan/perf-fluctuation/pfgate-3bda/ungated-tp4-20260812T173050Z-r3/results/draw_20/runtron.log,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260812-181041-1-1/log.0,/scratch/jhan/perf-fluctuation/pfgate-3bda/ungated-tp4-20260812T173050Z-r3/results/draw_20/trace.pftrace,
