window,start_ts,dur_us,n_slices,n_threads,n_data_ready,n_rope_spans,us:fill_logits_buffer,us:waiting_for_logits,us:notify_listener,us:setup_logits,us:finalize_minibatches,us:construct_minibatches,us:gather_token_data,us:compute_forward_args,us:forward args,us:forward,us:add_tokens,us:finalize_ranges,us:work_queue::do_work get_work,us:poll_dma_completions,us:matmul enqueue,us:Prepare hardware matmul job,us:Launch hardware matmul job,us:legacy hw_prepare,us:legacy tx_launch,us:tx submitting activation DMA request,us:rx collecting results,us:data ready,us:Rope Q,us:Free scratchpads,us:other
0,137016122966367,49.977,36,6,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.153,26.605,5.995,17.17,0.0,0.0,0.0,0.0,0.0,4.104,0.0
1,137016127205991,1090.628,215,10,24,0,555.048,181.965,576.299,0.783,1.036,5.782,0.638,24.457,0.0,69.044,1.509,5.306,3.394,0.0,173.698,32.721,180.199,21.862,1298.819,30.914,872.595,0.0,0.0,3.17,86.246
2,137016132279306,1791.53,222,10,24,0,697.13,179.979,825.66,0.418,0.586,4.809,0.237,104.995,0.0,85.497,12.373,13.368,7.261,0.0,9.58,84.153,17.758,65.062,1284.503,27.911,1026.169,0.0,0.0,3.607,453.346
3,137016138113998,983.192,183,10,24,0,684.945,176.161,772.861,0.347,0.515,4.68,0.24,18.65,0.0,61.09,0.586,1.295,1.056,0.0,4.964,35.975,9.729,16.532,117.512,22.565,890.615,0.0,0.0,2.729,50.293
4,137016143073326,1103.927,197,10,20,0,520.701,179.372,526.562,0.419,0.451,4.743,0.24,18.936,0.0,63.213,0.916,1.26,1.048,0.0,8.74,185.326,15.095,50.337,848.384,19.164,865.876,0.0,0.0,3.69,399.376
5,137016148287789,978.016,215,10,24,0,246.842,171.133,253.382,0.422,0.486,4.918,0.274,17.699,0.0,64.527,0.609,1.108,1.119,0.0,7.864,221.941,14.297,207.075,1285.229,23.086,951.23,0.0,0.0,3.128,399.187
6,137016153253114,1797.035,216,10,24,1,680.971,183.596,764.086,2.11,2.722,60.901,0.623,88.986,0.0,248.09,5.245,5.766,4.554,0.0,8.093,77.343,130.674,63.851,1213.35,22.82,965.692,0.0,0.0,3.407,544.834
7,137016159195302,1665.121,197,10,24,0,643.885,170.883,716.937,2.575,1.576,59.962,0.846,80.041,0.0,286.084,8.038,5.155,4.97,0.0,7.482,68.437,12.883,52.819,1232.545,22.207,900.641,0.0,0.0,3.041,550.217
8,137016164829154,667.291,237,10,28,0,294.807,170.501,300.501,0.399,0.441,5.246,0.254,18.582,0.0,71.308,0.793,1.189,1.213,0.0,7.941,215.513,14.896,33.537,175.964,25.351,969.454,0.0,0.0,3.331,76.994
9,137016169567102,1645.183,215,10,24,0,648.473,391.048,734.723,1.4,1.13,41.242,0.752,95.312,0.0,265.07,7.901,7.594,2.49,0.0,9.967,72.149,24.987,58.148,1489.382,24.086,1000.319,0.0,0.0,3.677,512.329
10,137016175225689,1680.826,201,10,24,0,665.353,179.076,738.489,1.525,0.919,53.046,0.39,86.031,0.0,270.96,8.85,9.083,2.571,0.0,15.682,70.612,21.224,55.268,1303.418,25.565,979.3,0.0,0.0,3.141,527.384
11,137016180947212,1134.07,196,10,24,1,654.07,179.614,717.005,0.369,0.46,4.466,0.246,89.64,0.0,93.217,5.72,5.567,4.33,0.0,6.587,68.112,12.275,56.509,105.801,22.589,947.61,0.0,0.0,3.489,94.275
12,137016186165587,1043.456,215,10,24,0,418.365,177.273,425.064,0.395,0.459,5.448,0.243,17.295,0.0,77.505,0.54,1.106,0.899,0.0,10.818,73.484,17.623,58.925,1512.112,22.879,949.474,0.0,0.0,3.852,417.391
13,137016191176786,1039.768,193,10,24,0,418.162,186.03,430.611,0.421,0.49,4.597,0.266,17.188,0.0,71.611,0.666,1.287,1.105,0.0,18.655,69.05,24.451,54.138,1310.134,23.72,932.67,0.0,0.0,2.979,408.102
14,137016196190427,1870.604,213,10,24,0,642.679,176.57,738.486,2.117,0.545,45.519,0.633,72.715,0.0,206.314,5.395,6.184,5.93,0.0,8.194,89.11,15.594,78.753,1986.224,24.475,897.987,0.0,0.0,3.35,537.133
15,137016202074323,1120.908,203,10,24,0,472.639,168.656,479.144,0.378,0.488,4.708,0.242,17.568,0.0,74.879,0.887,1.071,1.07,0.0,12.166,81.476,13.36,55.292,1587.495,22.757,866.015,0.0,0.0,3.056,399.983
16,137016207220494,522.838,223,10,24,0,297.968,175.393,305.215,0.356,0.443,5.565,0.266,18.008,0.0,78.701,0.777,1.093,0.965,0.0,7.162,33.953,14.3,22.794,255.679,21.176,948.155,0.0,0.0,3.489,92.172
17,137016211726969,1461.083,234,10,28,0,436.766,179.973,442.48,0.357,0.511,4.666,0.266,18.533,0.0,60.486,0.61,1.099,1.002,0.0,13.16,76.245,114.536,58.879,3109.738,27.581,1721.834,0.0,0.0,3.24,396.842
18,137016217243595,857.159,196,10,20,0,632.402,179.913,664.543,0.423,0.469,5.15,0.239,18.694,0.0,61.064,0.653,1.129,0.888,0.0,16.915,31.222,23.485,20.516,238.865,16.707,921.597,0.0,0.0,3.11,59.532
19,137016222142674,1079.786,223,10,24,0,467.147,185.105,473.38,0.446,0.494,4.604,0.26,17.756,0.0,62.058,0.612,1.203,0.894,0.0,8.404,192.75,14.903,173.072,896.869,23.25,1030.664,0.0,0.0,2.989,405.67
