window,start_ts,span_us,work_cov_us,wait_cov_us,idle_us,biggest_gap_us,gap_at_off_us,gap_before,gap_after,last_dataready_off_us,fill_end_off_us,listener_start_off_us,wcls_last_dr_off_us,dispatch_first_dr_off_us
0,137717438590913,1620.2,670.2,883.8,66.2,18.1,512.2,Launch hardware matmul job@24/?-work_queue,rx collecting results@147/0-RX-10,1617.1,1494.8,928.9,909.8,1604.2
1,137717444163673,1061.2,498.6,470.9,91.6,63.8,491.5,kernel_add_rmsnorm_71@25/0-worker,prepare streams@25/0-worker,1058.4,966.1,556.9,564.1,1044.5
2,137717449111946,1110.6,500.1,527.3,83.3,56.0,447.1,kernel_add_rmsnorm_71@25/0-worker,prepare streams@25/0-worker,1108.0,1016.7,505.2,509.9,1094.6
3,137717454208002,1124.2,822.4,219.6,82.1,56.9,509.8,kernel_add_rmsnorm_71@25/0-worker,prepare streams@25/0-worker,1121.8,1031.8,568.2,583.9,1108.8
4,137717459308433,948.7,570.7,295.7,82.3,55.5,526.6,kernel_add_rmsnorm_71@25/0-worker,prepare streams@25/0-worker,945.4,847.9,585.0,595.8,924.7
5,137717464257255,1015.8,509.6,416.0,90.3,64.2,461.0,kernel_add_rmsnorm_71@25/0-worker,prepare streams@25/0-worker,1013.4,913.7,526.9,530.9,989.2
6,137717469268367,858.6,122.8,699.6,36.2,12.9,811.0,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,855.6,756.0,96.1,100.4,841.6
7,137717474089742,1090.4,485.8,528.6,76.0,50.4,429.6,kernel_add_rmsnorm_71@25/0-worker,prepare streams@25/0-worker,1088.5,988.9,481.4,487.8,1075.8
8,137717479183630,1133.1,812.0,231.6,89.5,59.6,713.6,kernel_add_rmsnorm_71@25/0-worker,prepare streams@25/0-worker,1130.3,1036.9,775.1,831.6,1117.1
9,137717484348145,414.6,117.6,271.3,25.8,11.4,378.8,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,412.4,326.6,86.8,90.1,399.7
10,137717488699172,1366.1,519.6,724.0,122.4,50.3,1038.4,notify_listener@25/0-worker,work_queue::do_work get_work@24/?-work_queue,1363.8,1038.4,347.0,354.1,1349.8
11,137717494117781,1127.2,505.9,501.7,119.6,56.1,526.2,kernel_add_rmsnorm_71@25/0-worker,prepare streams@25/0-worker,1124.6,1034.3,595.4,607.1,1110.9
12,137717499228298,1869.1,677.0,932.2,259.9,76.8,1459.5,notify_listener@25/0-worker,work_queue::do_work get_work@24/?-work_queue,1867.2,1459.5,739.1,814.8,1812.1
13,137717505100717,1105.9,511.0,509.3,85.6,59.0,542.0,kernel_add_rmsnorm_71@25/0-worker,prepare streams@25/0-worker,1103.4,1003.8,602.5,609.4,1090.2
14,137717510188324,2129.7,753.3,839.1,537.3,381.4,1313.8,notify_listener@25/0-worker,work_queue::do_work get_work@24/?-work_queue,2126.9,1313.8,512.7,516.6,2113.4
15,137717516345771,1731.3,625.1,993.2,113.0,49.2,1446.2,notify_listener@25/0-worker,work_queue::do_work get_work@24/?-work_queue,1729.2,1446.2,670.2,684.5,1715.6
16,137717522032920,1160.0,493.1,588.9,78.0,51.4,441.9,kernel_add_rmsnorm_71@25/0-worker,prepare streams@25/0-worker,1157.2,1066.5,507.7,522.1,1143.8
17,137717527185913,2004.5,974.1,770.4,259.9,91.4,1888.9,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,2002.1,1562.4,823.9,840.5,1990.2
18,137717533231862,994.3,480.7,428.7,84.9,57.0,431.6,rx collecting results@150/0-RX-3b,prepare streams@25/0-worker,992.3,901.0,489.8,497.1,979.0
19,137717538250307,979.2,527.8,361.8,89.6,65.0,491.3,kernel_add_rmsnorm_71@25/0-worker,prepare streams@25/0-worker,977.2,888.1,558.1,561.9,962.7
20,137717543250135,448.9,129.2,294.5,25.2,11.5,404.4,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,446.3,350.5,101.8,105.5,425.3
21,137717547688295,1471.3,509.7,752.1,209.6,88.1,1347.7,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,1469.0,1068.5,368.2,374.9,1455.3
22,137717553214510,1007.9,451.3,458.2,98.4,60.8,412.5,kernel_add_rmsnorm_71@25/0-worker,prepare streams@25/0-worker,1006.4,907.2,475.1,491.5,993.3
23,137717558209643,1050.4,497.8,466.6,86.0,55.0,459.8,kernel_add_rmsnorm_71@25/0-worker,prepare streams@25/0-worker,1047.8,944.4,516.8,525.9,1034.0
24,137717563299033,924.6,544.3,290.4,89.9,62.1,440.7,kernel_add_rmsnorm_71@25/0-worker,prepare streams@25/0-worker,922.2,833.2,504.5,584.8,908.4
25,137717568216977,994.0,488.8,418.5,86.7,59.2,459.9,kernel_add_rmsnorm_71@25/0-worker,prepare streams@25/0-worker,992.5,900.3,520.9,526.9,978.5
26,137717573271545,433.7,123.0,283.3,27.5,14.3,394.0,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,431.3,340.1,115.4,120.5,418.1
27,137717577676665,1381.5,547.9,728.4,105.3,62.9,1045.3,notify_listener@25/0-worker,work_queue::do_work get_work@24/?-work_queue,1379.3,1045.3,367.2,376.8,1365.8
28,137717583097230,1096.1,542.0,475.6,78.5,53.5,488.5,kernel_add_rmsnorm_71@25/0-worker,prepare streams@25/0-worker,1093.2,994.0,543.3,547.2,1069.7
29,137717588184540,1024.1,487.2,451.9,85.0,58.7,451.9,kernel_add_rmsnorm_71@25/0-worker,prepare streams@25/0-worker,1022.1,924.9,512.4,521.0,1002.6
30,137717593279804,1007.2,546.0,370.5,90.7,55.0,492.0,kernel_add_rmsnorm_71@25/0-worker,prepare streams@25/0-worker,1004.9,907.5,560.1,570.0,982.6
31,137717598262497,1023.7,519.4,421.9,82.4,53.8,471.6,kernel_add_rmsnorm_71@25/0-worker,prepare streams@25/0-worker,1022.1,917.6,527.0,532.3,1008.1
