f1_ts,f1f3_us,n_slices,work_us,wait_us,idle_us,us:fill_logits_buffer,us:waiting_for_logits,us:notify_listener,us:setup_logits,us:compute_forward_args,us:construct_minibatches,us:finalize_ranges,us:add_tokens,us:assemble attention plan,us:matmul enqueue,us:Prepare hardware matmul job,us:Launch hardware matmul job,us:legacy hw_prepare,us:legacy tx_launch,us:tx submitting activation DMA request,us:rx collecting results,us:Free scratchpads,us:other
256164731666849,325.2,28,9.05,305.81,10.33,301.69,181.0,311.47,0.0,0.0,0.0,0.0,0.0,0.0,1.85,0.0,2.93,0.0,20.59,3.56,664.45,0.0,2.66
256164737008091,1879.78,28,6.24,1862.99,10.54,1566.68,299.79,1867.79,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,2.34,0.0,10.93,3.71,737.52,0.0,1.39
256164744136061,300.15,28,7.26,235.01,57.88,233.99,188.12,240.24,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,2.64,0.0,12.31,3.54,680.56,0.0,1.91
256164749185256,272.26,28,20.32,243.66,8.29,256.93,178.5,262.99,0.0,0.0,0.0,0.0,0.0,0.0,1.99,0.0,17.33,0.0,14.93,3.79,692.98,0.0,0.99
256164754062299,253.79,28,14.02,231.29,8.49,237.72,186.84,244.06,0.0,0.0,0.0,0.0,0.0,0.0,1.42,0.0,10.8,0.0,16.2,3.49,692.75,0.0,1.24
256164759042765,267.22,28,5.84,252.23,9.15,250.63,185.82,256.81,0.0,0.0,0.0,0.0,0.0,0.0,1.54,0.0,2.67,0.0,14.16,3.51,685.52,0.0,1.26
256164763615904,251.31,28,6.43,235.94,8.95,233.99,187.98,240.45,0.0,0.0,0.0,0.0,0.0,0.0,1.19,0.0,2.27,0.0,10.05,3.47,688.21,0.0,1.91
256164768211905,320.58,28,7.5,303.88,9.19,304.18,188.41,310.28,0.0,0.0,0.0,0.0,0.0,0.0,1.62,0.0,2.82,0.0,26.86,3.58,679.91,0.0,1.1
256164773076404,312.16,28,6.8,297.83,7.53,297.95,184.4,303.64,0.0,0.0,0.0,0.0,0.0,0.0,1.85,0.0,2.93,0.0,15.23,3.47,666.79,0.0,0.99
256164778263595,877.14,28,7.31,809.29,60.54,808.86,338.58,814.94,0.0,0.0,0.0,0.0,0.0,0.0,1.46,0.0,2.9,0.0,8.06,3.47,751.99,0.0,1.66
256164784032707,314.57,28,6.46,299.02,9.09,298.04,185.54,304.24,0.0,0.0,0.0,0.0,0.0,0.0,1.41,0.0,2.5,0.0,10.05,3.57,674.36,0.0,1.25
256164789034226,322.33,28,5.95,307.61,8.77,306.44,181.91,312.33,0.0,0.0,0.0,0.0,0.0,0.0,1.35,0.0,2.37,0.0,9.5,3.6,689.3,0.0,1.24
256164794051485,308.1,28,6.79,293.25,8.06,289.33,181.22,299.01,0.0,0.0,0.0,0.0,0.0,0.0,1.78,0.0,3.36,0.0,12.19,3.59,679.66,0.0,1.02
256164799054079,247.81,28,7.28,233.24,7.3,233.35,185.95,239.23,0.0,0.0,0.0,0.0,0.0,0.0,1.52,0.0,2.61,0.0,13.18,3.49,664.0,0.0,1.29
256164804041841,247.07,28,7.44,231.94,7.68,232.16,190.23,238.16,0.0,0.0,0.0,0.0,0.0,0.0,1.78,0.0,2.89,0.0,13.84,3.52,674.28,0.0,1.22
256164809085941,323.16,28,5.78,309.64,7.75,307.64,187.41,314.21,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,2.27,0.0,10.98,3.53,693.27,0.0,1.2
256164814046740,298.21,28,6.31,283.0,8.9,280.19,182.83,288.07,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,2.74,0.0,12.63,3.59,688.97,0.0,1.24
256164819289274,829.17,28,7.28,767.44,54.45,766.51,346.4,773.55,0.0,0.0,0.0,0.0,0.0,0.0,2.15,0.0,3.17,0.0,37.95,3.6,754.63,0.0,1.17
256164825333372,794.52,28,6.23,734.68,53.62,733.51,332.63,739.86,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,2.52,0.0,25.35,3.44,737.96,0.0,1.05
