draw,status,generate_tok_s,parse_tok_s,ttft_s,ttlt_s,token_sha256,result_dir,source_log,reason
draw_01,ok,106.289,1517.561727596871,0.843458,39.360752,fd612763d69561e299b7ec92c8532df195ccf0bbc89be852d4755b7769ba3902,/scratch/jhan/perf-fluctuation/deep-dive/3bda-ingmixtral-tp4-20260815T155824Z/results/draw_01,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260815-160100-1-1/log.0,
draw_02,ok,105.096,1505.0312913877726,0.850481,39.806076,fd612763d69561e299b7ec92c8532df195ccf0bbc89be852d4755b7769ba3902,/scratch/jhan/perf-fluctuation/deep-dive/3bda-ingmixtral-tp4-20260815T155824Z/results/draw_02,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260815-160226-1-1/log.0,
draw_03,ok,106.153,1513.4624673900569,0.845743,39.412289,fd612763d69561e299b7ec92c8532df195ccf0bbc89be852d4755b7769ba3902,/scratch/jhan/perf-fluctuation/deep-dive/3bda-ingmixtral-tp4-20260815T155824Z/results/draw_03,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260815-160353-1-1/log.0,
draw_04,ok,106.458,1511.6777626806308,0.846741,39.302883,fd612763d69561e299b7ec92c8532df195ccf0bbc89be852d4755b7769ba3902,/scratch/jhan/perf-fluctuation/deep-dive/3bda-ingmixtral-tp4-20260815T155824Z/results/draw_04,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260815-160517-1-1/log.0,
draw_05,ok,105.377,1511.8084017653505,0.846668,39.696992,fd612763d69561e299b7ec92c8532df195ccf0bbc89be852d4755b7769ba3902,/scratch/jhan/perf-fluctuation/deep-dive/3bda-ingmixtral-tp4-20260815T155824Z/results/draw_05,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260815-160642-1-1/log.0,
draw_06,ok,105.962,1508.3099440810115,0.848632,39.484714,fd612763d69561e299b7ec92c8532df195ccf0bbc89be852d4755b7769ba3902,/scratch/jhan/perf-fluctuation/deep-dive/3bda-ingmixtral-tp4-20260815T155824Z/results/draw_06,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260815-160808-1-1/log.0,
draw_07,ok,103.288,1503.3588201316759,0.851427,40.487963,fd612763d69561e299b7ec92c8532df195ccf0bbc89be852d4755b7769ba3902,/scratch/jhan/perf-fluctuation/deep-dive/3bda-ingmixtral-tp4-20260815T155824Z/results/draw_07,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260815-160932-1-1/log.0,
draw_08,ok,102.195,1503.9581393555345,0.851088,40.911035,fd612763d69561e299b7ec92c8532df195ccf0bbc89be852d4755b7769ba3902,/scratch/jhan/perf-fluctuation/deep-dive/3bda-ingmixtral-tp4-20260815T155824Z/results/draw_08,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260815-161058-1-1/log.0,
draw_09,ok,105.5,1507.9935208068757,0.84881,39.654487,fd612763d69561e299b7ec92c8532df195ccf0bbc89be852d4755b7769ba3902,/scratch/jhan/perf-fluctuation/deep-dive/3bda-ingmixtral-tp4-20260815T155824Z/results/draw_09,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260815-161223-1-1/log.0,
draw_10,ok,106.158,1514.6268479093924,0.845093,39.410079,fd612763d69561e299b7ec92c8532df195ccf0bbc89be852d4755b7769ba3902,/scratch/jhan/perf-fluctuation/deep-dive/3bda-ingmixtral-tp4-20260815T155824Z/results/draw_10,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260815-161348-1-1/log.0,
