draw,status,generate_tok_s,parse_tok_s,ttft_s,ttlt_s,token_sha256,result_dir,source_log,reason
draw_01,ok,143.03,1897.6585396158341,0.674515,29.296581,865824c57a84d973a02ae27cf55097f2f658db00de9d6c8659a986a5caa08924,/scratch/jhan/perf-fluctuation/deep-dive/3bda-mixtral-tp4-20260815T152808Z/results/draw_01,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260815-153035-1-1/log.0,
draw_02,ok,154.192,1895.4022533054338,0.675318,27.225789,865824c57a84d973a02ae27cf55097f2f658db00de9d6c8659a986a5caa08924,/scratch/jhan/perf-fluctuation/deep-dive/3bda-mixtral-tp4-20260815T152808Z/results/draw_02,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260815-153154-1-1/log.0,
draw_03,ok,150.731,1889.5248383250955,0.677419,27.837838,865824c57a84d973a02ae27cf55097f2f658db00de9d6c8659a986a5caa08924,/scratch/jhan/perf-fluctuation/deep-dive/3bda-mixtral-tp4-20260815T152808Z/results/draw_03,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260815-153309-1-1/log.0,
draw_04,ok,148.717,1888.6118034705423,0.677746,28.206488,865824c57a84d973a02ae27cf55097f2f658db00de9d6c8659a986a5caa08924,/scratch/jhan/perf-fluctuation/deep-dive/3bda-mixtral-tp4-20260815T152808Z/results/draw_04,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260815-153426-1-1/log.0,
draw_05,ok,153.338,1904.1003432319376,0.672233,27.370839,865824c57a84d973a02ae27cf55097f2f658db00de9d6c8659a986a5caa08924,/scratch/jhan/perf-fluctuation/deep-dive/3bda-mixtral-tp4-20260815T152808Z/results/draw_05,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260815-153544-1-1/log.0,
draw_06,ok,154.546,1869.0332946422511,0.684846,27.175916,865824c57a84d973a02ae27cf55097f2f658db00de9d6c8659a986a5caa08924,/scratch/jhan/perf-fluctuation/deep-dive/3bda-mixtral-tp4-20260815T152808Z/results/draw_06,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260815-153659-1-1/log.0,
draw_07,ok,151.424,1885.8680272324411,0.678733,27.715342,865824c57a84d973a02ae27cf55097f2f658db00de9d6c8659a986a5caa08924,/scratch/jhan/perf-fluctuation/deep-dive/3bda-mixtral-tp4-20260815T152808Z/results/draw_07,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260815-153817-1-1/log.0,
draw_08,ok,144.653,1896.54753686548,0.674911,28.975952,865824c57a84d973a02ae27cf55097f2f658db00de9d6c8659a986a5caa08924,/scratch/jhan/perf-fluctuation/deep-dive/3bda-mixtral-tp4-20260815T152808Z/results/draw_08,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260815-153934-1-1/log.0,
draw_09,ok,156.664,1901.7132913899075,0.673077,26.805358,865824c57a84d973a02ae27cf55097f2f658db00de9d6c8659a986a5caa08924,/scratch/jhan/perf-fluctuation/deep-dive/3bda-mixtral-tp4-20260815T152808Z/results/draw_09,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260815-154051-1-1/log.0,
draw_10,ok,146.632,1879.3191203922618,0.681098,28.600432,865824c57a84d973a02ae27cf55097f2f658db00de9d6c8659a986a5caa08924,/scratch/jhan/perf-fluctuation/deep-dive/3bda-mixtral-tp4-20260815T152808Z/results/draw_10,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260815-154205-1-1/log.0,
draw_11,ok,147.86,1885.0218465858682,0.679037,28.367166,865824c57a84d973a02ae27cf55097f2f658db00de9d6c8659a986a5caa08924,/scratch/jhan/perf-fluctuation/deep-dive/3bda-mixtral-tp4-20260815T152808Z/results/draw_11,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260815-154324-1-1/log.0,
draw_12,ok,148.242,1868.030206906572,0.685214,28.301231,865824c57a84d973a02ae27cf55097f2f658db00de9d6c8659a986a5caa08924,/scratch/jhan/perf-fluctuation/deep-dive/3bda-mixtral-tp4-20260815T152808Z/results/draw_12,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260815-154441-1-1/log.0,
draw_13,ok,153.549,1869.036905287241,0.684845,27.34846,865824c57a84d973a02ae27cf55097f2f658db00de9d6c8659a986a5caa08924,/scratch/jhan/perf-fluctuation/deep-dive/3bda-mixtral-tp4-20260815T152808Z/results/draw_13,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260815-154600-1-1/log.0,
draw_14,ok,149.823,1883.3960296007647,0.679623,28.004504,865824c57a84d973a02ae27cf55097f2f658db00de9d6c8659a986a5caa08924,/scratch/jhan/perf-fluctuation/deep-dive/3bda-mixtral-tp4-20260815T152808Z/results/draw_14,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260815-154717-1-1/log.0,
draw_15,ok,152.413,1895.6590852388085,0.675227,27.53624,865824c57a84d973a02ae27cf55097f2f658db00de9d6c8659a986a5caa08924,/scratch/jhan/perf-fluctuation/deep-dive/3bda-mixtral-tp4-20260815T152808Z/results/draw_15,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260815-154834-1-1/log.0,
draw_16,ok,150.006,1887.1146976931598,0.678284,27.969501,865824c57a84d973a02ae27cf55097f2f658db00de9d6c8659a986a5caa08924,/scratch/jhan/perf-fluctuation/deep-dive/3bda-mixtral-tp4-20260815T152808Z/results/draw_16,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260815-154950-1-1/log.0,
draw_17,ok,152.997,1891.3634774441036,0.67676,27.434623,865824c57a84d973a02ae27cf55097f2f658db00de9d6c8659a986a5caa08924,/scratch/jhan/perf-fluctuation/deep-dive/3bda-mixtral-tp4-20260815T152808Z/results/draw_17,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260815-155109-1-1/log.0,
draw_18,ok,155.602,1892.776833402901,0.676255,26.986147,865824c57a84d973a02ae27cf55097f2f658db00de9d6c8659a986a5caa08924,/scratch/jhan/perf-fluctuation/deep-dive/3bda-mixtral-tp4-20260815T152808Z/results/draw_18,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260815-155225-1-1/log.0,
draw_19,ok,149.37,1911.1612604471034,0.66975,28.077162,865824c57a84d973a02ae27cf55097f2f658db00de9d6c8659a986a5caa08924,/scratch/jhan/perf-fluctuation/deep-dive/3bda-mixtral-tp4-20260815T152808Z/results/draw_19,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260815-155340-1-1/log.0,
draw_20,ok,154.356,1900.3015633089133,0.673577,27.196482,865824c57a84d973a02ae27cf55097f2f658db00de9d6c8659a986a5caa08924,/scratch/jhan/perf-fluctuation/deep-dive/3bda-mixtral-tp4-20260815T152808Z/results/draw_20,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260815-155458-1-1/log.0,
