draw,status,generate_tok_s,parse_tok_s,ttft_s,ttlt_s,token_sha256,result_dir,source_log,reason
draw_01,ok,201.568,2404.53315364207,0.532328,20.842605,3831fb161958c9c213a5185622fa504abddd55172c14807c8b136702d95349ae,/scratch/jhan/perf-fluctuation/deep-dive/3bda-llama8b-tp4-20260815T113956Z/results/draw_01,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260815-114208-1-1/log.0,
draw_02,ok,207.181,2447.184641209178,0.52305,20.282908,3831fb161958c9c213a5185622fa504abddd55172c14807c8b136702d95349ae,/scratch/jhan/perf-fluctuation/deep-dive/3bda-llama8b-tp4-20260815T113956Z/results/draw_02,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260815-114309-1-1/log.0,
draw_03,ok,206.088,2453.2921116881857,0.521748,20.386957,3831fb161958c9c213a5185622fa504abddd55172c14807c8b136702d95349ae,/scratch/jhan/perf-fluctuation/deep-dive/3bda-llama8b-tp4-20260815T113956Z/results/draw_03,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260815-114408-1-1/log.0,
draw_04,ok,202.973,2456.9315212165798,0.520975,20.690342,3831fb161958c9c213a5185622fa504abddd55172c14807c8b136702d95349ae,/scratch/jhan/perf-fluctuation/deep-dive/3bda-llama8b-tp4-20260815T113956Z/results/draw_04,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260815-114507-1-1/log.0,
draw_05,ok,206.527,2442.0977479234043,0.52414,20.348766,3831fb161958c9c213a5185622fa504abddd55172c14807c8b136702d95349ae,/scratch/jhan/perf-fluctuation/deep-dive/3bda-llama8b-tp4-20260815T113956Z/results/draw_05,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260815-114608-1-1/log.0,
draw_06,ok,208.518,2407.037453899568,0.531774,20.166182,3831fb161958c9c213a5185622fa504abddd55172c14807c8b136702d95349ae,/scratch/jhan/perf-fluctuation/deep-dive/3bda-llama8b-tp4-20260815T113956Z/results/draw_06,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260815-114708-1-1/log.0,
draw_07,ok,205.385,2446.514907499326,0.523193,20.455724,3831fb161958c9c213a5185622fa504abddd55172c14807c8b136702d95349ae,/scratch/jhan/perf-fluctuation/deep-dive/3bda-llama8b-tp4-20260815T113956Z/results/draw_07,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260815-114809-1-1/log.0,
draw_08,ok,202.225,2426.2104209308654,0.527572,20.772747,3831fb161958c9c213a5185622fa504abddd55172c14807c8b136702d95349ae,/scratch/jhan/perf-fluctuation/deep-dive/3bda-llama8b-tp4-20260815T113956Z/results/draw_08,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260815-114908-1-1/log.0,
draw_09,ok,206.078,2441.715935407335,0.524222,20.391451,3831fb161958c9c213a5185622fa504abddd55172c14807c8b136702d95349ae,/scratch/jhan/perf-fluctuation/deep-dive/3bda-llama8b-tp4-20260815T113956Z/results/draw_09,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260815-115009-1-1/log.0,
draw_10,ok,202.133,2451.8888361260288,0.522047,20.77522,3831fb161958c9c213a5185622fa504abddd55172c14807c8b136702d95349ae,/scratch/jhan/perf-fluctuation/deep-dive/3bda-llama8b-tp4-20260815T113956Z/results/draw_10,/home/jhan/workspace/run_checkerboard/checkerboard/sweeps/logs/20260815-115110-1-1/log.0,
