test,nthreads,mem_node,size_per_thread,hugepage,pattern,iters,median_GBps,min_GBps,max_GBps,mean_GBps,stddev_GBps
bw_multi,1,0,4194304,2m,read,5,90.754,90.703,90.829,90.764,0.044
bw_multi,1,0,4194304,2m,rmw,5,182.899,182.859,183.053,182.936,0.074
bw_multi,2,0,4194304,2m,read,5,180.605,178.610,181.261,180.275,0.947
bw_multi,2,0,4194304,2m,rmw,5,363.536,357.827,365.787,362.248,3.443
bw_multi,4,0,4194304,2m,read,5,359.807,356.459,362.043,359.165,2.032
bw_multi,4,0,4194304,2m,rmw,5,724.727,722.524,731.055,725.606,3.029
bw_multi,8,0,4194304,2m,read,5,636.970,636.343,646.914,639.571,3.988
bw_multi,8,0,4194304,2m,rmw,5,1259.406,1247.058,1281.164,1263.051,13.427
bw_multi,16,0,4194304,2m,read,5,1283.765,1269.449,1331.836,1289.898,21.645
bw_multi,16,0,4194304,2m,rmw,5,2512.800,2446.854,2568.756,2514.909,42.084
bw_multi,24,0,4194304,2m,read,5,1818.068,1775.031,1841.620,1815.889,22.712
bw_multi,24,0,4194304,2m,rmw,5,3359.169,3271.649,3455.237,3371.048,62.066
bw_multi,32,0,4194304,2m,read,5,2456.239,2452.518,2470.314,2458.464,6.602
bw_multi,32,0,4194304,2m,rmw,5,4732.298,4648.013,4788.993,4727.433,45.484
bw_multi,40,0,4194304,2m,read,5,3026.161,2999.803,3095.790,3041.672,35.356
bw_multi,40,0,4194304,2m,rmw,5,5900.992,5875.851,5949.021,5912.820,30.205
bw_multi,48,0,4194304,2m,read,5,3487.115,3464.091,3571.336,3507.834,41.134
bw_multi,48,0,4194304,2m,rmw,5,6611.156,6481.689,6713.001,6599.377,74.437
bw_multi,56,0,4194304,2m,read,5,3839.147,3743.050,3999.222,3843.035,87.702
bw_multi,56,0,4194304,2m,rmw,5,7180.671,7148.032,7384.035,7221.531,84.754
bw_multi,64,0,4194304,2m,read,5,4165.592,4098.570,4271.820,4173.818,56.324
bw_multi,64,0,4194304,2m,rmw,5,7670.629,7511.740,8471.828,7889.111,395.240
bw_multi,96,0,4194304,2m,read,5,5228.230,5211.054,5378.224,5265.131,61.418
bw_multi,96,0,4194304,2m,rmw,5,9870.130,9214.297,10143.904,9724.863,338.410
bw_multi,1,0,268435456,2m,read,5,36.979,36.667,37.483,37.030,0.313
bw_multi,1,0,268435456,2m,rmw,5,55.730,55.684,56.106,55.793,0.158
bw_multi,2,0,268435456,2m,read,5,37.722,37.661,37.809,37.719,0.055
bw_multi,2,0,268435456,2m,rmw,5,57.678,57.597,57.715,57.658,0.046
bw_multi,4,0,268435456,2m,read,5,38.273,38.189,38.434,38.294,0.098
bw_multi,4,0,268435456,2m,rmw,5,57.586,57.563,57.890,57.643,0.124
bw_multi,8,0,268435456,2m,read,5,38.184,38.142,38.788,38.321,0.242
bw_multi,8,0,268435456,2m,rmw,5,57.769,57.689,58.377,57.876,0.254
bw_multi,16,0,268435456,2m,read,5,78.008,77.949,78.119,78.031,0.059
bw_multi,16,0,268435456,2m,rmw,5,115.556,115.461,115.884,115.604,0.145
bw_multi,24,0,268435456,2m,read,5,117.753,117.633,117.928,117.767,0.101
bw_multi,24,0,268435456,2m,rmw,5,173.098,173.002,173.420,173.151,0.142
bw_multi,32,0,268435456,2m,read,5,157.438,157.269,157.940,157.515,0.234
bw_multi,32,0,268435456,2m,rmw,5,224.655,224.165,225.389,224.760,0.414
bw_multi,40,0,268435456,2m,read,5,197.420,197.350,197.768,197.479,0.149
bw_multi,40,0,268435456,2m,rmw,5,258.537,258.485,258.590,258.529,0.038
bw_multi,48,0,268435456,2m,read,5,237.403,237.070,238.065,237.464,0.337
bw_multi,48,0,268435456,2m,rmw,5,289.670,289.165,290.140,289.611,0.385
