test,nthreads,mem_node,size_per_thread,hugepage,pattern,iters,median_GBps,min_GBps,max_GBps,mean_GBps,stddev_GBps
bw_multi,1,0,4194304,2m,read,5,26.667,26.606,26.675,26.656,0.026
bw_multi,1,0,4194304,2m,rmw,5,52.705,52.592,52.719,52.681,0.047
bw_multi,2,0,4194304,2m,read,5,54.409,54.364,54.423,54.403,0.021
bw_multi,2,0,4194304,2m,rmw,5,107.877,107.851,107.894,107.871,0.016
bw_multi,4,0,4194304,2m,read,5,104.933,104.874,105.080,104.945,0.073
bw_multi,4,0,4194304,2m,rmw,5,203.361,203.111,203.373,203.282,0.110
bw_multi,8,0,4194304,2m,read,5,193.975,193.788,194.751,194.093,0.337
bw_multi,8,0,4194304,2m,rmw,5,373.918,373.845,374.232,373.974,0.134
bw_multi,16,0,4194304,2m,read,5,334.338,334.258,349.316,338.233,5.823
bw_multi,16,0,4194304,2m,rmw,5,654.082,652.456,655.506,653.983,1.056
bw_multi,24,0,4194304,2m,read,5,436.452,434.913,445.098,439.236,4.276
bw_multi,24,0,4194304,2m,rmw,5,876.373,875.111,877.336,876.276,0.828
bw_multi,32,0,4194304,2m,read,5,402.594,401.202,419.583,405.717,6.990
bw_multi,32,0,4194304,2m,rmw,5,805.718,804.501,809.587,806.309,1.910
bw_multi,40,0,4194304,2m,read,5,492.719,490.652,494.067,492.220,1.348
bw_multi,40,0,4194304,2m,rmw,5,999.566,989.437,1007.760,998.209,7.547
bw_multi,48,0,4194304,2m,read,5,550.279,547.925,586.171,559.231,14.629
bw_multi,48,0,4194304,2m,rmw,5,1102.418,1097.066,1139.282,1109.054,15.305
bw_multi,56,0,4194304,2m,read,5,548.923,541.775,571.013,552.069,10.403
bw_multi,56,0,4194304,2m,rmw,5,1096.464,1077.017,1328.914,1138.917,95.297
bw_multi,64,0,4194304,2m,read,5,552.104,548.423,562.529,555.023,6.179
bw_multi,64,0,4194304,2m,rmw,5,1106.387,1091.990,1155.194,1115.522,21.548
bw_multi,72,0,4194304,2m,read,5,489.280,481.077,491.320,488.167,3.632
bw_multi,72,0,4194304,2m,rmw,5,981.998,973.479,988.513,982.714,5.553
bw_multi,1,0,268435456,2m,read,5,26.420,26.361,26.477,26.421,0.037
bw_multi,1,0,268435456,2m,rmw,5,52.130,52.082,52.141,52.122,0.021
bw_multi,2,0,268435456,2m,read,5,47.620,45.423,52.296,47.756,2.481
bw_multi,2,0,268435456,2m,rmw,5,92.240,91.290,92.488,91.976,0.533
bw_multi,4,0,268435456,2m,read,5,71.343,71.194,71.376,71.307,0.065
bw_multi,4,0,268435456,2m,rmw,5,137.759,137.696,137.964,137.785,0.097
bw_multi,8,0,268435456,2m,read,5,127.167,126.419,127.318,127.012,0.316
bw_multi,8,0,268435456,2m,rmw,5,232.504,232.418,232.520,232.488,0.036
bw_multi,16,0,268435456,2m,read,5,228.257,227.486,228.346,228.072,0.319
bw_multi,16,0,268435456,2m,rmw,5,376.128,375.953,376.224,376.087,0.098
bw_multi,24,0,268435456,2m,read,5,306.541,305.480,306.636,306.326,0.433
bw_multi,24,0,268435456,2m,rmw,5,426.493,423.526,428.151,426.341,1.556
bw_multi,32,0,268435456,2m,read,5,394.396,392.994,397.058,394.921,1.708
bw_multi,32,0,268435456,2m,rmw,5,415.231,413.808,415.895,415.118,0.715
