test,cpu,mem_node,size_bytes,hugepage,pattern,iters,median_GBps,min_GBps,max_GBps,mean_GBps,stddev_GBps
bw_avx512,0,0,32768,none,read,5,210.780,210.334,210.977,210.704,0.232
bw_avx512,0,0,32768,none,rmw,5,229.427,229.366,229.557,229.451,0.066
bw_avx512,0,0,65536,none,read,5,117.341,117.292,117.394,117.346,0.038
bw_avx512,0,0,65536,none,rmw,5,231.873,231.755,231.921,231.862,0.057
bw_avx512,0,0,131072,none,read,5,117.647,117.528,117.709,117.637,0.059
bw_avx512,0,0,131072,none,rmw,5,233.480,233.325,233.542,233.453,0.074
bw_avx512,0,0,262144,none,read,5,117.860,117.805,117.903,117.857,0.034
bw_avx512,0,0,262144,none,rmw,5,234.730,234.667,234.812,234.739,0.049
bw_avx512,0,0,524288,none,read,5,117.977,117.914,118.006,117.969,0.031
bw_avx512,0,0,524288,none,rmw,5,235.192,235.074,235.265,235.191,0.066
bw_avx512,0,0,1048576,none,read,5,100.045,96.772,100.051,99.387,1.308
bw_avx512,0,0,1048576,none,rmw,5,184.727,182.604,190.318,186.113,3.469
bw_avx512,0,0,2097152,none,read,5,96.656,95.579,99.167,97.231,1.626
bw_avx512,0,0,2097152,none,rmw,5,197.075,196.996,197.109,197.065,0.040
bw_avx512,0,0,4194304,2m,read,5,88.702,87.651,89.749,88.860,0.782
bw_avx512,0,0,4194304,2m,rmw,5,183.115,183.075,183.160,183.118,0.029
bw_avx512,0,0,8388608,2m,read,5,87.883,87.806,90.627,88.412,1.108
bw_avx512,0,0,8388608,2m,rmw,5,184.116,178.134,184.180,182.934,2.400
bw_avx512,0,0,16777216,2m,read,5,87.772,87.712,87.909,87.794,0.075
bw_avx512,0,0,16777216,2m,rmw,5,184.018,175.950,184.455,181.588,3.397
bw_avx512,0,0,33554432,2m,read,5,89.279,88.622,89.451,89.198,0.298
bw_avx512,0,0,33554432,2m,rmw,5,162.852,154.433,163.640,161.345,3.469
bw_avx512,0,0,50331648,2m,read,5,54.637,54.575,54.696,54.630,0.043
bw_avx512,0,0,50331648,2m,rmw,5,85.366,85.335,85.413,85.372,0.031
bw_avx512,0,0,67108864,2m,read,5,49.706,49.628,49.747,49.699,0.040
bw_avx512,0,0,67108864,2m,rmw,5,82.227,80.625,82.282,81.907,0.643
bw_avx512,0,0,100663296,2m,read,5,46.798,41.829,46.889,45.826,1.999
bw_avx512,0,0,100663296,2m,rmw,5,73.486,72.117,73.731,73.142,0.634
bw_avx512,0,0,134217728,2m,read,5,38.479,38.389,38.507,38.462,0.044
bw_avx512,0,0,134217728,2m,rmw,5,67.495,65.931,68.067,67.201,0.854
bw_avx512,0,0,201326592,2m,read,5,38.480,38.460,38.522,38.485,0.020
bw_avx512,0,0,201326592,2m,rmw,5,55.716,55.707,56.379,55.884,0.258
bw_avx512,0,0,268435456,2m,read,5,38.479,38.444,38.516,38.484,0.025
bw_avx512,0,0,268435456,2m,rmw,5,56.378,56.376,56.409,56.386,0.013
bw_avx512,0,0,402653184,2m,read,5,38.463,37.645,38.492,38.293,0.326
bw_avx512,0,0,402653184,2m,rmw,5,56.374,56.366,56.401,56.378,0.012
bw_avx512,0,0,536870912,2m,read,5,38.072,37.770,38.500,38.115,0.308
bw_avx512,0,0,536870912,2m,rmw,5,56.376,56.347,56.383,56.372,0.013
bw_avx512,0,0,805306368,2m,read,5,37.808,37.755,38.465,37.927,0.270
bw_avx512,0,0,805306368,2m,rmw,5,56.396,55.802,56.412,56.278,0.238
bw_avx512,0,0,1073741824,1g,read,5,37.785,37.750,38.033,37.823,0.107
bw_avx512,0,0,1073741824,1g,rmw,5,56.435,55.737,56.453,56.199,0.308
bw_avx512,0,0,2147483648,1g,read,5,38.497,38.447,38.508,38.482,0.026
bw_avx512,0,0,2147483648,1g,rmw,5,56.435,56.423,56.460,56.440,0.016
bw_avx512,0,0,4294967296,1g,read,5,37.504,37.446,38.496,37.878,0.491
bw_avx512,0,0,4294967296,1g,rmw,5,56.296,55.786,56.437,56.168,0.260
bw_avx512,0,1,16777216,2m,read,5,89.941,89.901,89.968,89.939,0.026
bw_avx512,0,1,16777216,2m,rmw,5,175.374,174.367,182.534,177.843,3.818
bw_avx512,0,1,268435456,2m,read,5,30.434,30.420,30.461,30.442,0.016
bw_avx512,0,1,268435456,2m,rmw,5,35.922,35.683,36.092,35.927,0.148
bw_avx512,0,1,4294967296,1g,read,5,30.409,29.756,30.436,30.159,0.321
bw_avx512,0,1,4294967296,1g,rmw,5,36.111,36.086,36.115,36.106,0.011
