test,cpu,mem_node,size_bytes,hugepage,pattern,iters,median_GBps,min_GBps,max_GBps,mean_GBps,stddev_GBps
bw_avx512,0,0,32768,none,read,5,284.668,282.537,284.791,284.203,0.847
bw_avx512,0,0,32768,none,rmw,5,479.360,478.798,479.780,479.326,0.313
bw_avx512,0,0,65536,none,read,5,196.241,196.199,196.358,196.257,0.054
bw_avx512,0,0,65536,none,rmw,5,141.587,141.553,141.599,141.583,0.017
bw_avx512,0,0,131072,none,read,5,197.597,196.440,197.779,197.394,0.487
bw_avx512,0,0,131072,none,rmw,5,141.797,141.762,141.830,141.801,0.024
bw_avx512,0,0,262144,none,read,5,198.402,198.263,198.510,198.394,0.079
bw_avx512,0,0,262144,none,rmw,5,141.926,141.903,141.953,141.924,0.017
bw_avx512,0,0,524288,none,read,5,196.966,196.490,196.982,196.838,0.189
bw_avx512,0,0,524288,none,rmw,5,141.996,141.981,142.060,142.008,0.028
bw_avx512,0,0,1048576,none,read,5,196.432,196.358,196.464,196.420,0.035
bw_avx512,0,0,1048576,none,rmw,5,142.048,141.975,142.064,142.038,0.033
bw_avx512,0,0,2097152,none,read,5,59.195,59.016,59.217,59.165,0.075
bw_avx512,0,0,2097152,none,rmw,5,97.715,97.672,97.763,97.718,0.030
bw_avx512,0,0,4194304,2m,read,5,26.766,26.757,26.773,26.765,0.006
bw_avx512,0,0,4194304,2m,rmw,5,52.821,52.641,52.843,52.789,0.075
bw_avx512,0,0,8388608,2m,read,5,26.747,26.737,26.750,26.745,0.004
bw_avx512,0,0,8388608,2m,rmw,5,52.830,52.817,52.844,52.832,0.009
bw_avx512,0,0,16777216,2m,read,5,26.765,26.756,26.771,26.763,0.006
bw_avx512,0,0,16777216,2m,rmw,5,52.834,52.821,52.843,52.831,0.008
bw_avx512,0,0,33554432,2m,read,5,26.749,26.652,26.757,26.724,0.041
bw_avx512,0,0,33554432,2m,rmw,5,52.830,52.812,52.836,52.827,0.008
bw_avx512,0,0,50331648,2m,read,5,26.757,26.751,26.761,26.756,0.003
bw_avx512,0,0,50331648,2m,rmw,5,52.826,52.818,52.837,52.827,0.006
bw_avx512,0,0,67108864,2m,read,5,26.752,26.748,26.761,26.752,0.005
bw_avx512,0,0,67108864,2m,rmw,5,52.822,52.683,52.838,52.792,0.058
bw_avx512,0,0,100663296,2m,read,5,26.756,26.746,26.756,26.754,0.004
bw_avx512,0,0,100663296,2m,rmw,5,52.828,52.820,52.846,52.830,0.010
bw_avx512,0,0,134217728,2m,read,5,26.751,26.741,26.759,26.751,0.006
bw_avx512,0,0,134217728,2m,rmw,5,52.831,52.664,52.832,52.797,0.067
bw_avx512,0,0,201326592,2m,read,5,26.704,26.653,26.716,26.696,0.023
bw_avx512,0,0,201326592,2m,rmw,5,52.811,52.800,52.827,52.813,0.009
bw_avx512,0,0,268435456,2m,read,5,26.602,26.557,26.618,26.595,0.023
bw_avx512,0,0,268435456,2m,rmw,5,52.522,52.515,52.542,52.525,0.009
bw_avx512,0,0,402653184,2m,read,5,25.139,24.983,25.232,25.132,0.085
bw_avx512,0,0,402653184,2m,rmw,5,49.820,49.763,49.840,49.806,0.029
bw_avx512,0,0,536870912,2m,read,5,22.396,22.382,22.410,22.395,0.011
bw_avx512,0,0,536870912,2m,rmw,5,45.183,45.163,45.367,45.222,0.075
bw_avx512,0,0,805306368,2m,read,5,19.384,19.358,19.516,19.405,0.057
bw_avx512,0,0,805306368,2m,rmw,5,38.530,38.469,38.582,38.526,0.036
bw_avx512,0,0,1073741824,1g,read,5,15.602,15.549,15.751,15.635,0.079
bw_avx512,0,0,1073741824,1g,rmw,5,30.778,30.760,30.795,30.779,0.013
bw_avx512,0,0,2147483648,1g,read,5,15.711,15.680,15.714,15.705,0.013
bw_avx512,0,0,2147483648,1g,rmw,5,30.943,30.797,30.967,30.918,0.063
bw_avx512,0,0,4294967296,1g,read,5,15.738,15.723,15.745,15.737,0.008
bw_avx512,0,0,4294967296,1g,rmw,5,30.993,30.912,31.012,30.982,0.036
bw_avx512,0,1,16777216,2m,read,5,26.735,26.633,26.745,26.715,0.042
bw_avx512,0,1,16777216,2m,rmw,5,52.820,52.810,52.831,52.819,0.008
bw_avx512,0,1,268435456,2m,read,5,25.927,25.186,26.179,25.806,0.344
bw_avx512,0,1,268435456,2m,rmw,5,51.481,51.319,51.553,51.475,0.085
bw_avx512,0,1,4294967296,1g,read,5,8.950,6.346,9.000,8.343,1.019
bw_avx512,0,1,4294967296,1g,rmw,5,12.063,12.053,16.662,13.821,2.164
