test,cpu_a,cpu_b,mem_node,iters,rounds,median_ns_rt,min_ns_rt,max_ns_rt,mean_ns_rt,stddev_ns_rt
c2c_lat,0,1,0,5,1000000,55.641,55.585,55.687,55.640,0.033
c2c_lat,0,2,0,5,1000000,55.614,55.589,55.645,55.616,0.018
c2c_lat,0,3,0,5,1000000,57.174,56.669,58.163,57.369,0.576
c2c_lat,0,4,0,5,1000000,55.619,55.587,55.740,55.636,0.053
c2c_lat,0,5,0,5,1000000,55.623,55.596,55.640,55.621,0.015
c2c_lat,0,6,0,5,1000000,55.620,55.607,55.657,55.625,0.017
c2c_lat,0,7,0,5,1000000,55.617,55.604,55.628,55.617,0.008
c2c_lat,0,8,0,5,1000000,316.074,313.682,317.507,316.028,1.289
c2c_lat,0,9,0,5,1000000,352.406,351.679,354.419,352.881,0.989
c2c_lat,0,10,0,5,1000000,365.944,364.777,369.507,366.634,1.607
c2c_lat,0,11,0,5,1000000,385.017,383.516,389.008,385.571,1.971
c2c_lat,0,12,0,5,1000000,317.035,312.012,320.505,316.491,2.745
c2c_lat,0,13,0,5,1000000,362.170,361.646,367.669,363.773,2.467
c2c_lat,0,14,0,5,1000000,381.080,377.851,381.869,380.644,1.469
c2c_lat,0,15,0,5,1000000,367.599,367.236,368.736,367.833,0.512
c2c_lat,0,16,0,5,1000000,348.862,344.364,350.809,347.988,2.561
c2c_lat,0,17,0,5,1000000,377.370,371.659,378.975,376.297,2.494
c2c_lat,0,18,0,5,1000000,370.409,368.547,374.379,371.157,1.962
c2c_lat,0,19,0,5,1000000,327.660,316.695,329.638,325.207,4.815
c2c_lat,0,20,0,5,1000000,360.114,356.541,364.561,360.094,2.670
c2c_lat,0,21,0,5,1000000,376.452,373.862,380.606,377.010,2.883
c2c_lat,0,22,0,5,1000000,377.798,376.235,379.835,377.982,1.266
c2c_lat,0,23,0,5,1000000,373.267,369.148,375.056,372.438,2.427
c2c_lat,0,24,0,5,1000000,322.335,308.905,331.593,322.184,7.665
c2c_lat,0,25,0,5,1000000,342.290,334.969,345.082,341.113,3.552
c2c_lat,0,26,0,5,1000000,376.596,370.701,377.712,375.353,2.480
c2c_lat,0,27,0,5,1000000,384.658,383.110,386.237,384.564,1.220
c2c_lat,0,28,0,5,1000000,376.417,373.226,377.729,375.885,1.495
c2c_lat,0,29,0,5,1000000,388.987,386.804,391.699,388.888,1.636
c2c_lat,0,30,0,5,1000000,351.059,349.728,352.060,351.004,0.891
c2c_lat,0,31,0,5,1000000,362.496,361.443,367.943,364.284,2.740
c2c_lat,0,32,0,5,1000000,345.519,341.549,346.866,344.715,1.920
c2c_lat,0,33,0,5,1000000,375.935,373.358,379.061,375.938,1.838
c2c_lat,0,34,0,5,1000000,343.015,342.570,345.261,343.478,1.028
c2c_lat,0,35,0,5,1000000,380.484,376.243,380.605,379.351,1.685
c2c_lat,0,36,0,5,1000000,378.197,376.876,381.170,378.541,1.553
c2c_lat,0,37,0,5,1000000,385.984,383.832,388.205,386.256,1.491
c2c_lat,0,38,0,5,1000000,349.525,347.980,349.960,349.218,0.716
c2c_lat,0,39,0,5,1000000,355.000,352.420,355.818,354.756,1.222
c2c_lat,0,40,0,5,1000000,338.511,333.622,342.156,337.923,3.098
c2c_lat,0,41,0,5,1000000,374.954,372.304,376.720,374.879,1.520
c2c_lat,0,42,0,5,1000000,379.237,378.067,380.002,379.142,0.621
c2c_lat,0,43,0,5,1000000,341.150,339.230,342.923,341.237,1.348
c2c_lat,0,44,0,5,1000000,378.528,377.442,380.606,378.934,1.196
c2c_lat,0,45,0,5,1000000,384.150,381.904,385.746,383.991,1.251
c2c_lat,0,46,0,5,1000000,348.168,345.888,348.814,347.898,1.073
c2c_lat,0,47,0,5,1000000,384.579,381.813,387.344,384.970,2.030
c2c_lat,0,48,0,5,1000000,362.013,356.953,366.704,361.825,3.172
c2c_lat,0,49,0,5,1000000,355.119,348.890,359.223,353.725,3.814
c2c_lat,0,50,0,5,1000000,358.335,355.874,360.130,358.201,1.688
c2c_lat,0,51,0,5,1000000,362.155,361.086,363.674,362.158,0.873
c2c_lat,0,52,0,5,1000000,377.373,374.528,378.229,377.023,1.336
c2c_lat,0,53,0,5,1000000,350.348,348.299,355.367,351.042,2.395
c2c_lat,0,54,0,5,1000000,375.373,374.026,376.131,375.324,0.716
c2c_lat,0,55,0,5,1000000,376.061,367.482,377.333,374.582,3.638
c2c_lat,0,56,0,5,1000000,373.382,368.520,374.485,372.071,2.310
c2c_lat,0,57,0,5,1000000,380.961,377.785,381.904,380.456,1.413
c2c_lat,0,58,0,5,1000000,349.047,346.610,350.169,348.749,1.166
c2c_lat,0,59,0,5,1000000,363.335,361.912,367.264,364.309,1.956
c2c_lat,0,60,0,5,1000000,355.814,352.094,360.443,355.900,2.666
c2c_lat,0,61,0,5,1000000,357.580,356.529,360.574,358.287,1.678
c2c_lat,0,62,0,5,1000000,374.891,372.357,380.483,376.133,3.267
c2c_lat,0,63,0,5,1000000,370.199,366.871,371.564,369.784,1.633
c2c_lat,0,64,0,5,1000000,355.877,354.218,359.358,356.278,2.003
c2c_lat,0,65,0,5,1000000,377.864,365.143,381.992,375.349,6.273
c2c_lat,0,66,0,5,1000000,376.441,375.214,378.912,376.777,1.379
c2c_lat,0,67,0,5,1000000,371.496,359.442,380.437,370.474,6.727
c2c_lat,0,68,0,5,1000000,374.813,374.290,376.792,375.082,0.911
c2c_lat,0,69,0,5,1000000,374.876,374.127,378.388,375.349,1.573
c2c_lat,0,70,0,5,1000000,380.400,378.733,382.873,380.500,1.526
c2c_lat,0,71,0,5,1000000,377.282,372.917,380.202,376.767,2.368
c2c_lat,0,72,0,5,1000000,379.173,376.887,381.605,379.280,1.506
c2c_lat,0,73,0,5,1000000,360.009,354.826,361.255,359.366,2.325
c2c_lat,0,74,0,5,1000000,381.931,375.922,383.686,381.207,2.720
c2c_lat,0,75,0,5,1000000,364.822,363.002,367.407,365.118,1.560
c2c_lat,0,76,0,5,1000000,369.234,362.983,370.396,368.055,2.632
c2c_lat,0,77,0,5,1000000,373.119,371.689,375.293,373.491,1.214
c2c_lat,0,78,0,5,1000000,375.181,372.821,376.781,374.829,1.380
c2c_lat,0,79,0,5,1000000,381.863,378.987,382.921,381.061,1.515
c2c_lat,0,80,0,5,1000000,377.461,369.387,378.913,375.206,3.709
c2c_lat,0,81,0,5,1000000,352.340,351.212,352.734,352.151,0.592
c2c_lat,0,82,0,5,1000000,379.964,377.579,380.731,379.388,1.356
c2c_lat,0,83,0,5,1000000,376.477,374.963,378.352,376.335,1.220
c2c_lat,0,84,0,5,1000000,356.326,353.940,358.318,356.013,1.594
c2c_lat,0,85,0,5,1000000,375.565,373.040,378.533,375.815,1.822
c2c_lat,0,86,0,5,1000000,352.873,351.418,356.267,353.182,1.636
c2c_lat,0,87,0,5,1000000,375.912,373.859,378.067,376.072,1.647
c2c_lat,0,88,0,5,1000000,356.178,353.537,357.025,355.517,1.392
c2c_lat,0,89,0,5,1000000,378.536,378.398,380.719,379.079,0.879
c2c_lat,0,90,0,5,1000000,370.123,369.338,372.521,370.596,1.198
c2c_lat,0,91,0,5,1000000,377.793,377.025,378.928,377.818,0.697
c2c_lat,0,92,0,5,1000000,356.517,351.266,357.825,355.412,2.331
c2c_lat,0,93,0,5,1000000,355.040,353.525,356.250,354.930,1.100
c2c_lat,0,94,0,5,1000000,354.351,353.955,358.792,355.792,2.019
c2c_lat,0,95,0,5,1000000,375.068,374.069,376.914,375.327,1.076
c2c_lat,0,96,0,5,1000000,598.071,588.523,602.847,596.695,5.272
c2c_lat,0,112,0,5,1000000,602.261,597.186,609.983,602.609,4.344
c2c_lat,0,128,0,5,1000000,624.879,623.848,628.701,625.389,1.714
c2c_lat,0,191,0,5,1000000,638.918,634.579,640.394,638.353,2.108
