test,cpu_a,cpu_b,mem_node,iters,rounds,median_ns_rt,min_ns_rt,max_ns_rt,mean_ns_rt,stddev_ns_rt
c2c_lat,0,1,0,5,1000000,169.647,169.441,169.667,169.601,0.084
c2c_lat,0,2,0,5,1000000,117.925,117.892,117.973,117.927,0.029
c2c_lat,0,3,0,5,1000000,118.888,118.782,118.947,118.882,0.055
c2c_lat,0,4,0,5,1000000,162.118,161.311,162.590,161.990,0.423
c2c_lat,0,5,0,5,1000000,229.807,228.065,231.067,229.433,1.181
c2c_lat,0,6,0,5,1000000,114.543,114.453,114.625,114.536,0.059
c2c_lat,0,7,0,5,1000000,184.135,183.994,184.298,184.134,0.098
c2c_lat,0,8,0,5,1000000,179.868,179.692,179.919,179.817,0.096
c2c_lat,0,9,0,5,1000000,114.483,114.442,114.605,114.497,0.060
c2c_lat,0,10,0,5,1000000,182.229,182.188,182.431,182.267,0.086
c2c_lat,0,11,0,5,1000000,211.745,211.717,211.993,211.831,0.125
c2c_lat,0,12,0,5,1000000,211.448,211.354,211.508,211.441,0.050
c2c_lat,0,13,0,5,1000000,123.886,123.808,124.007,123.894,0.065
c2c_lat,0,14,0,5,1000000,181.414,181.376,181.457,181.421,0.029
c2c_lat,0,15,0,5,1000000,123.490,123.398,123.498,123.465,0.038
c2c_lat,0,16,0,5,1000000,119.068,119.044,119.102,119.070,0.019
c2c_lat,0,17,0,5,1000000,129.635,129.586,129.667,129.632,0.026
c2c_lat,0,18,0,5,1000000,171.057,170.960,171.088,171.039,0.046
c2c_lat,0,19,0,5,1000000,166.989,166.953,167.059,166.995,0.037
c2c_lat,0,20,0,5,1000000,127.145,127.047,127.260,127.159,0.071
c2c_lat,0,21,0,5,1000000,124.821,124.745,124.847,124.797,0.042
c2c_lat,0,22,0,5,1000000,124.574,124.564,124.657,124.593,0.035
c2c_lat,0,23,0,5,1000000,225.235,225.115,225.293,225.218,0.062
c2c_lat,0,24,0,5,1000000,224.580,224.439,224.655,224.569,0.074
c2c_lat,0,25,0,5,1000000,152.616,152.575,152.732,152.635,0.057
c2c_lat,0,26,0,5,1000000,166.522,166.439,166.639,166.542,0.072
c2c_lat,0,27,0,5,1000000,160.573,160.502,160.714,160.592,0.075
c2c_lat,0,28,0,5,1000000,136.412,135.857,136.748,136.316,0.329
c2c_lat,0,29,0,5,1000000,151.918,151.810,151.982,151.894,0.065
c2c_lat,0,30,0,5,1000000,205.641,205.597,205.735,205.648,0.048
c2c_lat,0,31,0,5,1000000,139.712,139.633,139.882,139.724,0.084
c2c_lat,0,32,0,5,1000000,158.000,157.908,158.277,158.023,0.134
c2c_lat,0,33,0,5,1000000,163.646,163.570,163.836,163.666,0.089
c2c_lat,0,34,0,5,1000000,196.305,196.218,196.339,196.286,0.044
c2c_lat,0,35,0,5,1000000,206.479,206.456,206.540,206.497,0.034
c2c_lat,0,36,0,5,1000000,198.012,197.849,198.046,197.978,0.070
c2c_lat,0,37,0,5,1000000,189.945,189.870,190.119,189.979,0.088
c2c_lat,0,38,0,5,1000000,142.961,142.899,143.004,142.953,0.043
c2c_lat,0,39,0,5,1000000,202.976,202.973,203.155,203.013,0.071
c2c_lat,0,40,0,5,1000000,209.314,208.889,212.831,210.260,1.568
c2c_lat,0,41,0,5,1000000,149.065,149.034,149.200,149.088,0.060
c2c_lat,0,42,0,5,1000000,143.011,142.981,143.102,143.035,0.048
c2c_lat,0,43,0,5,1000000,148.208,148.131,148.312,148.212,0.073
c2c_lat,0,44,0,5,1000000,200.707,200.640,200.764,200.703,0.053
c2c_lat,0,45,0,5,1000000,157.122,157.018,157.224,157.124,0.085
c2c_lat,0,46,0,5,1000000,146.082,146.040,146.319,146.138,0.104
c2c_lat,0,47,0,5,1000000,148.720,148.672,148.862,148.759,0.079
c2c_lat,0,48,0,5,1000000,164.487,164.453,164.595,164.514,0.051
c2c_lat,0,49,0,5,1000000,163.330,163.248,163.384,163.325,0.045
c2c_lat,0,50,0,5,1000000,178.540,178.503,178.763,178.601,0.098
c2c_lat,0,51,0,5,1000000,175.911,175.694,177.500,176.165,0.675
c2c_lat,0,52,0,5,1000000,179.659,179.443,180.701,179.948,0.495
c2c_lat,0,53,0,5,1000000,184.299,184.230,184.429,184.311,0.073
c2c_lat,0,54,0,5,1000000,178.263,178.137,178.365,178.252,0.096
c2c_lat,0,55,0,5,1000000,184.118,184.018,184.196,184.113,0.069
c2c_lat,0,56,0,5,1000000,177.390,177.183,177.430,177.329,0.096
c2c_lat,0,57,0,5,1000000,165.464,165.454,165.567,165.499,0.047
c2c_lat,0,58,0,5,1000000,167.950,167.889,168.051,167.958,0.055
c2c_lat,0,59,0,5,1000000,189.355,189.317,189.441,189.360,0.045
c2c_lat,0,60,0,5,1000000,168.766,168.694,168.821,168.758,0.043
c2c_lat,0,61,0,5,1000000,171.127,171.055,171.413,171.181,0.134
c2c_lat,0,62,0,5,1000000,177.995,177.812,178.138,177.977,0.106
c2c_lat,0,63,0,5,1000000,187.855,187.375,188.461,187.880,0.384
c2c_lat,0,64,0,5,1000000,170.657,170.583,170.940,170.718,0.127
c2c_lat,0,65,0,5,1000000,178.740,178.646,178.874,178.753,0.073
c2c_lat,0,66,0,5,1000000,173.514,173.504,173.679,173.563,0.070
c2c_lat,0,67,0,5,1000000,173.024,172.973,173.059,173.015,0.035
