test,cpu,mem_node,size_bytes,hugepage,iters,median_ns,min_ns,max_ns,mean_ns,stddev_ns
ptr_chase,0,0,32768,none,5,1.085,1.085,1.085,1.085,0.000
ptr_chase,0,0,65536,none,5,3.802,3.800,3.803,3.802,0.001
ptr_chase,0,0,131072,none,5,3.808,3.807,3.809,3.808,0.001
ptr_chase,0,0,262144,none,5,3.815,3.814,3.815,3.815,0.000
ptr_chase,0,0,524288,none,5,4.788,4.786,4.790,4.788,0.001
ptr_chase,0,0,1048576,none,5,8.496,8.491,8.499,8.495,0.003
ptr_chase,0,0,2097152,none,5,13.132,13.127,13.136,13.132,0.003
ptr_chase,0,0,4194304,2m,5,12.901,12.889,12.934,12.907,0.017
ptr_chase,0,0,8388608,2m,5,14.016,14.004,14.028,14.017,0.008
ptr_chase,0,0,16777216,2m,5,15.735,15.716,15.771,15.738,0.021
ptr_chase,0,0,33554432,2m,5,21.190,20.866,22.606,21.581,0.678
ptr_chase,0,0,50331648,2m,5,61.701,61.598,63.711,62.073,0.820
ptr_chase,0,0,67108864,2m,5,77.592,77.034,78.742,77.839,0.679
ptr_chase,0,0,100663296,2m,5,87.430,87.157,88.057,87.536,0.329
ptr_chase,0,0,134217728,2m,5,93.028,92.982,93.837,93.233,0.323
ptr_chase,0,0,201326592,2m,5,100.041,99.623,100.464,100.049,0.291
ptr_chase,0,0,268435456,2m,5,103.401,103.282,103.522,103.392,0.084
ptr_chase,0,0,402653184,2m,5,106.273,106.102,106.351,106.241,0.089
ptr_chase,0,0,536870912,2m,5,108.098,107.951,108.373,108.124,0.137
ptr_chase,0,0,805306368,2m,5,109.835,109.687,109.914,109.827,0.079
ptr_chase,0,0,1073741824,1g,5,108.734,108.564,108.893,108.745,0.129
ptr_chase,0,0,2147483648,1g,5,109.437,109.406,109.516,109.446,0.037
ptr_chase,0,0,4294967296,1g,5,109.847,109.820,109.897,109.851,0.025
