test,cpu,mem_node,size_bytes,hugepage,iters,median_ns,min_ns,max_ns,mean_ns,stddev_ns
ptr_chase,0,0,32768,none,5,1.141,1.141,1.141,1.141,0.000
ptr_chase,0,0,65536,none,5,3.643,3.642,3.644,3.643,0.000
ptr_chase,0,0,131072,none,5,3.648,3.647,3.656,3.650,0.003
ptr_chase,0,0,262144,none,5,3.650,3.650,3.651,3.650,0.000
ptr_chase,0,0,524288,none,5,4.060,4.059,4.078,4.064,0.007
ptr_chase,0,0,1048576,none,5,4.654,4.653,4.656,4.654,0.001
ptr_chase,0,0,2097152,none,5,21.098,21.074,21.193,21.112,0.044
ptr_chase,0,0,4194304,2m,5,60.197,60.078,60.311,60.197,0.085
ptr_chase,0,0,8388608,2m,5,60.314,60.254,60.337,60.298,0.034
ptr_chase,0,0,16777216,2m,5,60.367,60.321,60.421,60.368,0.032
ptr_chase,0,0,33554432,2m,5,60.368,60.360,60.372,60.367,0.005
ptr_chase,0,0,50331648,2m,5,60.378,60.369,60.408,60.381,0.014
ptr_chase,0,0,67108864,2m,5,60.394,60.369,60.653,60.441,0.107
ptr_chase,0,0,100663296,2m,5,60.907,60.891,60.912,60.903,0.008
ptr_chase,0,0,134217728,2m,5,61.173,61.144,61.394,61.217,0.092
ptr_chase,0,0,201326592,2m,5,61.419,61.407,61.434,61.422,0.010
ptr_chase,0,0,268435456,2m,5,61.925,61.884,62.174,61.972,0.104
ptr_chase,0,0,402653184,2m,5,72.079,71.747,73.140,72.307,0.483
ptr_chase,0,0,536870912,2m,5,94.889,94.576,95.892,95.037,0.459
ptr_chase,0,0,805306368,2m,5,123.571,123.500,123.904,123.658,0.148
ptr_chase,0,0,1073741824,1g,5,125.913,125.820,126.321,125.967,0.181
ptr_chase,0,0,2147483648,1g,5,134.536,134.481,134.693,134.551,0.074
ptr_chase,0,0,4294967296,1g,5,137.289,137.174,137.388,137.290,0.069
